insumo,dep,cultivo,tipo,mes,ha,usd,estructura
Abono orgánico,Junín,acelga,transitorio,May,2.0,95.34,media de su familia
Asistencia técnica,Junín,acelga,transitorio,May,2.0,1.13,media de su familia
Fertilizante,Junín,acelga,transitorio,Jun,2.0,272.36,media de su familia
Fitosanitario,Junín,acelga,transitorio,Jun,2.0,173.44,media de su familia
Semilla,Junín,acelga,transitorio,Jun,2.0,214.31,media de su familia
Riego,Junín,acelga,transitorio,Jun,2.0,77.93,media de su familia
Abono orgánico,Junín,acelga,transitorio,Jun,2.0,95.34,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Jun,2.0,1.13,media de su familia
Fertilizante,Junín,acelga,transitorio,Jul,3.0,408.54,media de su familia
Fitosanitario,Junín,acelga,transitorio,Jul,3.0,260.16,media de su familia
Semilla,Junín,acelga,transitorio,Jul,3.0,321.46,media de su familia
Riego,Junín,acelga,transitorio,Jul,3.0,116.89,media de su familia
Abono orgánico,Junín,acelga,transitorio,Jul,3.0,143.01,media de su familia
Asistencia técnica,Junín,acelga,transitorio,Jul,3.0,1.69,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Set,2.0,272.36,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Set,2.0,173.44,media de su familia
Semilla,La Libertad,acelga,transitorio,Set,2.0,214.31,media de su familia
Riego,La Libertad,acelga,transitorio,Set,2.0,77.93,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Set,2.0,95.34,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Set,2.0,1.13,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Oct,0.5,68.09,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Oct,0.5,43.36,media de su familia
Semilla,La Libertad,acelga,transitorio,Oct,0.5,53.58,media de su familia
Riego,La Libertad,acelga,transitorio,Oct,0.5,19.48,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Oct,0.5,23.84,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Oct,0.5,0.28,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Nov,0.5,68.09,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Nov,0.5,43.36,media de su familia
Semilla,La Libertad,acelga,transitorio,Nov,0.5,53.58,media de su familia
Riego,La Libertad,acelga,transitorio,Nov,0.5,19.48,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Nov,0.5,23.84,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Nov,0.5,0.28,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Ene,1.0,136.18,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Ene,1.0,86.72,media de su familia
Semilla,La Libertad,acelga,transitorio,Ene,1.0,107.15,media de su familia
Riego,La Libertad,acelga,transitorio,Ene,1.0,38.96,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Ene,1.0,47.67,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Ene,1.0,0.56,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Feb,3.0,408.54,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Feb,3.0,260.16,media de su familia
Semilla,La Libertad,acelga,transitorio,Feb,3.0,321.46,media de su familia
Riego,La Libertad,acelga,transitorio,Feb,3.0,116.89,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Feb,3.0,143.01,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Feb,3.0,1.69,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Mar,4.5,612.81,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Mar,4.5,390.24,media de su familia
Semilla,La Libertad,acelga,transitorio,Mar,4.5,482.19,media de su familia
Riego,La Libertad,acelga,transitorio,Mar,4.5,175.33,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Mar,4.5,214.52,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Mar,4.5,2.54,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Abr,4.0,544.72,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Abr,4.0,346.88,media de su familia
Semilla,La Libertad,acelga,transitorio,Abr,4.0,428.61,media de su familia
Riego,La Libertad,acelga,transitorio,Abr,4.0,155.85,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Abr,4.0,190.69,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Abr,4.0,2.26,media de su familia
Fertilizante,La Libertad,acelga,transitorio,May,2.5,340.45,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,May,2.5,216.8,media de su familia
Semilla,La Libertad,acelga,transitorio,May,2.5,267.88,media de su familia
Riego,La Libertad,acelga,transitorio,May,2.5,97.41,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,May,2.5,119.18,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,May,2.5,1.41,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Jun,1.0,136.18,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Jun,1.0,86.72,media de su familia
Semilla,La Libertad,acelga,transitorio,Jun,1.0,107.15,media de su familia
Riego,La Libertad,acelga,transitorio,Jun,1.0,38.96,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Jun,1.0,47.67,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Jun,1.0,0.56,media de su familia
Fertilizante,La Libertad,acelga,transitorio,Jul,1.0,136.18,media de su familia
Fitosanitario,La Libertad,acelga,transitorio,Jul,1.0,86.72,media de su familia
Semilla,La Libertad,acelga,transitorio,Jul,1.0,107.15,media de su familia
Riego,La Libertad,acelga,transitorio,Jul,1.0,38.96,media de su familia
Abono orgánico,La Libertad,acelga,transitorio,Jul,1.0,47.67,media de su familia
Asistencia técnica,La Libertad,acelga,transitorio,Jul,1.0,0.56,media de su familia
Fertilizante,Lima Metropolitana,acelga,transitorio,Ago,13.0,1770.34,media de su familia
Fitosanitario,Lima Metropolitana,acelga,transitorio,Ago,13.0,1127.37,media de su familia
Semilla,Lima Metropolitana,acelga,transitorio,Ago,13.0,1393.0,media de su familia
Riego,Lima Metropolitana,acelga,transitorio,Ago,13.0,506.52,media de su familia
Abono orgánico,Lima Metropolitana,acelga,transitorio,Ago,13.0,619.73,media de su familia
Asistencia técnica,Lima Metropolitana,acelga,transitorio,Ago,13.0,7.34,media de su familia
Fertilizante,Lima Metropolitana,acelga,transitorio,Set,11.0,1497.98,media de su familia
Fitosanitario,Lima Metropolitana,acelga,transitorio,Set,11.0,953.93,media de su familia
Semilla,Lima Metropolitana,acelga,transitorio,Set,11.0,1178.69,media de su familia
Riego,Lima Metropolitana,acelga,transitorio,Set,11.0,428.59,media de su familia
Abono orgánico,Lima Metropolitana,acelga,transitorio,Set,11.0,524.39,media de su familia
Asistencia técnica,Lima Metropolitana,acelga,transitorio,Set,11.0,6.21,media de su familia
Fertilizante,Lima Metropolitana,acelga,transitorio,Oct,11.0,1497.98,media de su familia
Fitosanitario,Lima Metropolitana,acelga,transitorio,Oct,11.0,953.93,media de su familia
Semilla,Lima Metropolitana,acelga,transitorio,Oct,11.0,1178.69,media de su familia
