insumo,dep,cultivo,tipo,mes,ha,usd,estructura
Semilla,Lambayeque,lima,permanente,Mar,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Mar,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Mar,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Mar,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Abr,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Abr,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Abr,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Abr,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Abr,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Abr,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,May,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,May,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,May,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,May,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,May,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,May,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Jun,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Jun,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Jun,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Jun,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Jun,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Jun,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Jul,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Jul,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Jul,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Jul,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Jul,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Jul,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Ago,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Ago,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Ago,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Ago,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Ago,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Ago,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Set,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Set,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Set,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Set,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Set,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Set,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Oct,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Oct,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Oct,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Oct,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Oct,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Oct,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Nov,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Nov,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Nov,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Nov,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Nov,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Nov,2.1666666666666665,27.85,media de su familia
Fertilizante,Lambayeque,lima,permanente,Dic,2.1666666666666665,342.68,media de su familia
Fitosanitario,Lambayeque,lima,permanente,Dic,2.1666666666666665,301.0,media de su familia
Semilla,Lambayeque,lima,permanente,Dic,2.1666666666666665,26.5,media de su familia
Riego,Lambayeque,lima,permanente,Dic,2.1666666666666665,100.5,media de su familia
Abono orgánico,Lambayeque,lima,permanente,Dic,2.1666666666666665,105.51,media de su familia
Asistencia técnica,Lambayeque,lima,permanente,Dic,2.1666666666666665,27.85,media de su familia
Fertilizante,Lima,lima,permanente,Ene,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Ene,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Ene,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Ene,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Ene,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Ene,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Feb,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Feb,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Feb,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Feb,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Feb,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Feb,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Mar,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Mar,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Mar,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Mar,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Mar,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Mar,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Abr,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Abr,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Abr,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Abr,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Abr,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Abr,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,May,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,May,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,May,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,May,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,May,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,May,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Jun,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Jun,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Jun,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Jun,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Jun,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Jun,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Jul,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Jul,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Jul,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Jul,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Jul,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Jul,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Ago,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Ago,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Ago,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Ago,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Ago,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Ago,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Set,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Set,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Set,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Set,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Set,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Set,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Oct,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Oct,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Oct,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Oct,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Oct,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Oct,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Nov,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Nov,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Nov,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Nov,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Nov,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Nov,0.1583333333333333,2.04,media de su familia
Fertilizante,Lima,lima,permanente,Dic,0.1583333333333333,25.04,media de su familia
Fitosanitario,Lima,lima,permanente,Dic,0.1583333333333333,22.0,media de su familia
Semilla,Lima,lima,permanente,Dic,0.1583333333333333,1.94,media de su familia
Riego,Lima,lima,permanente,Dic,0.1583333333333333,7.34,media de su familia
Abono orgánico,Lima,lima,permanente,Dic,0.1583333333333333,7.71,media de su familia
Asistencia técnica,Lima,lima,permanente,Dic,0.1583333333333333,2.04,media de su familia
Fertilizante,Loreto,lima,permanente,Ene,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Ene,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Ene,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Ene,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Ene,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Ene,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Feb,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Feb,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Feb,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Feb,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Feb,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Feb,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Mar,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Mar,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Mar,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Mar,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Mar,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Mar,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Abr,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Abr,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Abr,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Abr,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Abr,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Abr,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,May,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,May,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,May,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,May,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,May,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,May,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Jun,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Jun,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Jun,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Jun,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Jun,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Jun,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Jul,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Jul,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Jul,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Jul,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Jul,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Jul,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Ago,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Ago,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Ago,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Ago,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Ago,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Ago,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Set,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Set,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Set,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Set,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Set,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Set,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Oct,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Oct,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Oct,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Oct,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Oct,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Oct,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Nov,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Nov,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Nov,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Nov,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Nov,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Nov,2.583333333333333,33.21,media de su familia
Fertilizante,Loreto,lima,permanente,Dic,2.583333333333333,408.58,media de su familia
Fitosanitario,Loreto,lima,permanente,Dic,2.583333333333333,358.89,media de su familia
Semilla,Loreto,lima,permanente,Dic,2.583333333333333,31.6,media de su familia
Riego,Loreto,lima,permanente,Dic,2.583333333333333,119.83,media de su familia
Abono orgánico,Loreto,lima,permanente,Dic,2.583333333333333,125.8,media de su familia
Asistencia técnica,Loreto,lima,permanente,Dic,2.583333333333333,33.21,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Ene,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Ene,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Ene,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Ene,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Ene,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Ene,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Feb,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Feb,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Feb,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Feb,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Feb,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Feb,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Mar,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Mar,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Mar,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Mar,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Mar,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Mar,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Abr,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Abr,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Abr,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Abr,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Abr,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Abr,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,May,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,May,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,May,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,May,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,May,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,May,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Jun,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Jun,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Jun,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Jun,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Jun,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Jun,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Jul,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Jul,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Jul,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Jul,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Jul,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Jul,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Ago,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Ago,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Ago,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Ago,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Ago,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Ago,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Set,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Set,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Set,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Set,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Set,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Set,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Oct,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Oct,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Oct,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Oct,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Oct,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Oct,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Nov,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Nov,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Nov,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Nov,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Nov,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Nov,4.333333333333333,55.7,media de su familia
Fertilizante,Madre de Dios,lima,permanente,Dic,4.333333333333333,685.36,media de su familia
Fitosanitario,Madre de Dios,lima,permanente,Dic,4.333333333333333,602.01,media de su familia
Semilla,Madre de Dios,lima,permanente,Dic,4.333333333333333,53.01,media de su familia
Riego,Madre de Dios,lima,permanente,Dic,4.333333333333333,201.01,media de su familia
Abono orgánico,Madre de Dios,lima,permanente,Dic,4.333333333333333,211.01,media de su familia
Asistencia técnica,Madre de Dios,lima,permanente,Dic,4.333333333333333,55.7,media de su familia
Fertilizante,Moquegua,lima,permanente,Ene,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Ene,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Ene,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Ene,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Ene,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Ene,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Feb,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Feb,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Feb,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Feb,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Feb,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Feb,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Mar,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Mar,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Mar,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Mar,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Mar,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Mar,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Abr,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Abr,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Abr,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Abr,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Abr,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Abr,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,May,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,May,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,May,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,May,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,May,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,May,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Jun,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Jun,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Jun,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Jun,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Jun,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Jun,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Jul,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Jul,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Jul,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Jul,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Jul,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Jul,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Ago,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Ago,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Ago,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Ago,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Ago,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Ago,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Set,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Set,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Set,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Set,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Set,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Set,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Oct,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Oct,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Oct,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Oct,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Oct,16.0,779.12,media de su familia
Asistencia técnica,Moquegua,lima,permanente,Oct,16.0,205.66,media de su familia
Fertilizante,Moquegua,lima,permanente,Nov,16.0,2530.56,media de su familia
Fitosanitario,Moquegua,lima,permanente,Nov,16.0,2222.81,media de su familia
Semilla,Moquegua,lima,permanente,Nov,16.0,195.71,media de su familia
Riego,Moquegua,lima,permanente,Nov,16.0,742.19,media de su familia
Abono orgánico,Moquegua,lima,permanente,Nov,16.0,779.12,media de su familia
