tienda,id,nombre,sku,categorias,precio,moneda,presentacion_valor,presentacion_unidad,presentacion_base,precio_por_base,supuesto,en_stock,url,consultado
agrorepuestoskarina.com,7259,ASPERSOR VYR 70 3/4 CIRCULAR BRONCE,ART08943,Riego,88.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/aspersor-vyr-70-3-4-circular-bronce/,2026-09-10
agrorepuestoskarina.com,7258,ASPERSOR CAÑON  METAL  SECTORIAL 1&#8243; 9021  S,ART09658,Riego,130.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aspersor-canon-metal-sectorial-1-9021-s/,2026-09-10
agrorepuestoskarina.com,7257,MANGUERA  POLITILENO NEGRA X 3/4,ART10142,Riego,79.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/manguera-politileno-negra-x-3-4/,2026-09-10
agrorepuestoskarina.com,7256,ASPERSOR CIRCULAR X 3/4  PLASTICO MXTO,ART09753,Riego,22.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aspersor-circular-x-3-4-plastico-mxto/,2026-09-10
agrorepuestoskarina.com,7255,ASPERSOR VYR 70 V 1&#8243; CIRCULAR BRONCE,ART00935,Riego,218.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/aspersor-vyr-70-v-1-circular-bronce/,2026-09-10
agrorepuestoskarina.com,7254,ASPERSOR VYR 65 1&#8243; SECTORIAL BRONCE,ART00979,Riego,225.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/aspersor-vyr-65-1-sectorial-bronce/,2026-09-10
agrorepuestoskarina.com,7253,MANGUERA POLIETILENO X 100 MT NEGRO X 1&#8243;,ART09171,Riego,85.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/manguera-polietileno-x-100-mt-negro-x-1/,2026-09-10
agrorepuestoskarina.com,7252,SANITRAZ (AMITRAZ),,Antiparasitarios,15.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/sanitraz/,2026-09-10
agrorepuestoskarina.com,7249,ECTOFARM SPRAY,ART09792,Antiparasitarios,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/ectofarm-spray-x-250-ml/,2026-09-10
agrorepuestoskarina.com,7246,ECTOBULL,,Garrapaticidas,8.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/ectobull-x-30-ml/,2026-09-10
agrorepuestoskarina.com,7245,CINTA PARAFILM BIODEGRADABLE X 90 FT 30 YDS,,Accesorios,15.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/cinta-parafilm-x-biodegradable-x-90-ft-30-yds/,2026-09-10
agrorepuestoskarina.com,7242,GRASA HUSQVANA,ART09960,Accesorios,32.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/grasa-husqvana-x-225-gr/,2026-09-10
agrorepuestoskarina.com,7241,EQUIPO PROTECTOR BAYER,ART09460,Accesorios,160.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/equipo-protector-bayer/,2026-09-10
agrorepuestoskarina.com,7237,SULFA K,,Antibiotico,3.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/sulfa-k/,2026-09-10
agrorepuestoskarina.com,7236,SULFATONG,ART09497,Antibiotico,3.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/sulfatong-x-15-gramos/,2026-09-10
agrorepuestoskarina.com,7235,REAMIZONA FORTE,ART08600,Antibiotico,2.5,PEN,,,,,,True,https://agrorepuestoskarina.com/product/reamizona-super-x-10-gr/,2026-09-10
agrorepuestoskarina.com,7234,ENRO CU 10%,ART09727,Antibiotico,7.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/enro-cu-10/,2026-09-10
agrorepuestoskarina.com,7233,POLLON PREMIUN,,Antibiotico,3.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/pollon-premiun-x-12-gr/,2026-09-10
agrorepuestoskarina.com,7232,POLLON ORO,ART10220,Antibiotico,12.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/pollon-oro-x-30-ml-gotas-2/,2026-09-10
agrorepuestoskarina.com,7231,CICLOSAN  PLUS,,Antibiotico,7.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/ciclosan-plus/,2026-09-10
agrorepuestoskarina.com,7229,EMICINA LA,,Antibiotico,32.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/emicina-la/,2026-09-10
agrorepuestoskarina.com,7227,BIOMIZONA DORADA L.A.,,Antibiotico,17.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/biomizona-dorada-l-a/,2026-09-10
agrorepuestoskarina.com,7225,SUPER LA,,Antibiotico,20.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/super-la/,2026-09-10
agrorepuestoskarina.com,7221,GASMEX,ART08671,Insecticidas,10.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/gasmex/,2026-09-10
agrorepuestoskarina.com,7219,MATATODO,ART10225,Salud publica,10.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/matatodo-x-30-ml/,2026-09-10
agrorepuestoskarina.com,7218,AGITA 1%,ART01039,Salud publica,10.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/agita-1-x-20-gr/,2026-09-10
agrorepuestoskarina.com,7217,CHICA VERNANO PULGAS,ART00787,Salud publica,3.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/chica-vernano-pulgas-x-30-gr/,2026-09-10
agrorepuestoskarina.com,7214,PLOP FORTE INSECTICIDA,,Salud publica,13.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/plop-forte-insecticida/,2026-09-10
agrorepuestoskarina.com,7211,Daga,ART10145,Nematicida,65.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/daga-oxamilo-oxamyl-x-litro/,2026-09-10
agrorepuestoskarina.com,7209,Rugby 200 cs,ART09265,Nematicida,118.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/rugby-200-cs-x-1-lt/,2026-09-10
agrorepuestoskarina.com,7208,DK-DATE,ART01286,Fungicidas,45.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/dk-date/,2026-09-10
agrorepuestoskarina.com,7207,OXAMANTE,ART09139,Nematicida,58.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/oxamante/,2026-09-10
agrorepuestoskarina.com,7204,OLIGOMIX,ART09802,Microelementos,27.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/oligomix/,2026-09-10
agrorepuestoskarina.com,7202,Wuxal calcio,ART00134,Foliares,65.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/wuxal-calcio-x-litro/,2026-09-10
agrorepuestoskarina.com,7201,FETRILON COMBI 1,,Microelementos,32.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/fetrilon-combi-1/,2026-09-10
agrorepuestoskarina.com,7200,FITOFOL PLUS COMBI,ART09801,Microelementos,75.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/fitofol-plus-combi-x-kg/,2026-09-10
agrorepuestoskarina.com,7198,JERINGA DESCARTABLE,,Vet accesorios,0.5,PEN,,,,,,True,https://agrorepuestoskarina.com/product/jeringa-descartable/,2026-09-10
agrorepuestoskarina.com,7195,AGUJA DESCARTABLE,,Vet accesorios,0.2,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aguja-descartable-16-x-1/,2026-09-10
agrorepuestoskarina.com,7192,ACEITE ALCANFORADO,ART07848,Vet accesorios,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aceite-alcanforado-x-100-ml/,2026-09-10
agrorepuestoskarina.com,7189,JERINGA REUSABLE,,Vet accesorios,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/jeringa-reusable/,2026-09-10
agrorepuestoskarina.com,7188,ANDROGAN,,Vet accesorios,22.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/androgan-x-250-ml-analabolico/,2026-09-10
agrorepuestoskarina.com,7186,VITAFORTE AD3E,ART10200,Vet accesorios,80.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/vitaforte-ad3e-x-250-ml/,2026-09-10
agrorepuestoskarina.com,7185,PLASMOL DORADO,ART07806,Vet accesorios,30.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/plasmol-dorado-x-50-ml/,2026-09-10
agrorepuestoskarina.com,7183,PODEROSO 5500,ART10563,Vitaminas,0.5,PEN,,,,,,True,https://agrorepuestoskarina.com/product/poderoso-5500/,2026-09-10
agrorepuestoskarina.com,7182,REAVIT B,ART09561,Vitaminas,2.5,PEN,,,,,,False,https://agrorepuestoskarina.com/product/reavit-b/,2026-09-10
agrorepuestoskarina.com,7181,CALCIOFARM PLUS,,Vitaminas,14.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/calciofarm-plus/,2026-09-10
agrorepuestoskarina.com,7180,CALOI NF,,Vitaminas,14.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/caloi-nf-x-20-ml/,2026-09-10
agrorepuestoskarina.com,7175,NUEVO SUPLAMIN DIFOS,,Vitaminas,17.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/nuevo-suplamin-difos-bolsa-x-25-kg/,2026-09-10
agrorepuestoskarina.com,7173,COMPLEJO B NF,,Vitaminas,10.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/complejo-b-nf/,2026-09-10
agrorepuestoskarina.com,7172,ENGORVISAL LECHE,ART09789,Vitaminas,18.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/engorvisal-leche-balde-x-kg/,2026-09-10
agrorepuestoskarina.com,7170,LECHE POLVO  MILK (FOKKAMEL),ART09054,Vitaminas,330.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/leche-polvo-milk-fokkamel-x-kg/,2026-09-10
agrorepuestoskarina.com,7169,CATOSAL B12,,Vitaminas,79.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/catosal-b12/,2026-09-10
agrorepuestoskarina.com,7168,VIGANTOL ADE,,Vitaminas,53.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/vigantol-ade/,2026-09-10
agrorepuestoskarina.com,7166,ACIDO CITRICO,,Industrial,150.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/acido-citrico-x-25-kg/,2026-09-10
agrorepuestoskarina.com,7165,HIDROXIDO DE POTASIO,ART10020,Industrial,175.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/hidroxido-de-potasio-x-25-kg/,2026-09-10
agrorepuestoskarina.com,7162,PANTERA 720 SC,ART08557,Fungicidas,22.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/pantera-720-sc-x-litro/,2026-09-10
agrorepuestoskarina.com,7160,PANTERA 80 WP,ART10177,Fungicidas,20.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/pantera-80-wp-x-kg/,2026-09-10
agrorepuestoskarina.com,7158,PANTERA AZUFRE MOJABLE,ART09140,Fungicidas,185.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/pantera-azufre-mojable/,2026-09-10
agrorepuestoskarina.com,7157,AGRY-GENT PLUS 5000 SOBRE,ART10422,Fungicidas,125.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/agry-gent-plus-5000-sobre-x-160-gr/,2026-09-10
agrorepuestoskarina.com,7156,NO+VIRUS,ART09965,Foliares | Fungicidas,100.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/novirus-x-litro/,2026-09-10
agrorepuestoskarina.com,7155,PHYTON,,Fungicidas,70.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/phyton-x-lt/,2026-09-10
agrorepuestoskarina.com,7153,MALATHION 57 CE,,Insecticidas,28.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/malathion-57-ce-x-litro/,2026-09-10
agrorepuestoskarina.com,7151,CLORO GRANULAR/HIPOCLORITO DE CALCIO 65-70 %,ART10776,Industrial,18.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/cloro-granular-hipoclorito-de-calcio-65-70-x-kg/,2026-09-10
agrorepuestoskarina.com,7150,Viruless,ART10804,Viricida,360.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/viruless-x-lt/,2026-09-10
agrorepuestoskarina.com,7144,CARVADIN 5% DP,ART00599,Insecticidas,20.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/carvadin-5-dp-x-kg/,2026-09-10
agrorepuestoskarina.com,7140,CAMARA ORIG  COMPLETO JACTO,ART00789,Repuestos,165.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/camara-orig-completo-jacto/,2026-09-10
agrorepuestoskarina.com,7139,BASE DE TANQUE NACIONAL JACTO,ART09741,Repuestos,45.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/base-de-tanque-nacional-jacto/,2026-09-10
agrorepuestoskarina.com,7138,AGUJA DE REGISTRO JACTO,ART09098,Repuestos,12.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/aguja-de-registro-jacto/,2026-09-10
agrorepuestoskarina.com,7137,MANGUERA DE MOTOFUMIGADORA (DE LANZA),ART08877,Repuestos,24.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/manguera-de-motofumigadora-de-lanza/,2026-09-10
agrorepuestoskarina.com,7136,BOBINA-423-2300807 SOLO 3 P MODERNO COMPLETO,ART08417,Repuestos,269.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/bobina-423-2300807-solo-3-p-moderno-completo/,2026-09-10
