ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20566475899,ADN CHEMICALS AND MACHINERY S.A.C. - ADN,ADN CHEMICALS AND MACHINERY S.A.C. - ADN,63163.882,4836.0,2,1,1,1,4.836,328452.18639999995,Agroquimicos,False
20610621121,AGRIPEC S.A.C.,AGRIPEC,62921.015,9126.377,5,2,2,2,9.126377,327189.278,Semillas,False
20100018625,MEDIFARMA S A,MEDIFARMA S A,62135.17,21000.0,1,1,1,1,21.0,323102.88399999996,Fertilizantes,False
20413940568,EMBOTELLADORA SAN MIGUEL DEL SUR S.A.C.,EMBOTELLADORA SAN MIGUEL DEL SUR,60450.0,400.0,2,1,2,1,0.4,314340.0,Agroquimicos,False
20140466663,AGRO FERRETERA SANTA ANITA EIRL AFERSA,AGRO FERRETERA SANTA ANITA EIRL AFER,59805.0,25251.0,1,1,1,1,25.251,310986.0,Agroquimicos,False
20606495081,CIA LLOCLLA S.A.C.,CIA LLOCLLA,58788.0,25748.0,4,1,1,1,25.748,305697.60000000003,Agroquimicos,False
20610325506,ORGANITECH PERU S.A.C.,ORGANITECH PERU,58070.0,10800.0,2,2,1,1,10.8,301964.0,Fertilizantes,False
20554387498,COMERCIALIZADORA DE INSUMOS SANTA ANGELI,COMERCIALIZADORA DE INSUMOS SANTA ANGELI,57400.0,80000.0,1,1,1,1,80.0,298480.0,Fertilizantes,True
20372983796,KEYPERU S.A.,KEYPERU,57375.0,121.763,1,1,1,1,0.12176300000000001,298350.0,Semillas,False
20100281245,ANDERS PERU S.A.C.,ANDERS PERU,57323.885,37448.5,12,2,3,2,37.4485,298084.202,Agroquimicos,True
20604798818,CINNAMON S.A.C.,CINNAMON,57000.0,5010.395,5,1,3,2,5.010395000000001,296400.0,Agroquimicos,False
20552690410,POWER SEEDS S.A.C,POWER SEEDS,55976.5,220.0,3,1,2,2,0.22,291077.8,Semillas,False
20100312736,MERCANTIL S A,MERCANTIL S A,54217.016,31600.0,7,1,4,2,31.6,281928.4832,Agroquimicos,False
20604995605,CONSULTORIA Y DESARROLLO AGRICOLA S.A.C.,CONSULTORIA Y DESARROLLO AGRICOLA,53910.0,10511.75,4,1,1,1,10.51175,280332.0,Fertilizantes,False
20600293444,IMPORTACIONES RAYGAS S.A.C.,IMPORTACIONES RAYGAS,51941.119999999995,1504.108,2,1,1,1,1.504108,270093.82399999996,Otro,False
20424371581,SOQUITEX ING. S.R.LTDA,SOQUITEX ING. S.R.LTDA,51752.8,24000.0,1,1,1,1,24.0,269114.56000000006,Otro,False
20440492798,SUMINISTROS INDUSTRIALES S.A.C.,SUMINISTROS INDUSTRIALES,51475.0,5500.0,4,1,1,1,5.5,267670.0,Fertilizantes,False
20602659161,EBUSUS AGRO SOCIEDAD ANONIMA CERRADA,EBUSUS AGRO,50870.32,16050.0,9,1,3,2,16.05,264525.664,Fertilizantes,False
20610792953,PANTHER ENERGY TRADER S.A.C.,PANTHER ENERGY TRADER,50172.0,22464.649999999998,5,1,1,1,22.46465,260894.4,Agroquimicos,False
20100791871,COMPAÑIA QUIMICA INDUSTRIAL S.R.LTDA,COMPAÑIA QUIMICA INDUSTRIAL S.R.LTDA,49652.56,48000.0,2,1,1,1,48.0,258193.31199999998,Fertilizantes,True
20191338856,PTC S.A.C,PTC,49260.0,140000.0,2,1,1,1,140.0,256152.0,Fertilizantes,False
20547485824,VALECA S.A.C.,VALECA,48295.44,27062.1,1,1,1,1,27.062099999999997,251136.288,Agroquimicos,False
20468261082,ADISENS SOCIEDAD ANONIMA CERRADA-ADISENS,ADISENS SOCIEDAD ANONIMA CERRADA-ADISENS,47917.91,956.6,7,1,3,1,0.9566,249173.132,Agroquimicos,False
20602552498,FARM CROP S.A.C.,FARM CROP,46665.662,8975.4,4,1,1,1,8.9754,242661.44239999997,Agroquimicos,False
20565861051,NAVARRO Y CIA.PERU S.A.C.,NAVARRO Y CIA.PERU,46660.311,21000.0,2,1,1,1,21.0,242633.6172,Fertilizantes,False
20268784625,PROCAMPO SA,PROCAMPO,45575.62,8555.279999999999,2,2,2,2,8.555279999999998,236993.224,Agroquimicos,False
20100639654,CONSORCIO AGROPECUARIO AMERICANO S.A.C,CONSORCIO AGROPECUARIO AMERICANO,44720.72,21240.992,14,3,2,1,21.240992,232547.744,Fertilizantes,False
20606012391,GRUPO ALICROP PERU S.A.C.,GRUPO ALICROP PERU,44574.72,100000.0,3,1,2,2,100.0,231788.544,Fertilizantes,False
20555611332,SLIM NEGOCIOS PERUANOS S.A.C.,SLIM NEGOCIOS PERUANOS,43712.0,25760.0,2,1,1,1,25.76,227302.4,Agroquimicos,False
20602318223,INSUMOS & SOLUCIONES AGRICOLAS S.A.C,INSUMOS & SOLUCIONES AGRICOLAS,42890.0,26000.0,1,1,1,1,26.0,223028.0,Fertilizantes,False
20606552883,LABORATORIO FITO NUTRICIONAL S.A.C.,LABORATORIO FITO NUTRICIONAL,42440.0,8500.0,2,2,2,1,8.5,220688.0,Agroquimicos,False
20609014963,AGROVECA PERU S.A.C.,AGROVECA PERU,42346.630000000005,20000.0,10,2,1,1,20.0,220202.47600000002,Fertilizantes,False
20504973990,SOLUCIONES VETERINARIAS S.A.C.,SOLUCIONES VETERINARIAS,41580.53,14372.97,5,1,3,1,14.372969999999999,216218.756,Agroquimicos,False
20440447491,NATURAGRO EMPRESA INDIVIDUAL DE RESPONSA,NATURAGRO EMPRESA INDIVIDUAL DE RESPON,39415.4,18090.0,1,1,1,1,18.09,204960.08,Fertilizantes,False
20113186730,QUIMICA NAVA S.A.C.,QUIMICA NAVA,38720.64,18000.0,1,1,1,1,18.0,201347.32799999998,Otro,False
