ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado
20542026449,HUARAL FRUIT EXPORT S.A.C.,HUARAL FRUIT EXPORT,1824787.13,1148848.0,55,2,10,9,1148.848,9488893.076
20613348078,,,1815068.19,943954.0,58,1,6,2,943.954,9438354.588
20481787743,AGRO EXPORTACIONES PERU FOODS SAC,AGRO EXPORTACIONES PERU FOODS,1802438.501,354727.86,113,1,10,4,354.72785999999996,9372680.2052
20607450677,COOPERATIVA AGRARIA AROMAS DEL VALLE,COOPERATIVA AGRARIA AROMAS DEL VALLE,1793626.69,271860.0,12,1,8,5,271.86,9326858.787999999
20530336281,COOPERATIVA AGRARIA AGROEXPORTADORA DEL,COOPERATIVA AGRARIA AGROEXPORTADORA DEL,1784220.0,2119001.842,114,1,10,4,2119.001842,9277944.0
20439837846,SAN EFISIO S.A.C.,SAN EFISIO,1779311.18,320818.48,116,2,10,9,320.81847999999997,9252418.136
20494626897,AGRONEGOCIOS WIRACCOCHA DEL PERÚ S.A.C.,AGRONEGOCIOS WIRACCOCHA DEL PERÚ,1772783.96,504914.72,59,7,8,17,504.91472,9218476.592
20454726121,AGRICOLA MIRANDA S.A.C.,AGRICOLA MIRANDA,1745784.76,3933444.5,155,2,9,6,3933.4445,9078080.752
No Disponib,No Disponible - Ley  29733,NO DISPONIBLE - LEY 29733,1740362.96,2743308.494,423,38,10,14,2743.308494,9049887.392
20612337129,FAEX TRADING S.A.C.,FAEX TRADING,1723856.0,530550.0,45,1,5,1,530.55,8964051.200000001
20571593751,GRUPO COMERCIAL CAMPO VERDE S.A.C.,GRUPO COMERCIAL CAMPO VERDE,1705019.6,1329016.0,69,2,8,6,1329.016,8866101.920000002
20607892955,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,1688728.39,767641.81,89,2,10,6,767.6418100000001,8781387.627999999
20613991515,AGROINCA HERITAGE S.A.C.,AGROINCA HERITAGE,1670657.24,300604.75,17,1,7,1,300.60475,8687417.648
20601578566,DOMEL PRODUCE S.A.C.,DOMEL PRODUCE,1666696.73,563580.0,28,4,9,5,563.58,8666822.996000001
20542209951,ASOCIACION  VALLE  GRANDE,ASOCIACION VALLE GRANDE,1646428.4649999999,299805.0,12,1,3,3,299.805,8561428.018
20605941487,PLANASA PERU S.A.C.,PLANASA PERU,1642050.0,243140.0,30,1,6,1,243.14,8538660.0
20552279345,AGRITRADE S.R.L.,AGRITRADE,1627765.371,588250.0,32,1,8,6,588.25,8464379.929200001
20606967731,INKAPACKING S.A.C.,INKAPACKING,1624741.0,884884.0,48,1,7,1,884.884,8448653.200000001
20513328495,AGRONEGOCIOS LA GRAMA S.A.C.,AGRONEGOCIOS LA GRAMA,1623214.1639999999,616263.0,88,2,10,5,616.263,8440713.6528
20186370571,IMPORTADORA Y EXPORTADORA DOÑA ISABEL S.,IMPORTADORA Y EXPORTADORA DOÑA ISABEL S,1586747.06,378003.99,232,15,10,6,378.00399,8251084.712
20601228514,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD AN,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD AN,1580565.17,572187.904,66,3,7,5,572.187904,8218938.884
20554348671,AGROINDUSTRIAS CHECCOBAMBA S.A.C. - CHEC,AGROINDUSTRIAS CHECCOBAMBA S.A.C. - CHEC,1559941.77,758028.0,45,1,10,2,758.028,8111697.204
20530866590,AGROPECUARIA PAMAJOSA S.A.,AGROPECUARIA PAMAJO,1558581.28,1143621.0,50,2,8,6,1143.621,8104622.6559999995
20385521805,FLORISERT S.A.C.,FLORISERT,1550183.32,173198.05,758,1,10,7,173.19805,8060953.2639999995
20207845044,FRUTOS Y ESPECIAS S.A.C.,FRUTOS Y ESPECIAS,1542121.29,782800.0,25,1,5,3,782.8,8019030.708000001
20526765096,LA NUEZ S.R.L.,LA NUEZ,1534227.06,157524.88,19,1,7,7,157.52488,7977980.712
20498655468,FUNDO AMERICA SAC.,FUNDO AMERICA,1530026.22,564513.6,33,2,7,3,564.5136,7956136.3440000005
20611604280,,,1516986.66,231800.0,7,1,4,3,231.8,7888330.632
20613031058,CULTIVEMOS S.A.C.,CULTIVEMOS,1500382.381,972085.6,56,1,9,7,972.0856,7801988.381200001
20602842739,LARAMA BERRIES S.A.C.,LARAMA BERRIES,1482166.59,205077.24,38,1,10,8,205.07724,7707266.268000001
20600185081,PROFRUTOS PERU E.I.R.L.,PROFRUTOS PERU,1481481.1099999999,651309.0,41,2,8,2,651.309,7703701.771999999
20609199335,LA ALTEÑA PERU S.A.C.,LA ALTEÑA PERU,1476636.91,946656.0,75,1,8,1,946.656,7678511.932
20542215501,COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,1472888.199,213450.5,9,1,4,3,213.4505,7659018.6348
20170142773,COOPERATIVA AGRARIA CAFETALERA BAGUA GRA,COOPERATIVA AGRARIA CAFETALERA BAGUA GRA,1470362.53,307700.0,14,1,6,3,307.7,7645885.1559999995
20602371931,AGRICOLA LOS BUENOS MUCHACHOS DE PISCO S,AGRICOLA LOS BUENOS MUCHACHOS DE PISCO S,1464764.304,428376.0,26,1,3,4,428.376,7616774.3808
20608345770,AQU ANQA S.A.C.,AQU ANQA,1463126.538,155763.7,19,1,6,8,155.7637,7608257.9976
20532520950,FUNDO LA NORIA SOCIEDAD ANONIMA CERRADA,FUNDO LA NORIA,1458467.391,674129.0,58,1,8,4,674.129,7584030.4332
20546597416,AGRILOR S.A.C.,AGRILOR,1453500.0,4131000.0,153,1,5,1,4131.0,7558200.0
20554251677,AGROINPER FOODS S.A.C.,AGROINPER FOODS,1452582.0,334738.565,42,1,9,2,334.738565,7553426.4
20543733769,AGROINDUSTRIAS JAS EMPRESA INDIVIDUAL DE,AGROINDUSTRIAS JAS EMPRESA INDIVIDUAL DE,1449131.84,634944.47,50,3,8,1,634.94447,7535485.568
20615819337,,,1438650.7,317832.0,21,1,4,4,317.832,7480983.640000001
20606787091,,,1426586.2,914456.0,43,2,9,3,914.456,7418248.24
20293583626,MEBOL SAC,MEBOL,1425542.45,516545.756,61,2,8,6,516.545756,7412820.74
20511375666,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD,1421606.93,478768.57,73,4,7,6,478.76857,7392356.036
20444479753,COOPERATIVA AGRARIA CAFETALERA ACPC PICH,COOPERATIVA AGRARIA CAFETALERA ACPC PICH,1419712.746,239654.974,8,1,5,4,239.65497399999998,7382506.279200001
20601199557,MEBOL GF S.A.C.,MEBOL GF,1418849.31,477569.19,36,1,8,7,477.56919,7378016.4120000005
20610316108,ASOCIACION DE PRODUCTORES TSINANI DE LA,ASOCIACION DE PRODUCTORES TSINANI DE LA,1413556.38,1087952.0,66,1,10,3,1087.952,7350493.175999999
20546128424,DSM MARINE LIPIDS PERU S.A.C.,DSM MARINE LIPIDS PERU,1407624.1,299262.0,17,1,4,1,299.262,7319645.32
20606396628,BERRYCO S.A.C.,BERRYCO,1398964.3,271252.89,63,2,9,7,271.25289000000004,7274614.359999999
20525955096,'JUMAR PERU S.A.C.','JUMAR PERU S.A.C.',1391462.601,1686288.0,77,1,3,5,1686.288,7235605.525200001
20607068781,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,1352283.85,196965.0,8,1,6,3,196.965,7031876.0200000005
20614037092,,,1343316.35,298840.0,40,1,9,3,298.84,6985245.0200000005
20538955907,COMPAÑIA ADMINISTRADORA Y INVERSORA PACI,COMPAÑIA ADMINISTRADORA Y INVERSORA PACI,1341209.1199999999,213850.0,11,1,5,2,213.85,6974287.423999999
20612457167,AGRONEGOCIOSL&VEIRL,AGRONEGOCIOSL&V,1328027.87,894530.0,39,1,9,2,894.53,6905744.924000001
