cluster,clientes,con_canal,clientes_cubiertos,sam,dep,provincias,rank,pct,pct_elegidos
19,1051.2819770691794,1051.2819770691794,803.6941614402557,3302169.0975208567,HUANUCO,"Puerto Inca, Coronel Portillo",18,100.0,76.44896221666784
31,995.9851402514295,995.9851402514295,0.0,2964169.625858106,HUANUCO,"Leoncio Prado, Huamalies",19,100.0,0.0
13,563.5724719422242,544.0127641844518,0.0,2752335.699694612,LIMA,Cañete,20,96.52933584737305,0.0
14,512.1622122946492,512.1622122946492,121.80567635451958,2655052.361782371,AREQUIPA,Arequipa,21,100.0,23.78263632703231
3,806.3537216637656,806.3537216637656,537.3490632296857,2399804.086283852,HUANUCO,Puerto Inca,22,100.0,66.63937286988181
15,450.4331646546965,450.4331646546965,450.4331646546965,2335048.562609574,AREQUIPA,"Caylloma, Arequipa",23,100.0,100.0
21,302.9635268098564,302.9635268098564,0.0,2228704.9795658533,ICA,Nasca,24,100.0,0.0
24,454.1956285453291,454.1956285453291,0.0,2218168.7455073185,LIMA,Huaral,25,100.0,0.0
33,1153.605060966657,1153.605060966657,368.6356265965875,2113505.899946652,CAJAMARCA,"Chota, Cutervo",26,100.0,31.955097898728987
37,388.8513157470888,279.31617474919693,0.0,2015807.842657737,AREQUIPA,Caylloma,27,71.83109930142705,0.0
25,383.6381874417296,368.0094285300783,0.0,1988782.9503733073,AREQUIPA,"Castilla, Condesuyos",28,95.9261722572847,0.0
16,631.683609917374,631.683609917374,0.0,1630524.0396770579,PASCO,Oxapampa,29,100.0,0.0
32,314.23281195805555,314.23281195805555,283.77055741605386,1628985.0159011187,AREQUIPA,Arequipa,30,100.0,90.30583268749545
11,310.3330684982177,310.3330684982177,0.0,1608768.7195113506,AREQUIPA,Islay,31,100.0,0.0
41,811.5813045660943,696.8730925017668,0.0,1486888.3065141283,CAJAMARCA,"San Ignacio, Jaen",32,85.86608496043962,0.0
40,728.3817430198782,728.3817430198782,0.0,1334459.394618097,CAJAMARCA,"Cajamarca, Celendin",33,100.0,0.0
34,239.45503943110597,239.45503943110597,0.0,1241336.5389332748,AREQUIPA,Camana,34,100.0,0.0
35,250.28738424590574,170.46464244349147,0.0,1222335.967669142,LIMA,Huarochiri,35,68.1075648127798,0.0
29,228.13137205248546,171.0413352167713,0.0,1182634.5708928287,AREQUIPA,La Union,36,74.97492943557994,0.0
39,625.8852824006448,625.8852824006448,625.8852824006448,1050803.7843201796,PUNO,"Azangaro, Melgar",37,100.0,100.0
26,326.4406232018119,141.0719013467938,0.0,954456.0917522042,JUNIN,Huancayo,38,43.21517952120206,0.0
55,178.21730952526406,178.21730952526406,147.6889805244016,923879.73420681,AREQUIPA,Arequipa,39,100.0,82.87016615715727
43,122.4509105447086,122.4509105447086,0.0,900791.4482545771,ICA,"Palpa, Nasca",40,100.0,0.0
36,491.4309345365396,491.4309345365396,0.0,900344.6800839696,CAJAMARCA,"Cutervo, Chota",41,100.0,0.0
46,216.51504628729023,216.51504628729023,0.0,841838.4562637747,HUANCAVELICA,"Acobamba, Churcampa",42,100.0,0.0
54,490.4678951271879,490.4678951271879,0.0,823450.4545471815,PUNO,Moho,43,100.0,0.0
42,296.09141346621936,188.66116276064935,0.0,809621.327146316,PASCO,"Pasco, Junin",44,63.71720157368678,0.0
44,250.12569960156972,250.12569960156972,0.0,776933.9839585129,AYACUCHO,"Cangallo, Huamanga",45,100.0,0.0
56,158.59273527880887,73.04246279853268,0.0,774524.0741013897,LIMA,"Huaura, Huaral",46,46.05662590415804,0.0
30,155.72748432199228,155.72748432199228,0.0,765234.2341895658,UCAYALI,Padre Abad,47,100.0,0.0
45,412.2371730622002,412.2371730622002,0.0,755254.7461210135,CAJAMARCA,"San Marcos, Celendin",48,100.0,0.0
