dep,nombre,tipo,clase,lat,lon,sectores_1h,hub,horas_reparto,reparto_en_promesa,elegido,clientes_30,sam_30,clientes_45,sam_45,clientes_60,sam_60
APURIMAC,Rios,doityourself,comercio,-13.657148,-73.383681,76,Sicuani,9.65591072803736,False,False,99.33524739008308,554546.8037574525,157.15508853212515,877330.5984478771,240.8276996109499,1344439.5074697817
APURIMAC,Centro Electrónico Chino,hardware,comercio,-13.656976,-73.38733,75,Sicuani,9.65591072803736,False,False,95.20678624464237,531499.3458531041,151.53907635130136,845978.7703046507,238.12660939831645,1329360.4596651858
APURIMAC,Electrónica Andrada,hardware,comercio,-13.656502,-73.387436,75,Sicuani,9.65591072803736,False,False,95.20678624464237,531499.3458531041,151.53907635130136,845978.7703046507,238.12660939831645,1329360.4596651858
APURIMAC,Electrotécnica Industrial Blas,hardware,comercio,-13.657405,-73.389987,75,Sicuani,9.65591072803736,False,False,90.61467601209343,505863.5305823997,151.53907635130136,845978.7703046507,238.12660939831645,1329360.4596651858
APURIMAC,Multiservicios Campos,doityourself,comercio,-13.654443,-73.425191,72,Sicuani,9.65591072803736,False,False,89.81707889275178,501410.8821535881,155.8987790602495,870317.1523603767,228.42345684543446,1275191.8500734526
APURIMAC,La Casa del Constructor,doityourself,comercio,-13.653872,-73.428591,74,Sicuani,9.65591072803736,False,False,97.13989617284935,542291.083530963,164.45348680618417,918074.4788102509,236.12011872319007,1318159.0682165793
APURIMAC,El Constructor,doityourself,comercio,-13.652007,-73.366075,74,Sicuani,9.65591072803736,False,False,76.24811230531343,425661.06273846264,175.20560364551451,978099.0137415705,233.0921563600586,1301255.231013874
APURIMAC,Electrónica Chino,hardware,comercio,-13.651974,-73.365997,74,Sicuani,9.65591072803736,False,False,76.24811230531343,425661.06273846264,175.20560364551451,978099.0137415705,233.0921563600586,1301255.231013874
APURIMAC,Electrónica Huaman,hardware,comercio,-13.65143,-73.365935,74,Sicuani,9.65591072803736,False,False,76.24811230531343,425661.06273846264,175.20560364551451,978099.0137415705,233.0921563600586,1301255.231013874
APURIMAC,San José,veterinary,comercio,-13.650952,-73.365536,74,Sicuani,9.65591072803736,False,False,76.24811230531343,425661.06273846264,175.20560364551451,978099.0137415705,233.0921563600586,1301255.231013874
APURIMAC,El Maestro,doityourself,comercio,-13.654048,-73.370212,74,Sicuani,9.65591072803736,False,False,82.39784209243486,459992.4112479006,164.55243238112078,918626.850236997,233.0921563600586,1301255.231013874
APURIMAC,Vargas Hermanos,doityourself,comercio,-13.654174,-73.370088,74,Sicuani,9.65591072803736,False,False,82.39784209243486,459992.4112479006,164.55243238112078,918626.850236997,233.0921563600586,1301255.231013874
APURIMAC,Consur E.I.R.L.,doityourself,comercio,-13.656506,-73.378541,75,Sicuani,9.65591072803736,False,False,91.99681288871236,513579.41801835166,157.15508853212515,877330.5984478771,238.12660939831645,1329360.4596651858
APURIMAC,Carovi Distribuciones,doityourself,comercio,-13.656685,-73.378158,75,Sicuani,9.65591072803736,False,False,91.99681288871236,513579.41801835166,157.15508853212515,877330.5984478771,238.12660939831645,1329360.4596651858
APURIMAC,Carovi Distribuciones,doityourself,comercio,-13.656669,-73.377832,74,Sicuani,9.65591072803736,False,False,95.08169114716146,530800.9926673376,164.55243238112078,918626.850236997,233.0921563600586,1301255.231013874
APURIMAC,Vargas Hermanos,doityourself,comercio,-13.65667,-73.377772,74,Sicuani,9.65591072803736,False,False,95.08169114716146,530800.9926673376,164.55243238112078,918626.850236997,233.0921563600586,1301255.231013874
AREQUIPA,Vivero,plant_nursery,comercio,-16.357782,-72.192294,19,Juliaca,6.024416933241459,False,False,489.8080004670684,2539167.976945217,770.8752462889269,3996222.4743779013,1103.2067655434464,5719031.310934182
AREQUIPA,Multiservicios El Pitbull,agricultural_engines,comercio,-16.326469,-71.553719,27,Juliaca,4.479349199315209,False,False,165.9986926762832,860538.3420778315,326.1331692543121,1690676.5483629138,398.9369768015332,2068091.9775664127
AREQUIPA,Pampa Chacra,village,pueblo,-15.812472,-72.66093,4,,,False,False,24.840281440217563,128772.18647135537,63.283370734159035,328061.4205731666,100.36570890280983,520296.5116666246
AREQUIPA,Abas Chacra,hamlet,pueblo,-15.428871,-73.498552,3,,,False,False,21.33766371244436,66278.49958194517,50.06625650337392,155514.51205940364,69.13767946878664,214753.67320069642
AREQUIPA,Pampa Chacra,hamlet,pueblo,-15.672826,-73.61382,2,Pisco,8.755917659061966,False,False,24.03526713413104,124598.98688080451,24.03526713413104,124598.98688080451,45.3729308465754,190877.4864627497
AREQUIPA,Representaciones Panchito,hardware,comercio,-16.398799,-71.520438,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Veterinaria Dr. Mascota,veterinary,comercio,-16.397827,-71.545555,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,367.23391009947966,1903743.066025461,521.1139273688896,2701458.113084054
AREQUIPA,Viveros Arcoiris,garden_centre,comercio,-16.411824,-71.56008,33,Juliaca,4.437874042686684,False,False,278.2759664306422,1442584.4862484548,367.23391009947966,1903743.066025461,521.1139273688896,2701458.113084054
AREQUIPA,Santa Rosa,hardware,comercio,-16.49336,-71.843929,34,Juliaca,5.395672030251448,False,False,284.994337124686,1477412.565224903,602.4797407401735,3123259.0382087054,1214.3362897804732,6295127.513868269
AREQUIPA,Saúl Paredes,hardware,comercio,-16.407952,-71.53923,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,378.90674701372006,1964255.1312928314,521.1139273688896,2701458.113084054
AREQUIPA,Niño Jesús,hardware,comercio,-16.403439,-71.516789,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Marqués,veterinary,comercio,-16.420946,-71.531157,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,446.49773698346746,2314647.2790273535,582.3561932207681,2991706.324487636
AREQUIPA,Vida Animal,veterinary,comercio,-16.380125,-71.544829,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,367.23391009947966,1903743.066025461,521.1139273688896,2701458.113084054
AREQUIPA,Porvenir,hardware,comercio,-16.354822,-71.566732,30,Juliaca,4.437874042686684,False,False,262.8463323533153,1362597.1591574892,328.6780470231559,1703869.2118754045,475.5722112050934,2465369.549426518
AREQUIPA,San Pedro,hardware,comercio,-16.354592,-71.567578,30,Juliaca,4.437874042686684,False,False,262.8463323533153,1362597.1591574892,328.6780470231559,1703869.2118754045,475.5722112050934,2465369.549426518
AREQUIPA,Soldamundo Importaciones SAC,hardware,comercio,-16.406308,-71.542146,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,378.90674701372006,1964255.1312928314,521.1139273688896,2701458.113084054
AREQUIPA,Celima,hardware,comercio,-16.407611,-71.538909,35,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,410.92793570235625,2130253.1893571606,536.611547917754,2754565.774804148
AREQUIPA,Vallecito,veterinary,comercio,-16.402971,-71.541632,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,378.90674701372006,1964255.1312928314,521.1139273688896,2701458.113084054
AREQUIPA,Davetsur,veterinary,comercio,-16.403951,-71.532669,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,437.16632761021145,2266273.1899194904,521.1139273688896,2701458.113084054
AREQUIPA,A Construir,hardware,comercio,-16.404018,-71.514311,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Universal,hardware,comercio,-16.404303,-71.514554,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Depósito San Luis,hardware,comercio,-16.404182,-71.514846,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Dimasa,hardware,comercio,-16.403882,-71.515168,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Promser,hardware,comercio,-16.403543,-71.515036,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Buscal,hardware,comercio,-16.403504,-71.515716,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
