nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS Y FORESTALES LOS SEMILLEROS DE SHIRINGAMAZU,PASCO,canal,Tarma,6.2678522256384985,False,500.5581324932105,1292058.3270995286,4069.9837303635145,-10.170269252666628,-75.29819524599996
AGROSERVICIOS VELA E.I.R.L.,SAN MARTIN,canal,Bellavista,1.3721325570829843,True,277.402404075553,1273720.870036486,4012.2207406149305,-7.0102373106666205,-76.12003006166663
AGRO SERVICIOS MAS COSECHA EIRL,HUANUCO,canal,Bellavista,5.917386096603188,True,426.7893359270174,1270175.5629362676,4001.0530232492415,-8.897235273749956,-76.13537083762496
Vivero Municipal,SAN MARTIN,comercio,Bellavista,3.182278874170449,True,273.2466560852238,1254639.33769168,3952.113913728792,-6.046843,-76.974805
TOP AGROVETERINARIA EL CAMPESINO S.A.C,SAN MARTIN,canal,Bellavista,4.805022509666425,True,269.1040118690063,1235617.9726356836,3892.196613802402,-5.874582397249959,-77.07746978587497
Vivero Municipal Hbba,PIURA,comercio,Chiclayo,5.833546777020708,True,315.9337481307987,1235204.215920594,3890.8932801498704,-5.247168,-79.452533
A construir,CUSCO,comercio,Sicuani,1.972288544737404,True,580.172129371168,1227941.3565071844,3868.01527299763,-13.591351,-71.787566
DISTRIBUIDORA AGROPECUARIA MAURICIO S.A.C.,JUNIN,canal,Tarma,1.9855974247691868,True,403.1342294632376,1215064.6488981638,3827.453644029215,-12.137899050999962,-75.22377150974997
Coliseo de Gallos Santa María,ICA,comercio,Pisco,2.3914228485005604,True,164.78252617034738,1212197.5225479384,3818.422196026005,-14.531066,-75.190981
AGROSERVICIOS PALMAS DEL ORIENTE E.I.R.L.,SAN MARTIN,canal,Bellavista,2.751774547328989,True,262.96182963292006,1207415.528869048,3803.358915937501,-6.228803217499944,-76.30090881499994
Clinivet,LIMA,comercio,Pisco,5.087355273652894,False,243.323835934228,1188327.8789689832,3743.2328187522967,-11.107281,-77.596921
AGRO VETERINARIA EL ENGORDE E.I.R.L.,SAN MARTIN,canal,Bellavista,4.563879016372145,True,254.866193519566,1170243.606339523,3686.267359969498,-6.288707473499954,-77.09286929499996
AGRO VETERINARIA EL APU E.I.R.L.,AMAZONAS,canal,Chiclayo,9.003533831347113,False,323.5847688577557,1131884.937994338,3565.4375546821643,-4.797135414399963,-77.93287190039997
Tiendas Comerciales,AREQUIPA,comercio,Juliaca,6.024416933241459,False,218.28534714994075,1131592.711411345,3564.517040945736,-16.364095,-72.19135
AGROVETERINARIA IZQUIERDO E.I.R.L.,TUMBES,canal,Chiclayo,6.974805135813187,False,157.5142688435755,1067032.062134974,3361.150995725167,-3.54901994949995,-80.42293371883329
Señor de los milagros,PIURA,comercio,Chiclayo,3.804758317032244,True,271.1082330728236,1059950.1776672958,3338.843059651981,-4.929786,-80.343327
ASOCIACION DE PRODUCTORES AGROPECUARIOS Y SERVICIOS MULTIPLES LOS SEMILLEROS DE PATAY,JUNIN,canal,Tarma,0.4219740874775137,True,361.5154029637013,1057008.699580997,3329.57740368014,-11.32114496274994,-75.52439892874996
Ferretería Los Ángeles,LA LIBERTAD,comercio,Huamachuco,3.645772398887248,True,271.370902267602,1040801.8521128674,3278.525834155532,-8.408201,-78.815177
EMPRESA LOS SEMILLEROS DE GUINDA HUAMANCACA CHICO S.A.C.,JUNIN,canal,Tarma,1.715449670031545,True,355.6108203504207,1039744.7181891478,3275.195862295815,-12.076823579999967,-75.24886359399994
Negociaciones Prusia,PASCO,comercio,Tarma,4.863697183159374,True,402.4196242836032,1038739.7442812412,3272.0301944859093,-10.070117,-75.550328
Vivero El Huerto,PIURA,comercio,Chiclayo,3.804758317032244,True,252.98644977162883,989099.5538701572,3115.663594690994,-4.908126,-80.342295
AGROVETERINARIA GUEVARA E.I.R.L.,SAN MARTIN,canal,Bellavista,0.6893422051146256,True,211.27876201339743,970107.557174024,3055.8388050981757,-6.9712644739999705,-76.32614529266662
Camay,LIMA,comercio,Pisco,5.307795099276896,False,193.1638415516218,943360.017497777,2971.584055117997,-10.910057,-77.627448
Negocios El Triunfo,LAMBAYEQUE,comercio,Chiclayo,0.2255086737093366,True,211.13763914789155,940012.015075675,2961.0378474883755,-6.705136,-79.901813
AGROSERVICIOS SAMBOR  S.A.C,CUSCO,canal,Sicuani,2.85466213676564,True,430.96542420485537,912143.553292347,2873.2521928708925,-13.473587470999954,-72.15950086588886
AGROSERVICIOS DEL HUALLAGA E.I.R.L.,SAN MARTIN,canal,Bellavista,0.2393157876145856,True,197.6538163832114,907547.2572367756,2858.773860295842,-6.999837139999954,-76.58720885099996
Maestrlto,JUNIN,comercio,Tarma,1.290334264876605,True,309.95070354261696,906242.4101434264,2854.663591951793,-11.780543,-75.496188
"EMPRESA COMERCIALIZADORA DE INSUMOS AGRICOLAS, PECUARIOS MULTISERVICIOS E.I.R.L. - EMCAPEMS",AYACUCHO,canal,Pisco,6.174521968508929,False,290.820708324112,903339.768347702,2845.520270295261,-13.506661705299956,-74.21325995969997
AGROSEMILLERA SAN AGUSTIN E.I.R.L.,AREQUIPA,canal,Juliaca,7.228806099632764,False,173.97835748185508,901904.9782327,2841.0006814330045,-16.0365276623333,-72.53022305866664
AGROSERVICIOS TRES PIEDRAS,UCAYALI,canal,Bellavista,7.878307380727101,False,182.73977879365967,897970.8064377201,2828.608040278817,-9.018102952124949,-75.55121519962498
AGROVETERINARIA GAMARRA EIRL,JUNIN,canal,Tarma,1.1846308366952534,True,306.44204236413475,895983.6898810698,2822.3486231253696,-11.188785277999957,-76.01190594399998
Vivero Forestal de Marcavelica,PIURA,comercio,Chiclayo,3.5016477423964028,True,229.06142932227164,895560.0497814785,2821.0141568116564,-4.880674,-80.698436
BARBOZA AGROSERVICIOS E.I.R.L.,UCAYALI,canal,Tarma,10.033700252777331,False,185.87021653429488,887386.3363260379,2795.2669594270187,-8.458684046499954,-75.20966584774996
AGROCOMERCIAL LUCHO S.A.C.,JUNIN,canal,Satipo,1.3825185978392642,True,302.8562735439411,885499.5201705706,2789.3234885372967,-11.625696256714248,-74.37676050014282
