cod_se,dep,prov,dist,region_nat,lat,lon,horas_capital_real,horas_puerto_real,clientes,sam_usd,con_comercio,con_sitio,sin_nada,cubierto_greedy
1011901,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SIERRA,-6.336243249999939,-77.84080871899994,2.119370860576916,8.103439875978905,14.476022880879691,50637.89539931672,False,True,False,False
1011902,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SIERRA,-6.376240115999963,-77.79495468599998,2.0990722468680127,8.332475341428518,8.348221152964134,29202.520125366907,False,True,False,False
1011903,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SIERRA,-6.35557188699994,-77.87544971299997,1.87403843650449,7.858107451906479,2.485264759873053,8693.587871865253,False,True,False,False
1012001,AMAZONAS,CHACHAPOYAS,SOLOCO,SIERRA,-6.278331014999935,-77.75446833099994,1.675622658401107,8.14636566234147,6.17393796868082,21596.76228979065,True,True,False,False
1012002,AMAZONAS,CHACHAPOYAS,SOLOCO,SIERRA,-6.27207348099995,-77.73125290299998,1.5147250683215805,8.08417723838159,7.128956494981005,24937.467719530872,True,True,False,False
1012003,AMAZONAS,CHACHAPOYAS,SOLOCO,SIERRA,-6.332284295999955,-77.72261532999994,2.109886614938389,8.747612953374936,1.078476615909204,3772.5683716037775,False,True,False,False
1012004,AMAZONAS,CHACHAPOYAS,SOLOCO,SIERRA,-6.337534483999946,-77.73862687599996,2.2329176042657863,8.870643942702333,0.0179305893445761,62.72215201303777,False,True,False,False
1012005,AMAZONAS,CHACHAPOYAS,SOLOCO,SIERRA,-6.307774783999946,-77.77636429699999,2.0723249442350764,8.404793359227261,1.3185393193584538,4612.320433794604,True,True,False,False
1012101,AMAZONAS,CHACHAPOYAS,SONCHE,SIERRA,-6.149920061999978,-77.83824603899996,2.2180785480247835,7.708222283146241,0.0,0.0,True,True,False,False
1012102,AMAZONAS,CHACHAPOYAS,SONCHE,SIERRA,-6.150457722999931,-77.79173711099997,1.9860350673354217,8.266982742690463,2.6573966716640287,9295.714423880358,False,False,True,False
1012103,AMAZONAS,CHACHAPOYAS,SONCHE,SIERRA,-6.196994270999937,-77.75883468799998,1.8548200954080405,8.135767770763081,5.22444931157453,18275.40063562448,True,False,True,False
1012104,AMAZONAS,CHACHAPOYAS,SONCHE,SIERRA,-6.192399511999952,-77.81290204799996,1.9448254195389825,8.225773094894022,0.846767632810042,2962.038066021366,True,False,True,False
1020101,AMAZONAS,BAGUA,BAGUA,SELVA BAJA,-5.5206172849999575,-78.52385627399997,1.1358070061032055,5.614712906877235,25.019767155363,87520.4717866224,True,True,False,False
1020102,AMAZONAS,BAGUA,BAGUA,SELVA BAJA,-5.596890347999931,-78.53215139499997,0.8618694697173028,5.340775370491332,14.60865449565862,51101.8478185056,True,True,False,False
1020103,AMAZONAS,BAGUA,BAGUA,SELVA BAJA,-5.64842828899998,-78.50435201399995,0.4885131239914155,5.344858561015661,18.49158376760296,64684.540242635965,True,True,False,False
1020201,AMAZONAS,BAGUA,ARAMANGO,SELVA ALTA,-5.313165795999964,-78.51111403499993,1.6348488648512165,6.423572506988435,86.6971207782481,303271.12422497565,True,True,False,False
1020202,AMAZONAS,BAGUA,ARAMANGO,SELVA ALTA,-5.36953535899994,-78.40615452399999,1.80979434105198,6.28870024182601,88.90609678629397,310998.2393971112,True,True,False,False
1020203,AMAZONAS,BAGUA,ARAMANGO,SELVA ALTA,-5.49830690899995,-78.41505827499998,1.7873972256341968,6.2663031264082285,103.43704600750428,361828.27004650433,False,True,False,False
1020301,AMAZONAS,BAGUA,COPALLIN,SELVA ALTA,-5.62249197899996,-78.38602246499994,0.9810767507409948,6.1102008683994455,18.535918266847112,64839.62467112715,True,True,False,False
1020302,AMAZONAS,BAGUA,COPALLIN,SELVA ALTA,-5.6090972089999696,-78.35347197699997,1.1671671983433152,6.296291316001766,7.215020954437355,25238.525760914992,True,True,False,False
1020303,AMAZONAS,BAGUA,COPALLIN,SELVA ALTA,-5.681337638999935,-78.42906131199999,0.6601189099081897,5.660093333913361,5.929719616563015,20742.47354826973,True,True,False,False
1020304,AMAZONAS,BAGUA,COPALLIN,SELVA ALTA,-5.697706838999977,-78.45312564499994,0.7765501855333904,5.776524609538561,11.990543154863763,41943.555564488495,True,True,False,False
1020401,AMAZONAS,BAGUA,EL PARCO,SELVA ALTA,-5.610698781999929,-78.47618106699997,0.8726190260302568,5.572216384631889,5.361922256242962,18756.288283401744,True,True,False,False
1020402,AMAZONAS,BAGUA,EL PARCO,SELVA ALTA,-5.632107520999966,-78.47221561599997,0.8219587133652203,5.521556071966852,4.7258616702442495,16531.314636532683,True,True,False,False
1020501,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-4.831778896999936,-78.51057780299999,2.303816381517592,9.41905205098438,90.88310368464708,317913.9143270508,False,True,False,False
1020502,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-4.83976759799998,-78.24579393399995,1.2275993945350046,8.342835064001791,125.40127448178656,438660.30555512814,False,True,False,False
1020503,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-5.10543064999996,-78.21429088499997,0.8670114238710824,7.982247093337871,40.7044447247764,142386.30535621537,False,True,False,False
1020504,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-5.237204150999958,-78.17914615299998,1.2038594479345617,7.705034850726632,37.24506417158073,130285.2088022351,False,True,False,False
1020505,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-5.309673997999937,-78.29163016499996,1.298917931455446,7.063859611811029,83.29418910142546,291367.48883285647,False,True,False,False
1020506,AMAZONAS,BAGUA,IMAZA,SELVA BAJA,-5.141538210999954,-78.52711778199995,1.224680456670886,8.339916126137673,65.87857572426405,230446.7500522855,False,True,False,False
1020601,AMAZONAS,BAGUA,LA PECA,SELVA ALTA,-5.543315284999949,-78.49364488999998,1.2044123061316552,5.683318206905685,7.558615125519716,26440.436385003908,True,True,False,False
1020602,AMAZONAS,BAGUA,LA PECA,SELVA ALTA,-5.581016859999977,-78.44363715799994,1.132154500033954,5.831751858635586,32.9681237627806,115324.24453517867,True,True,False,False
1020603,AMAZONAS,BAGUA,LA PECA,SELVA ALTA,-5.623499759999959,-78.42013388299995,1.0653599942829644,5.764957352884596,27.51042265797096,96232.91676233316,True,True,False,False
1020604,AMAZONAS,BAGUA,LA PECA,SELVA ALTA,-5.566385922999928,-78.49600809299994,1.15507876690256,5.743503181933214,6.005629984807107,21008.0120403334,True,True,False,False
