cod_se,dep,prov,dist,sector,region_nat,lat,lon,alt_m,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_a_via,horas_capital_real,horas_capital_vuelta,horas_capital_llano,horas_terreno,horas_ida_vuelta,horas_capital_proxy,horas_puerto_real,horas_puerto_vuelta,horas_puerto_proxy,puerto_maritimo,costo_viaje_real,accesible_real
3041701,APURIMAC,AYMARAES,YANACA,TUMIRE,SIERRA,-14.209773319999954,-73.18085478199998,3433.5150737877625,1067.1537680304334,327.01800541653927,4.036841556837742,22535.98437046945,1.6132267485461886,2.030935440792007,2.246040021159762,1.8485471947985166,0.18238824599349024,4.2769754619517695,0.8305314033425567,11.118048406445192,11.80841572338105,20.626085600320927,Matarani,76.98555831513185,2-4 h
3041702,APURIMAC,AYMARAES,YANACA,YANACA,SIERRA,-14.249140718999968,-73.15361596799994,3725.48377332118,1006.7066850354244,308.49463502095057,3.808181635527401,21259.472438988232,1.4158572841219965,2.333496101117033,2.8038991091933307,2.1561242090646635,0.1773718920523697,5.137395210310364,0.7114214775726284,11.420609066770227,12.366274811414616,20.30691062689504,Matarani,92.47311378558656,2-4 h
3041703,APURIMAC,AYMARAES,YANACA,SARAICA,SIERRA,-14.244805927999948,-73.12070851099998,3779.7872534252474,633.8273314977617,194.22969391508963,2.397649325056562,13385.06526812223,1.5753477041466015,1.9483543592217845,2.244642277489999,1.7844736584257563,0.16388070079602812,4.192996636711783,0.902874087259265,11.035467324874972,11.807017979711286,20.25927534828289,Matarani,75.47393946081209,1-2 h
3050101,APURIMAC,COTABAMBAS,TAMBOBAMBA,OCCACCAHUA,SIERRA,-13.800194010999974,-72.19473761299997,4276.28290618879,1788.5947477336456,548.0959768167867,6.765916798774764,37771.26079442348,2.3649919302260867,2.0544674442688753,2.024457095372757,1.6633560258578333,0.391111418411042,4.0789245396416325,1.7401646559502175,12.189913870198287,12.909931764692914,22.145857582224064,Matarani,73.42064171354939,2-4 h
3050102,APURIMAC,COTABAMBAS,TAMBOBAMBA,CHACCARO,SIERRA,-13.919641672999944,-72.16003371599999,3761.705648887638,922.7678982839336,282.7724800299053,3.4906570268532966,19486.866425705783,0.40808168923657795,1.2216313832545276,1.1180962091344668,0.9473530463050587,0.2742783369494689,2.3397275923889946,1.0410320629226777,11.35707780918394,12.003570878454623,21.31435371157814,Matarani,42.11509666300191,1-2 h
3050103,APURIMAC,COTABAMBAS,TAMBOBAMBA,TAMBOBAMBA,SIERRA,-13.980232186999956,-72.14987435499995,4125.983990731955,3638.489086919141,1114.9765662451468,13.763718397662933,76837.03665898973,1.6055363794407527,1.0725310242058779,1.073311060520987,0.9082639856873417,0.1642670385185362,2.1458420847268647,0.7723651951921244,11.207977450135292,11.958785729841145,20.89418390313823,Matarani,38.625157525083566,1-2 h
3050104,APURIMAC,COTABAMBAS,TAMBOBAMBA,ALLAHUA,SIERRA,-14.048031256999934,-72.24866572299999,3903.2612877188344,1097.126699211165,336.20289372865227,4.150223505902053,23168.947987205574,0.34269938758885815,0.02284662583925721,0.02284662583925721,0.02284662583925721,0.0,0.04569325167851442,0.05180141490078,11.020887812983984,11.772335055658218,20.44772215545263,Matarani,0.8224785302132596,<1 h
3050105,APURIMAC,COTABAMBAS,TAMBOBAMBA,ASACASI,SIERRA,-13.98782900599997,-72.28168963499996,4041.5949232158146,2917.1414559845725,893.9272005894926,11.034996276522396,61603.73155955724,1.9134198811737289,1.1015500153240299,1.0583577151558892,0.9218794831389809,0.17967053218504891,2.159907730479919,0.4972065863135306,11.447447257046155,12.154283200268758,20.875508512885197,Matarani,38.87833914863854,1-2 h
3050106,APURIMAC,COTABAMBAS,TAMBOBAMBA,OCCORURO,SIERRA,-13.91036471999996,-72.22756171999998,4141.432907520219,1434.4797927713048,439.58118754356,5.426366671216263,30293.117222752917,5.616246051966283,1.8198318788608592,1.816051022462825,1.536080870506803,0.2837510083540562,3.635882901323684,0.954389326625317,11.95527830479027,12.701525691782978,21.392287500552637,Matarani,65.44589222382632,1-2 h
3050107,APURIMAC,COTABAMBAS,TAMBOBAMBA,UMAHUIRE,SIERRA,-13.876617317999944,-72.12924235899999,4102.380467346662,712.8317906460145,218.4397763077681,2.6965083024781373,15053.46893205573,3.236987733307759,2.8341032310256398,2.568064172250596,2.159225725217159,0.6748775058084808,5.402167403276236,1.403595820283703,12.969549656955051,13.45353884157075,21.608729422321023,Matarani,97.23901325897225,2-4 h
3050108,APURIMAC,COTABAMBAS,TAMBOBAMBA,TAMBOCCASA,SIERRA,-13.886045171999967,-72.28944206199998,4573.207481338168,1.9499992327948608,0.5975566771874732,0.007376479542659,41.179775163797366,6.24973544389169,2.481641538489149,2.6079562567892984,2.212685829877818,0.268955708611331,5.089597795278447,1.1651076857299392,13.354050321226486,14.235462119093475,21.58120141663872,Matarani,91.61276031501205,2-4 h
3050201,APURIMAC,COTABAMBAS,COTABAMBAS,CCHOCHAPATA  - COTABAMBAS,SIERRA,-13.720565564999958,-72.38889311899999,3802.282069990939,2310.644423360251,708.0725882163308,8.74073232062095,48795.82321736599,0.218088779945112,3.526714675537676,3.5746450095481066,2.8493967040610078,0.6773179714766684,7.101359685085782,2.473281534757241,13.662161101467087,14.460119678868264,22.771272234965995,Matarani,127.82447433154408,2-4 h
3050202,APURIMAC,COTABAMBAS,COTABAMBAS,SAN JUAN - COLCA,SIERRA,-13.776006381999936,-72.30294689999994,4140.044502753404,1521.0773016185417,466.1180798505897,5.753948724436527,32121.869708446487,1.0565914300709125,2.1969575858893324,2.136023408742323,1.7779632375339043,0.41899434835542815,4.332980994631655,1.925163975121254,12.332404011818742,13.021498078062482,22.346230633869347,Matarani,77.9936579033698,2-4 h
3050301,APURIMAC,COTABAMBAS,COYLLURQUI,COYLLURQUI,SIERRA,-13.83760571299996,-72.39598073099995,3850.1986194249475,2734.900159432086,838.081279328201,10.34561180229348,57755.18870303817,1.5308414088815059,3.1763070518137195,2.9432138722885135,2.531416085714803,0.6448909660989166,6.119520924102233,1.7909178070613232,13.775206202792548,14.320716969552523,21.969322705038536,Matarani,110.15137663384019,2-4 h
3050302,APURIMAC,COTABAMBAS,COYLLURQUI,PAMPUTA,SIERRA,-13.985612688999936,-72.36878292999995,4179.78868922404,546.1233932295006,167.35374799344802,2.065881857887246,11532.94738103458,0.5467456870972327,1.2725492794855622,1.3051402076464769,1.095822862335813,0.17672641714974913,2.577689487132039,0.963861058771421,12.144958062222896,12.957156468864097,20.933610232783387,Matarani,46.398410768376706,1-2 h
3050303,APURIMAC,COTABAMBAS,COYLLURQUI,CHAHUAY,SIERRA,-13.916074686999934,-72.43171626199995,3730.3268275483547,2968.9171760843965,909.7933233763698,11.23085406646388,62697.12302187006,0.48844669433062915,1.892508641409368,1.8444509672569767,1.5843714200193741,0.3081372213899938,3.7369596086663446,1.5772571185614033,12.749658048538642,13.409862044048047,21.452790228287714,Matarani,67.2652729559942,1-2 h
3050401,APURIMAC,COTABAMBAS,HAQUIRA,HAQUIRA,SIERRA,-14.18124174299993,-72.15317293499999,4018.3868628375285,5678.948976761561,1740.2539567192912,21.482393555019957,119927.1456607388,1.9795752491105998,1.4637482407434732,1.4080505769814697,1.2058378237360752,0.25791041700739803,2.871798817724943,1.0969542870112616,10.315186853032397,11.010936431944616,19.50483349732243,Matarani,51.692378719048975,1-2 h
3050402,APURIMAC,COTABAMBAS,HAQUIRA,SAN JUAN LLAC-HUA,SIERRA,-14.240077787999953,-72.14857989099994,3830.577602745782,1577.604174005763,483.4401430942226,5.967779227937396,33315.59525278024,1.32055190570429,1.489059744794955,1.3751910612499247,1.1812650818020078,0.3077946629929471,2.86425080604488,1.4688553687320005,9.798923713322045,10.436502272451227,19.09746942798212,Matarani,51.55651450880784,1-2 h
3050403,APURIMAC,COTABAMBAS,HAQUIRA,HUANCASCCA,SIERRA,-14.304182426999944,-72.22321004499997,3976.4040223204356,315.1388109414836,96.5709614403806,1.19211072133396,6655.051531152039,0.74446177354255,2.403364595422825,2.3151064470078295,1.9350357253495805,0.46832887007324464,4.718471042430655,1.777245638666232,10.924653992224094,11.65324373667975,18.670275366271795,Matarani,84.93247876375179,2-4 h
3050404,APURIMAC,COTABAMBAS,HAQUIRA,HUANCA UMUYTO,SIERRA,-14.383774924999956,-72.30870252899996,4587.725737826531,56.10700795506645,17.193400221243916,0.2122422354941999,1184.8589137091662,4.566844376033556,2.363566319703063,2.363679057300226,2.024904588480374,0.33866173122268917,4.727245377003289,2.368044801837217,10.86368627828062,11.669354011227437,18.15627110491818,Matarani,85.0904167860592,2-4 h
3050405,APURIMAC,COTABAMBAS,HAQUIRA,PATAN,SIERRA,-14.291317080999931,-72.29081366199995,3962.7785858734314,607.6267735289316,186.2008095458008,2.2985375527989267,12831.766031806084,0.134968317743221,1.779157839932562,1.758951307696658,1.463940702677698,0.315217137254864,3.5381091476292204,1.717435334064668,10.79646925702537,11.524961603819946,18.785079041574505,Matarani,63.68596465732597,1-2 h
3050501,APURIMAC,COTABAMBAS,MARA,ACCOERA,SIERRA,-13.975200154999982,-72.08100233799996,3567.9045277769637,1330.3782908802357,407.68038137191127,5.032570311635676,28094.71818238835,0.24080598941900033,2.3709793448005443,2.3955222332316644,1.7960180174215985,0.5749613273789458,4.766501578032209,1.1910851215602003,12.102080654837202,12.709171135197229,20.92619496317732,Matarani,85.79702840457975,2-4 h
3050502,APURIMAC,COTABAMBAS,MARA,PITAJ,SIERRA,-14.078594517999932,-72.08062209099995,3220.2361571082415,1010.7989613019492,309.7486698773915,3.823661945291249,21345.89248148338,0.5410734647002942,1.4315032238296599,1.219485342366184,1.070747501670024,0.3607557221596358,2.650988566195844,1.1033777082794682,10.494427037367501,11.06024465371042,20.21124850077265,Matarani,47.717794191525186,1-2 h
3050503,APURIMAC,COTABAMBAS,MARA,MARA,SIERRA,-14.085986377999973,-72.12899541399997,3986.6763797381636,1199.3232607084626,367.51995102861,4.536813835034874,25327.118797837185,0.29196585111645523,0.9914379773457893,0.9317414525267775,0.7870974095342618,0.20434056781152754,1.9231794298725668,0.8009147809380135,10.74895657872906,11.467095551716445,20.16101423679501,Matarani,34.617229737706204,<1 h
3050504,APURIMAC,COTABAMBAS,MARA,PISACCASA,SIERRA,-14.075311144999944,-72.16903393299998,3919.111978787249,1245.0559286855105,381.5342442938,4.709811897849702,26292.894041879837,0.18607083548431722,0.8276423454016371,0.7471598950538738,0.64582695152374,0.18181539387789702,1.5748022404555109,0.521804813771648,10.700993116621127,11.398220280750982,20.239485398909306,Matarani,28.346440328199197,<1 h
3050601,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,CHICÑAHUI,SIERRA,-14.122616661999928,-72.33130037299998,4187.133555190117,632.1953345405691,193.72958567785597,2.3914757881823143,13350.601014683076,1.3577534014073294,1.1594517343876671,1.1709406076198097,0.9909807641653166,0.16847097022235058,2.330392342007477,0.7996647742300139,10.81091902576656,11.57384095749168,19.96859327228816,Matarani,41.947062156134585,1-2 h
3050602,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,CHILA,SIERRA,-14.119116274999952,-72.21946134999996,3932.173879443748,1593.3500652883672,488.2653052358008,6.027342966719279,33648.11449271957,1.2957289591201873,0.9726590052486084,0.8655506890716524,0.7696140953794782,0.20304490986913015,1.8382096943202608,0.5144077151612672,10.419692094283885,11.064031020781156,19.94774882686044,Matarani,33.0877744977647,<1 h
3050603,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,CHALLHUAHUACHO,SIERRA,-14.194297949999964,-72.28895999899999,3967.342937224592,737.2418702930654,225.9199874988603,2.788847032731418,15568.957130558878,0.5325555180047032,1.0866944804245047,1.0600027902598712,0.914969082849864,0.17172539757464067,2.146697270684376,1.0637669552660505,10.738161771803396,11.460404474328168,19.45361283670135,Matarani,38.64055087231877,1-2 h
3050604,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,LAHUANI,SIERRA,-14.236973018999947,-72.39859224899999,4419.204805981355,91.2294780364645,27.9563103616627,0.3451039195840736,1926.5696779109512,2.0191021528554605,1.5773586472144374,1.6063523339330166,1.3738486630468922,0.20350998416754518,3.183710981147454,1.6860880258749371,11.22882593859333,12.006754018001311,19.22256130593085,Matarani,57.30679766065417,1-2 h
3060101,APURIMAC,CHINCHEROS,CHINCHEROS,PAMPAS,SIERRA,-13.529517828999928,-73.78948033399996,2160.6620953975084,556.0114346140539,170.38383387977794,2.103286454649873,11741.761473972769,0.5113355187769046,2.577535893608903,2.6100860900683265,1.9630514359934588,0.6144844576154442,5.1876219836772295,1.1146843760966023,8.525144607855902,8.878948381089078,17.034665057040304,Pisco (Gral. San Martín),93.37719570619014,2-4 h
3060102,APURIMAC,CHINCHEROS,CHINCHEROS,TEJAHUASI,SIERRA,-13.488176110999971,-73.74805661999994,3526.9628433539683,1193.5155129805603,365.7402280544352,4.5148442200815415,25204.471700535363,2.0101051387852764,2.5207899607664714,2.8378087084275863,2.0447609293601876,0.47602903140628383,5.358598669194057,0.740110799008742,9.071798481096154,9.71007080553102,17.348234800610097,Pisco (Gral. San Martín),96.45477604549303,2-4 h
3060103,APURIMAC,CHINCHEROS,CHINCHEROS,PONGORO,SIERRA,-13.52832785499993,-73.71338096399995,3073.789243516754,437.8222105523577,134.16599398429804,1.656198897490017,9245.86014653039,0.8901560689675192,2.328398564897484,2.500054157234991,1.8341099573896884,0.49428860750779546,4.828452722132475,0.7028362504097497,8.879407085227164,9.372316254338426,17.547037252272258,Pisco (Gral. San Martín),86.91214899838455,2-4 h
3060104,APURIMAC,CHINCHEROS,CHINCHEROS,CASABAMBA,SIERRA,-13.540656701999978,-73.72939306899997,3258.519374662425,1115.6441479606897,341.8773703944178,4.220271524170928,23559.99653906559,0.2764808596234577,2.5790639217558913,2.9191785133167096,2.0729630431136608,0.5061008786422305,5.498242435072601,0.8386354949157037,9.130072442085572,9.79144061042014,17.42984149026202,Pisco (Gral. San Martín),98.96836383130682,2-4 h
3060105,APURIMAC,CHINCHEROS,CHINCHEROS,CAYARA,SIERRA,-13.567740195999932,-73.71506122299996,3614.255786866789,858.7705198167166,263.1611590701691,3.2485670069661468,18135.37991636228,0.28626011916133115,3.992039210833327,3.9648830285088326,3.0633891086241785,0.9286501022091485,7.956922239342159,0.931705663068336,11.35341913734083,12.044563257795247,17.50672715864337,Pisco (Gral. San Martín),143.22460030815887,2-4 h
3060106,APURIMAC,CHINCHEROS,CHINCHEROS,ORCCORBAMBA,SIERRA,-13.564210405999972,-73.74602373199997,3325.872762057278,695.3834491076384,213.0929162594385,2.6305045152732123,14684.997617068777,2.705771866140653,2.6432987695671817,2.8943482831055785,2.1421961176780617,0.50110265188912,5.53764705267276,1.0349788288658872,9.194307289896862,9.766610380209013,17.300769004015624,Pisco (Gral. San Martín),99.67764694810968,2-4 h
3060107,APURIMAC,CHINCHEROS,CHINCHEROS,CHINCHEROS,SIERRA,-13.50613209599993,-73.71525921799997,3131.0591475175465,316.35136956570625,96.94253722882178,1.1966976020544375,6680.658152261753,0.7921030445204055,2.123425424827184,2.3295736907678286,1.683801553297209,0.4396238715299752,4.452999115595013,0.6054174984606536,8.843092677255534,9.37049451996993,17.552594966497825,Pisco (Gral. San Martín),80.15398408071023,2-4 h
3060201,APURIMAC,CHINCHEROS,ANCO_HUALLO,CHUPARO,SIERRA,-13.499999627999957,-73.68958299399998,3604.7482062774993,497.6107810356552,152.48757017311632,1.8823677900914573,10508.46571501476,2.391785097113322,2.177295527794245,2.406059185966167,1.760409573807105,0.4168859539871401,4.5833547137604125,0.4494146274282016,8.979898122402918,9.52991535734859,17.73023510633405,Pisco (Gral. San Martín),82.50038484768743,2-4 h
3060202,APURIMAC,CHINCHEROS,ANCO_HUALLO,VISTA ALEGRE,SIERRA,-13.50722402499997,-73.66056003199998,3770.744966274351,201.86959091433232,61.86080483686682,0.7636346120661135,4263.050070201988,1.8254943413279803,2.08179267377649,2.3922981474632405,1.7027842538270344,0.37900841994945544,4.474090821239731,0.3984168776618239,9.073904405483928,9.710265448839568,17.919050091731027,Pisco (Gral. San Martín),80.53363478231515,2-4 h
3060203,APURIMAC,CHINCHEROS,ANCO_HUALLO,BUENA VISTA,SIERRA,-13.525378332999937,-73.64997496499996,3444.9827368320784,567.2100425063605,173.8155290357094,2.1456486774828862,11978.25190299297,0.2971436465846851,2.0223114862273466,2.2293371676013884,1.5855613932429975,0.4367500929843491,4.251648653828735,0.5112884186618853,9.033085292713341,9.72202636622313,17.975569048105978,Pisco (Gral. San Martín),76.52967576891723,2-4 h
3060204,APURIMAC,CHINCHEROS,ANCO_HUALLO,TOTORABAMBA,SIERRA,-13.549537877999969,-73.65859783999997,3644.5217043734374,860.6620760092942,263.740806494712,3.255722407503582,18175.325500652787,0.47098385356085165,1.6263431569395195,2.00610432727642,1.3605590587845544,0.26578409815496506,3.6324474842159393,0.6833230982517356,9.123746148619,9.824760895729653,17.899479921785925,Pisco (Gral. San Martín),65.3840547158869,1-2 h
