cod_se,dep,prov,dist,sector,region_nat,lat,lon,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_capital,km_via_capital,horas_capital,accesible,km_puerto_maritimo,puerto_maritimo,horas_puerto,costo_viaje_usd,costo_pct_venta
13120111,LA LIBERTAD,VIRU,VIRU,EL CARMELO,COSTA,-8.445891829999937,-78.89398317599995,1079.1472273546126,481.579536418628,24.4288230173376,93693.03793783304,38.392773585699715,47.99096698212465,0.87256303603863,<1 h,26.271579010162288,Salaverry,0.597081341140052,31.41226929739068,0.8190200511462383
13120112,LA LIBERTAD,VIRU,VIRU,SANTA ELENA,COSTA,-8.426488845999927,-78.84554273599997,4034.3239173987104,1800.3547548058757,91.32561570337056,350265.51916640013,33.81718009991096,42.2714751248887,0.7685722749979764,<1 h,26.77009464462419,Salaverry,0.6084112419232771,27.66860189992715,0.721410463175471
13120113,LA LIBERTAD,VIRU,VIRU,PUR-PUR,COSTA,-8.36555343799995,-78.84223595199995,5438.320298861116,2426.901262436308,123.10809936299546,472162.40487253485,36.16909356920926,45.21136696151157,0.8220248538456649,<1 h,21.689345414938273,Salaverry,0.49293966852132437,29.59289473844394,0.7715830375954056
13120114,LA LIBERTAD,VIRU,VIRU,SAN IDELFONSO,COSTA,-8.387664245999929,-78.77748008999998,2042.539083367852,911.5021564726584,46.23727375541123,177336.03624837493,28.764029506747264,35.955036883434076,0.653727943335165,<1 h,28.593258249211072,Salaverry,0.6498467783911608,23.53420596006594,0.6136133109842027
13120115,LA LIBERTAD,VIRU,VIRU,SANTA CLARA,COSTA,-8.426075540999932,-78.74803795899999,1833.8261161966568,818.3620441441004,41.51260597403065,159215.2910380806,23.874150845577947,29.842688556972433,0.5425943373994988,<1 h,33.816958151127444,Salaverry,0.7685672307074419,19.533396146381957,0.5092991836854782
13120116,LA LIBERTAD,VIRU,VIRU,HUANCACO,COSTA,-8.454855519999967,-78.76967346999999,1996.2214988497049,890.8325014757594,45.18877541699815,173314.68022442854,24.903128267032933,31.12891033379117,0.5659801878871121,<1 h,34.36743066407946,Salaverry,0.7810779696381694,20.375286763936035,0.5312500109281937
13120201,LA LIBERTAD,VIRU,CHAO,BUENA VISTA LATERAL 6,COSTA,-8.48552518799994,-78.65068246799996,1963.9110165429115,876.4136467575656,44.45735802197565,170509.43996821155,11.404686299488858,14.255857874361073,0.2591974158974741,<1 h,46.25591137640174,Salaverry,1.0512707131000396,9.331106972309067,0.24329231477543783
13120202,LA LIBERTAD,VIRU,CHAO,CHOROBAL,COSTA,-8.415075846999969,-78.51292969099995,747.4818701736018,333.570770877998,16.920862929798446,64897.39809803008,12.64565809965526,15.807072624569074,0.2874013204467104,<1 h,55.44324525280019,Salaverry,1.2600737557454589,10.346447536081575,0.2697655463843648
13120203,LA LIBERTAD,VIRU,CHAO,HUAMANZAÑA,COSTA,-8.510231457999964,-78.48717552099998,1055.4023116831484,470.9831458692173,23.89130568161525,91631.471889713,7.445967229547564,9.307459036934455,0.16922652794426282,<1 h,62.677641080765845,Salaverry,1.4244918427446782,6.092155005993462,0.1588423000376495
13120204,LA LIBERTAD,VIRU,CHAO,TANGUCHE,COSTA,-8.622520552999958,-78.42776878299998,832.011507656601,371.2929116580721,18.834373432766487,72236.37681271422,17.78087108615091,22.226088857688637,0.4041107065034298,<1 h,53.66839950797911,Chimbote,1.2197363524540707,14.547985434123472,0.3793133078519827
13120205,LA LIBERTAD,VIRU,CHAO,SAN CARLOS,COSTA,-8.57424240599994,-78.61459960899998,5881.083768820116,2624.4885991787223,133.13100464598006,510603.7347826784,8.848966976084027,11.061208720105034,0.2011128858200915,<1 h,55.29310310059811,Chimbote,1.2566614341045026,7.240063889523294,0.1887720190146201
13120206,LA LIBERTAD,VIRU,CHAO,EL TIZAL LATERAL 5B,COSTA,-8.628978275999941,-78.69201024899996,3663.9202995430433,1635.0586783733884,82.94073160580501,318106.5705629417,19.28006623768445,24.100082797105564,0.4381833235837375,<1 h,50.1264965593284,Chimbote,1.1392385581665547,15.77459964901455,0.41129513086214786
13120207,LA LIBERTAD,VIRU,CHAO,YACUYMINKA,COSTA,-8.526950597999928,-78.71787064599994,1556.7374076218882,694.7086181427339,35.24010593854536,135158.07046004917,18.075160953224927,22.593951191531158,0.41079911257329377,<1 h,44.12426056387558,Salaverry,1.002824103724445,14.788768052638575,0.3855912940319797
13120208,LA LIBERTAD,VIRU,CHAO,EL INCA LATERAL 5A,COSTA,-8.50980775499994,-78.64411677199996,1066.30323615372,475.84778529931737,24.13807159813413,92577.90505850538,10.036814394635838,12.546017993294798,0.22810941805990542,<1 h,48.528446192761855,Salaverry,1.1029192316536787,8.211939050156595,0.21411196616182493
13120209,LA LIBERTAD,VIRU,CHAO,LATERAL 4,COSTA,-8.510743440999931,-78.63176627199994,1447.235742914766,645.8424768137202,32.76129978547621,125650.98619425332,8.675742574762726,10.844678218453407,0.19717596760824377,<1 h,49.63361975962972,Salaverry,1.1280368127188571,7.098334833896776,0.18507668146071146
13120301,LA LIBERTAD,VIRU,GUADALUPITO,HUACA CORRAL,COSTA,-8.776643545999946,-78.60567522299993,246.7173931989236,110.09994265046392,5.584979862784646,21420.34144643556,28.743559286228155,35.929449107785196,0.6532627110506399,<1 h,32.90016213751804,Chimbote,0.7477309576708645,23.51745759782304,0.6131766266946682
13120302,LA LIBERTAD,VIRU,GUADALUPITO,CAMPO NUEVO,COSTA,-8.800256737999973,-78.67675889199995,403.3928116152594,180.01781248004536,9.131665588922626,35023.11551609816,33.626352810513175,42.03294101314147,0.7642352911480267,<1 h,31.26396877044606,Chimbote,0.710544744782865,27.51247048132896,0.7173396091650462
