ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
050613,837574.8200000001,451786.0,22,4,"Palta, mango, dátil y piña",100.0,Mar,AYACUCHO,LUCANAS,OTOCA,-14.50231791866662,-74.69562827866662,1655.321437561023,858e6a87fffffff,868e6a877ffffff,Pisco,4.694634664325378,False,0.587880293377426,6.0,True,0.8,
200201,791160.37,366223.99,64,13,"Productos vegetales diversos (tara, achiote)",65.5,Jun,PIURA,AYABACA,AYABACA,-4.6522907541499565,-79.61733040159996,84542.30174326882,858f724ffffffff,868f724f7ffffff,Chiclayo,6.576545568656294,False,1.119729586966176,6.0,False,0.8,
090612,640196.5,240553.5,17,2,Legumbres secas,88.4,Set,HUANCAVELICA,HUAYTARA,SAN ISIDRO,-13.97374051899996,-75.23665725349997,1860.928946116738,858e6e7bfffffff,868e6e7b7ffffff,Pisco,4.332578414048905,False,0.1519050773929214,6.0,True,0.6,
160301,640000.0,20000.0,1,1,Extractos vegetales (tara y otros),100.0,Mar,LORETO,LORETO,NAUTA,-4.490981633999961,-73.86398645866662,14938.876183372855,858f61abfffffff,868f61a97ffffff,,inf,False,29.312294592396373,6.0,False,0.6,
150809,572922.09,413466.6,21,2,Cítricos,89.6,Jul,LIMA,HUAURA,SANTA LEONOR,-10.979808552749944,-76.69354678199996,1853.5317354274962,858e6613fffffff,868e6689fffffff,Tarma,5.146262519911878,False,1.6359695878306697,6.0,True,0.6,
100103,539719.43,140541.21,459,1,Follaje y ramas,79.0,Mar,HUANUCO,HUANUCO,CHINCHAO,-9.677098836272684,-76.08890051190905,17967.519225592965,858f4a4bfffffff,868f4a487ffffff,Tarma,5.083837132506868,False,1.062977953309313,6.0,True,0.5,
130809,537600.0,320000.0,4,1,"Productos vegetales diversos (tara, achiote)",100.0,Jul,LA LIBERTAD,PATAZ,PATAZ,-7.744843769599958,-77.59888068899997,4179.717489576183,858f5cd7fffffff,868f5cd77ffffff,Huamachuco,4.489927652475765,False,1.616763338444183,6.0,True,0.5,
130403,536907.18,1620680.0,79,5,Forrajes,66.6,Mar,LA LIBERTAD,CHEPEN,PUEBLO NUEVO,-7.192265684599943,-79.56085170739996,10453.548098997555,858f5063fffffff,868f50637ffffff,Chiclayo,1.7117793843877016,True,2.6183215478828297,4.0,True,0.5,
150128,482765.89,52297.18,168,7,Follaje y ramas,76.9,Feb,LIMA,LIMA,RIMAC,-12.02358344299995,-77.03267751899995,0.0,858e62c3fffffff,868e62c2fffffff,Pisco,3.0273692939999672,False,0.1026555036897495,4.0,True,0.5,
050611,478567.91000000003,285040.0,12,3,"Palta, mango, dátil y piña",100.0,Mar,AYACUCHO,LUCANAS,LUCANAS,-14.542407040666623,-74.28190257299997,2922.023947526409,858e6847fffffff,868e68457ffffff,Pisco,6.390264685404457,False,3.829535405397199,6.0,False,0.5,
