ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20616345703,ASOCIACION DE PRODUCTORES AGROPECUARIOS SAN LORENZO DE MARCAPATA,productor,ACTIVO,HABIDO,081209,---- SECTOR SAN LORENZO COM. SOCAPATA S/N,False,False,False,True,True,MARCAPATA,QUISPICANCHI,CUSCO
20616347498,ASOCIACION DE REPRODUCTORES AGROPECUARIOS LOS KAPTOS DE CHOCCECANCHA-OVINOS,productor,ACTIVO,HABIDO,030213,COM. CHOCCECANCHA SN,False,False,False,True,True,SAN JERONIMO,ANDAHUAYLAS,APURIMAC
20616353145,CONSORCIO EJECUTOR SEÑOR DE LOS MILAGROS,agro_otro,ACTIVO,HABIDO,130301,JR. SAN MARTIN S/N,False,False,False,True,True,BOLIVAR,BOLIVAR,LA LIBERTAD
20616354427,GREEN AGROSOLUCIONES & SERVICIOS GENERALES S.A.C.,agro_otro,ACTIVO,HABIDO,130101,CAL. CROLUNGO A.H. ADITA ZANNIER DE MURGIA 03 F,False,False,False,True,True,TRUJILLO,TRUJILLO,LA LIBERTAD
20616350120,FUNDO DON RODRIGO S.A.C.,productor,ACTIVO,HABIDO,220801,JR. SAN MARTIN SEC. JR SAN MARTIN 1423,False,False,False,True,True,RIOJA,RIOJA,SAN MARTIN
20616351495,ASOCIACIÓN AGRARIA LOS EMPRENDEDORES DE SHIMBILLO,productor,ACTIVO,HABIDO,220707,JR. JOSE OLAYA 106,False,False,False,True,True,SAN HILARION,PICOTA,SAN MARTIN
20616354036,ASOCIACION DE PEQUEÑOS PRODUCTORES AGROPECUARIOS DEL CENTRO POBLADO LA ISLA DEL DISTRITO DE VICHAYAL,productor,ACTIVO,HABIDO,200507,CAL. BUENOS AIRES OTR. CPMEN ISLA SAN LORENZO 31 A,False,False,False,True,True,VICHAYAL,PAITA,PIURA
20616355067,INVERSIONES AGRO HUELLITAS S.A.C.,agro_otro,ACTIVO,HABIDO,150116,CAL. TOMA GUIDO 670,False,False,False,True,True,LINCE,LIMA,LIMA
20616356217,ASOCIACION DE PRODUCTORES AGROPECUARIOS SANTIAGO DE YAMOR,productor,ACTIVO,HABIDO,100203,C.P. YAMOR SN,False,False,False,True,True,COLPAS,AMBO,HUANUCO
20616358660,ASOCIACION DE PRODUCTORES AGRARIOS BROTES DEL PERU,productor,ACTIVO,HABIDO,100603,CAS. MANUEL MEZONES MURO SN,False,False,False,True,True,HERMILIO VALDIZAN,LEONCIO PRADO,HUANUCO
20616360567,ASOCIACION DE PRODUCTORES AGROPECUARIOS SAN PEDRO DE JANANSAYA,productor,ACTIVO,HABIDO,211001,C.P. JANANSAYA HUANCARANI S/N,False,False,False,True,True,PUTINA,SAN ANTONIO DE PUTINA,PUNO
20616358449,ASOCIACION AGROFORESTAL E INDUSTRIAL CAUÑANI COMITE DEL POZO IRHS-333,agro_otro,ACTIVO,HABIDO,230110,---- I  ETAPA C.H. A.UGARTE 17 E2,False,False,False,True,True,CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA
20616358481,"ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS E INDUSTRIALES ""LLAPAN LLANKAQ"" DE QUISHQUE",productor,ACTIVO,HABIDO,030414,SEC. TUPAC AMARU SN,False,False,False,True,True,TAPAIRIHUA,AYMARAES,APURIMAC
20616359127,ASOCIACION DE EMPRENDEDORES AGROFORESTALES DE LA AMAZONIA,agro_otro,ACTIVO,HABIDO,250101,CAL. LOS PINOS 4 A,False,False,False,True,True,CALLERIA,CORONEL PORTILLO,UCAYALI
20616357841,AGROSERVICIOS KAISER S.A.C.,canal,ACTIVO,HABIDO,150131,CAL. GENERAL FRANCISCO VALLE R URB. COUNTRY CLUB EL GOLF 736,False,False,False,True,True,SAN ISIDRO,LIMA,LIMA
20616367162,"ASOCIACION AGROPECUARIA E INDUSTRIAL ""SHADAY""",productor,ACTIVO,HABIDO,190111,JR. 5 DE AGOSTO ---- PUEBLO VILLA DE PASCO 2 E 25,False,False,False,True,True,TINYAHUARCO,PASCO,PASCO
20616367405,ASOCIACION DE PRODUCTORES AGROPECUARIOS AGROINDUSTRIALES RIO COLORADO DEL DISTRITO DE CODO DEL POZUZ,agroindustria,ACTIVO,HABIDO,100902,C.P. NUEVA YORK SN,False,False,False,True,True,CODO DEL POZUZO,PUERTO INCA,HUANUCO
20616365950,ASOCIACION DE PRODUCTORES AGROPECUARIOS DE AYMAHUI QUENARIRI - ACORA,productor,ACTIVO,HABIDO,210102,C.C. DE AYMAHUI QUENARIRI ---,False,False,False,True,True,ACORA,PUNO,PUNO
20616365801,ASOCIACION AGROFORESTAL E INDUSTRIAL SOSTENIBLE - VILLA RICA,agro_otro,ACTIVO,HABIDO,190307,AV. PADRE SALAS S/N,False,False,False,True,True,VILLA RICA,OXAPAMPA,PASCO
20616367910,ASOCIACION DE PRODUCTORES AGROPECUARIOS FUNDO CHAUPIMAYO,productor,ACTIVO,HABIDO,090307,JR. SAN MARTIN C.C. HUANCA HUANCA SN,False,False,False,True,True,HUANCA-HUANCA,ANGARAES,HUANCAVELICA
20616368142,ASOCIACION DE PRODUCTORES AGROPECUARIOS LOS ENTUSIASTAS DE SANTA CRUZ,productor,ACTIVO,HABIDO,090206,---- SECTOR YURACC YACU C.P. SANTA CRUZ DE PACCHO SN,False,False,False,True,True,PAUCARA,ACOBAMBA,HUANCAVELICA
20616364155,ASOCIACION AGROPECUARIA SOSTENIBLE RAICES DE LOS ANDES,productor,ACTIVO,HABIDO,060808,---- SECT. CORRAL EL POTRERO CAS. EL PEROL SN,False,False,False,True,True,PUCARA,JAEN,CAJAMARCA
