dep,prov,dist,ha_agricola,ha_territorial,n_sectores,intensidad_agricola
LAMBAYEQUE,CHICLAYO,POMALCA,6484.466727999999,7660.846364,4,0.8464426017563716
LAMBAYEQUE,CHICLAYO,PUCALA,6108.523453,17497.190093999998,4,0.3491145389735857
LAMBAYEQUE,CHICLAYO,REQUE,1573.416117,4530.442024,2,0.347298587790073
LAMBAYEQUE,CHICLAYO,SANTA ROSA,552.70592,1358.268853,1,0.4069193803415589
LAMBAYEQUE,CHICLAYO,SAÑA,9366.614382,31401.877502,6,0.2982819858909212
LAMBAYEQUE,CHICLAYO,TUMAN,7880.5504710000005,12565.831319,2,0.6271411951141121
LAMBAYEQUE,FERREÑAFE,CAÑARIS,11460.512395,28902.323766999998,6,0.3965256388168119
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,5452.105859,6018.828099,9,0.9058417634332906
LAMBAYEQUE,FERREÑAFE,INCAHUASI,17747.215854000002,43531.762456,7,0.4076842942423503
LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,5317.857131,20933.312608,8,0.254038012548845
LAMBAYEQUE,FERREÑAFE,PITIPO,14914.084346,54971.139863000004,9,0.27130753306497063
LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,2881.373156,3112.343049,4,0.9257890632993652
LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,1323.159997,7729.072645,3,0.17119259421839733
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,2087.672122,2402.66279,5,0.8688993439649515
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,18914.51209,68712.332989,6,0.2752709923708744
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,20140.585339,32496.788023,12,0.6197715701854981
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,9640.916265,10262.769353,7,0.9394068923688497
LAMBAYEQUE,LAMBAYEQUE,MORROPE,17201.598528,105316.295819,6,0.16333273397274836
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,16936.840094,55568.833369,4,0.3047902766202124
LAMBAYEQUE,LAMBAYEQUE,OLMOS,56563.976053,556639.94372,3,0.10161681117417745
LAMBAYEQUE,LAMBAYEQUE,PACORA,6937.554351000001,8869.207769,4,0.7822067688219471
LAMBAYEQUE,LAMBAYEQUE,SALAS,23846.26579,100304.819564,8,0.23773798600758927
LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,3206.293627,4515.376521,3,0.7100833368132756
LAMBAYEQUE,LAMBAYEQUE,TUCUME,5377.622377,6337.873351,9,0.848490034303306
LIMA,BARRANCA,BARRANCA,7575.118691,16093.441442,6,0.4706960110614233
LIMA,BARRANCA,PARAMONGA,4821.654861,41403.033187,3,0.11645656102591863
LIMA,BARRANCA,PATIVILCA,7991.776952,28222.639869000002,4,0.2831690086078106
LIMA,BARRANCA,SUPE,11744.527806,51971.894463000004,8,0.22597844329806374
LIMA,BARRANCA,SUPE PUERTO,880.596759,1546.586394,1,0.5693809039160602
LIMA,CAJATAMBO,CAJATAMBO,3052.0111150000002,55239.566365000006,6,0.05525045390171212
LIMA,CAJATAMBO,COPA,1458.5309359999999,20547.970918,3,0.07098175006284092
LIMA,CAJATAMBO,GORGOR,3073.973151,33624.759343,5,0.09141993016642778
LIMA,CAJATAMBO,HUANCAPON,2178.855191,15018.285023,4,0.14508015979608566
LIMA,CAJATAMBO,MANAS,1185.477167,28287.893325,3,0.041907580510857995
LIMA,CANTA,ARAHUAY,737.6748789999999,13526.985906,4,0.05453357341584857
LIMA,CANTA,CANTA,3661.287673,13416.249967,4,0.2728994824936687
LIMA,CANTA,HUAMANTANGA,2278.512838,49340.123817,5,0.046179714636527626
LIMA,CANTA,HUAROS,855.338163,32734.230589,3,0.026129777532862726
LIMA,CANTA,LACHAQUI,1681.440396,12838.254833,3,0.13097110299430678
LIMA,CANTA,SAN BUENAVENTURA,789.5981850000001,10756.955075,3,0.07340350308193512
LIMA,CANTA,SANTA ROSA DE QUIVES,2695.541705,40949.836519,5,0.06582545705034297
LIMA,CAÑETE,ASIA,2471.463671,28225.075479,3,0.0875626948398709
LIMA,CAÑETE,CALANGO,1021.80477,52689.466572,2,0.01939296099351674
LIMA,CAÑETE,CERRO AZUL,1599.591009,12037.87917,3,0.13287980269700614
LIMA,CAÑETE,CHILCA,2608.152402,48324.403924,1,0.05397174492005846
LIMA,CAÑETE,COAYLLO,1168.079584,60029.041450000004,2,0.019458574646288977
LIMA,CAÑETE,IMPERIAL,4749.133484,5228.750611,7,0.9082730918565891
LIMA,CAÑETE,LUNAHUANA,1379.513487,49342.160466,3,0.02795810872429422
LIMA,CAÑETE,MALA,3178.0849580000004,13098.535409,3,0.24262903132027563
