k,ha_cosechada,g_fert,g_plag,n_cultivos,gasto_ha,dep,ua_total,ua_objetivo_5_mas_x,share_comercial,productores_x,compradores_insumos,compran_a_credito,tasa_fert,tasa_pest,tasa_credito,tam_usd,tasa_compra,ha_sam,sam_usd,clientes_sam,ticket_anual,densidad,score,rank,pct_sam,pct_acum,productores_y,ua_objetivo_5_mas_y,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,tasa_fert_e,tasa_pest_e,tasa_credito_e,compran_a_credito_e,prospectos,fundos,sectores,ha_agricola,region_nat,uso_ha
huanuco,399748.75,47600341.95413333,46553966.55173333,84.0,235.53371587995372,Huánuco,106356.0,26631.0,0.8417778042391045,106926.0,11801.862828613335,1084.2099176351123,0.4431625860318177,0.4023092256196171,0.0407123246455301,94154308.50586666,0.4431625860318177,149124.04402363126,35123740.21593168,11801.862828613335,2976.118323522199,87.86454045430204,46.14049620752876,11,6.856425713693351,75.35094650986058,106926.0,26631.0,79725.0,17947.0,7441.0,1243.0,0.4431625860318177,0.4023092256196171,0.0407123246455301,1084.2099176351123,65,5,420,859818.9689289792,SIERRA,0.46492199456583416
cajamarca,379261.272,81687998.50666668,46389074.90197334,69.0,337.7014287096522,Cajamarca,329650.0,35384.0,0.5061530322107491,339979.0,13064.869795237371,882.9630941908085,0.3692310025784923,0.2833035037160625,0.0249537388138935,128077073.40864,0.3692310025784923,70879.1498367226,23935990.16558673,13064.869795237371,1832.0879228595363,63.11213913132352,44.252914858125024,12,4.672490385280764,80.02343689514134,339979.0,35384.0,294266.0,30233.0,4707.0,444.0,0.3692310025784923,0.2833035037160625,0.0249537388138935,882.9630941908085,61,31,465,1233967.3913563923,SIERRA,0.30735112990555713
tumbes,26257.5,7760897.794080001,6132302.660906668,32.0,529.113603922181,Tumbes,7626.0,1042.0,0.5080693365212193,8141.0,794.9588250721217,338.1785995279307,0.7629163388408078,0.5487804878048781,0.3245476003147128,13893200.45498667,0.7629163388408078,10177.785058006952,5385204.531987383,794.9588250721217,6774.193030058905,205.0920511087264,35.38082759874908,13,1.0512335702183662,81.07467046535972,8141.0,1042.0,6584.0,965.0,69.0,8.0,0.7629163388408078,0.5487804878048781,0.3245476003147128,338.1785995279307,10,3,57,32040.67903906427,COSTA,0.8195051037459796
amazonas,269973.76900000003,61321007.07040001,38661153.848346666,76.0,370.3402789429764,Amazonas,69028.0,25132.0,0.8792875390838767,69562.0,5316.720693052095,1028.9017789882366,0.2115518340383612,0.2048299240887755,0.0409399084429506,99982160.91874668,0.2115518340383612,50219.14135925326,18598170.819262616,5316.720693052095,3498.053009172883,68.88880682057157,30.58105235873349,14,3.630506769749239,84.70517723510895,69562.0,25132.0,43896.0,18305.0,6092.0,735.0,0.2115518340383612,0.2048299240887755,0.0409399084429506,1028.9017789882366,3,1,337,520995.2885194088,SELVA ALTA,0.518188503714161
ancash,89106.86,22673618.78666667,14710662.925866667,76.0,419.54437304303326,Áncash,168253.0,10354.0,0.434937812347349,169938.0,6760.841447106442,268.2453566949772,0.6529690406708945,0.5028498748907895,0.0259074132407743,37384281.71253334,0.6529690406708945,25306.4307600761,10617170.627193058,6760.841447106442,1570.3918972596346,119.15099047585178,28.668736526396867,15,2.072553812533239,86.77773104764219,169938.0,10354.0,157899.0,8927.0,954.0,473.0,0.6529690406708945,0.5028498748907895,0.0259074132407743,268.2453566949772,268,17,338,498616.86519879417,SIERRA,0.17870807471478903
tacna,45422.0,13157330.778666666,5835052.2453333335,48.0,418.13180890317466,Tacna,21233.0,4365.0,0.7569207268744687,22059.0,2564.9745678896056,610.5613902887015,0.5876230396081571,0.4649366552065181,0.1398766071680874,18992383.024,0.5876230396081571,20202.981494666856,8447509.197602415,2564.9745678896056,3293.408559817732,185.97836285505736,25.847327245337294,16,1.649019122765025,88.42675017040722,22059.0,4365.0,16868.0,3899.0,229.0,237.0,0.5876230396081571,0.4649366552065181,0.1398766071680874,610.5613902887015,116,10,51,75721.96114802554,SIERRA,0.599852398318191
ayacucho,150285.2,36562009.74933334,23005599.226666667,79.0,396.3637735186166,Ayacucho,111604.0,11951.0,0.6231891456028555,113768.0,3644.4960216479694,543.4511755851045,0.3049532274828859,0.290383857209419,0.0454732805275796,59567608.976,0.3049532274828859,28560.731610558105,11320439.355613248,3644.4960216479694,3106.1741564185786,75.3263751561248,24.054123167612552,17,2.209837306931408,90.63658747733862,113768.0,11951.0,99653.0,9906.0,1341.0,704.0,0.3049532274828859,0.290383857209419,0.0454732805275796,543.4511755851045,104,98,423,466107.8384324247,SIERRA,0.3224258156769617
pasco,131084.269,16136692.96832,15236617.033306668,52.0,239.33695660786475,Pasco,30159.0,11249.0,0.925510123690223,32556.0,5771.644484233561,725.8381909214496,0.5130806724360887,0.4017374581385324,0.0645246858317583,31373310.00162667,0.5130806724360887,62246.853807489846,14897972.5486993,5771.644484233561,2581.235311599006,113.65187190157272,22.805318708980792,18,2.9081994524736587,93.54478692981228,32556.0,11249.0,18910.0,5879.0,4604.0,766.0,0.5130806724360887,0.4017374581385324,0.0645246858317583,725.8381909214496,15,3,121,256318.53278964615,SIERRA,0.5114115923391985
ucayali,165735.31,44220084.975200005,25665566.0288,47.0,421.6702584621226,Ucayali,25482.0,13545.0,0.9524016017656506,25580.0,1990.661054862256,823.9051094890511,0.1469664861470842,0.1430813907856526,0.0608272506082725,69885651.00400001,0.1469664861470842,23198.15643594142,9781972.620188173,1990.661054862256,4913.931779744913,59.02165700349654,22.361356694587837,19,1.9095167027024271,95.45430363251472,25580.0,13545.0,11937.0,7655.0,5258.0,632.0,0.1469664861470842,0.1430813907856526,0.0608272506082725,823.9051094890511,65,3,110,677549.246535553,SELVA BAJA,0.24460998347712481
huancavelica,88945.8,21061919.85066667,13303720.533333331,56.0,386.3660834350807,Huancavelica,72089.0,5371.0,0.6076750285196815,74922.0,2532.2057040602585,185.3687525142532,0.4714588910929545,0.3683502337388505,0.0345128937840724,34365640.384,0.4714588910929545,25482.41979938448,9845542.734336738,2532.2057040602585,3888.1291194273545,110.6914855376728,20.1588170970867,20,1.9219260805930245,97.37622971310772,74922.0,5371.0,66718.0,4270.0,528.0,573.0,0.4714588910929545,0.3683502337388505,0.0345128937840724,185.3687525142532,7,3,444,292244.7498985926,SIERRA,0.3043537994467436
