h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
858b75a7fffffff,2,794.0559418732139,265.2095377677498,12.44042269705836,20886.324724669885,0.9680427543253364,12.695968525848144,37.93743196155695,SELVA ALTA,PUNO,SANDIA,0,0,0,0.0,-14.079878597001482,-69.41023612484094,276.0542100120145,75.66022892301068,5,Juliaca,5.601400609825112,False
858b6cd3fffffff,1,275.95294845054315,190.09030690465792,9.809166473217438,20761.219947574413,0.9789306944623994,12.639482957189534,34.699287429261695,SIERRA,CUSCO,URUBAMBA,0,0,0,0.0,-13.230178017842848,-72.49430786735397,286.79369736423564,72.3907817304894,5,Chiclayo,inf,False
858e6697fffffff,1,356.43315375683954,182.2840467252677,8.025972306758366,20716.92312812042,1.359263415430514,4.945339440536852,48.32415040269425,SIERRA,PASCO,PASCO,2,2,0,0.0,-10.748426759006689,-76.36205125366686,297.55328235436684,69.62424667003974,5,Tarma,2.911350653670563,False
858f5823fffffff,1,962.5853697952596,172.02177818473407,13.051879145514732,20496.56525412833,0.7348612568645536,3.094776679465507,27.05862741671214,SIERRA,ANCASH,RECUAY,0,0,0,0.0,-9.735968569469238,-77.29500583500382,299.3683777640781,68.4660330767499,5,Pisco,9.100304782391515,False
858e683bfffffff,1,835.2269472452778,269.29872974093735,6.530637409243876,20285.29714553371,1.973009193438224,7.514462352657509,75.69156494454495,SIERRA,AYACUCHO,PARINACOCHAS,0,0,0,0.0,-14.63280468085117,-73.77695339636423,288.87002069185746,70.22292274203275,5,Pisco,7.636651495362342,False
858b60a3fffffff,3,267.3290978080281,184.1497636905331,9.502618610374968,20112.40767363572,1.9552058255774936,9.84906035482966,72.27085897338281,SIERRA,CUSCO,CANCHIS,0,1,0,0.0,-14.054259890862964,-71.26226777015563,282.3060620115884,71.24327239140236,5,Juliaca,5.471851354611227,False
858e62c3fffffff,14,198.60780759634773,100.09303889384157,4.115290829523955,20097.968635142654,0.3628391273478534,0.2459181032961963,13.015620773540205,COSTA,LIMA,LIMA,696,1277,277,4814116913.1588,-12.029835827571194,-77.07386871947742,298.40110019321656,67.35219348095264,5,Pisco,3.0485938718071464,False
858e6217fffffff,2,198.2125182676899,99.89382361310054,4.107100161851211,20057.96762699841,1.5865601054738097,1.463134893433904,58.235359085325086,COSTA,LIMA,LIMA,0,7,0,0.0,-12.318748697253268,-76.65791301090329,297.4618668613431,67.43038305595014,5,Pisco,3.4239999378949166,False
85b33103fffffff,1,256.20280768738,157.1605761596512,5.846696609727589,20035.61674196401,1.6159423256010743,1.5034025988793365,60.06961690800495,COSTA,MOQUEGUA,MARISCAL NIETO,0,0,0,0.0,-17.419100860360352,-71.09230146020506,276.94424060578376,72.34530928730778,5,Juliaca,6.514354436533725,False
858e6b13fffffff,1,820.6757473949358,264.6070472601123,6.416861614047794,19931.88971086967,2.953244148885402,6.824210680768429,115.78703532003355,SIERRA,AYACUCHO,PARINACOCHAS,0,0,0,0.0,-15.363950468214084,-73.98744437556061,288.4462438114394,69.10088149353533,5,Pisco,9.174533934080175,False
85b335b3fffffff,3,253.40381458998428,155.44361071409543,5.782821964477163,19816.729394596405,3.342669712497092,6.989504632297013,123.0507081914131,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,0,0,0,0.0,-16.06081403098339,-70.55426108951707,277.50633311751045,71.41000773558916,5,Juliaca,3.4298112376680634,False
85b32247fffffff,1,175.76377761034632,105.4323235370314,5.953749912068914,19608.13092342183,0.8980157980525593,4.264162799622855,32.879318562866736,SIERRA,TACNA,CANDARAVE,0,0,0,0.0,-17.04757508131704,-70.34161414749265,275.2124186494478,71.2472606419615,5,Juliaca,5.1942085957805135,False
858f4ba3fffffff,1,1341.2235311424454,328.0766657918846,3.940557033989708,19363.62843921938,2.8259845373696475,,101.25956299553464,SELVA BAJA,UCAYALI,ATALAYA,0,0,0,0.0,-10.190834874499195,-74.12217872369246,292.54960602886064,66.18921386381604,5,Chiclayo,inf,False
858f4e97fffffff,1,3752.618459238053,1210.195985352534,5.515845293630498,19215.32554476356,6.179346610774533,17.796396061811983,222.16648153145084,SELVA BAJA,LORETO,UCAYALI,0,0,0,0.0,-7.929988729960565,-75.08346554878258,294.30279231668794,65.29100656335835,5,Tarma,10.684420448254889,False
858f71cffffffff,1,3740.922845024735,1206.424222909607,5.498654311036508,19155.438019027595,0.910276423142925,11.037572303407108,32.8830722270402,SELVA BAJA,LORETO,DATEM DEL MARAÑON,0,0,0,0.0,-4.519814849556092,-77.37698600041887,295.48886701232993,64.82625965812882,5,Chiclayo,9.983259773770563,False
858f6277fffffff,1,3739.310938982161,1205.904393291254,5.496285025574827,19147.18423578476,5.6608402658081465,,203.79024956909328,SELVA BAJA,LORETO,ALTO AMAZONAS,0,0,0,0.0,-4.5733732881292815,-76.08055299220013,293.10605255381824,65.32510696710733,5,Chiclayo,inf,False
858f7377fffffff,1,532.4484023167828,275.9086409015293,5.433598922986627,19007.017063191903,3.830440201100278,8.309346101874308,144.15745408037228,SELVA ALTA,AMAZONAS,UTCUBAMBA,0,0,0,0.0,-5.5206560914140885,-78.20186624829203,298.17156357432754,63.74523725651617,5,Chiclayo,6.523804596145084,False
858e6ecbfffffff,3,563.5671368463919,171.5237993425223,4.883125938236793,18986.22415428949,2.536596302101896,3.3654523071029687,92.31619757380992,SIERRA,HUANCAVELICA,HUAYTARA,0,0,0,0.0,-13.438293013036423,-75.28669754379744,293.76493177816053,64.6306692884198,5,Pisco,3.487599462411213,False
858b61cbfffffff,1,251.62172374365983,173.32973232892886,8.944276154098944,18930.669085299447,3.396984948597259,12.567220606522657,126.09918725756356,SIERRA,CUSCO,QUISPICANCHI,1,0,0,0.0,-13.635511199028905,-71.37336786124818,283.0581124733436,66.87909037435627,5,Juliaca,6.6927199707649425,False
858f5023fffffff,2,970.9559665953796,298.4244134216323,10.280185172910866,18834.203100049668,1.4858014280090186,2.2382938908830057,53.17386389621495,COSTA,CAJAMARCA,CONTUMAZA,0,2,0,0.0,-7.193203959916799,-79.1020499248082,301.07373914772154,62.5567781280608,5,Chiclayo,2.2061442032877645,False
858b6cabfffffff,1,250.10347744299145,172.28388771349205,8.890307784511938,18816.444375761992,5.268393433728178,13.047492550284904,178.68648441661912,SELVA ALTA,CUSCO,LA CONVENCION,0,0,0,0.0,-12.694216865397737,-73.029415777168,288.7177763367335,65.17244838369857,5,Juliaca,12.18111562781024,False
858b66abfffffff,1,712.5123860720171,237.9745186695272,11.162885122067166,18741.456717448327,0.7422534544417467,8.164138195961646,27.962351652387813,SIERRA,PUNO,AZANGARO,1,0,0,0.0,-14.611042209090694,-70.15913722624342,278.09755839331336,67.39166221280622,5,Juliaca,2.3835876824889604,False
858f6333fffffff,1,3656.1903669560015,1179.098528623976,5.3741089447943,18721.564400382165,5.55013499801729,,199.8029433896077,SELVA BAJA,LORETO,LORETO,0,0,0,0.0,-5.118086190514182,-74.83493660465727,291.0890156292306,64.31559899267523,5,Chiclayo,inf,False
858f5947fffffff,2,449.5370482204139,208.99966108987243,6.170339072753449,18363.65917676652,1.3705439656158591,7.494250761419363,53.594790577690354,SIERRA,HUANUCO,LAURICOCHA,0,0,0,0.0,-10.194541543929931,-76.89770983312228,298.65393081665803,61.488087990510536,5,Tarma,9.442669315176529,False
858a6843fffffff,1,3563.406090073716,1149.1761795745128,5.237728515362639,18246.461454240765,2.0654048487813004,,74.3545745561268,SELVA BAJA,LORETO,MARISCAL RAMON CASTILLA,0,0,0,0.0,-3.4736711422519453,-71.58189364505101,279.59171084757764,65.26109589918427,5,Chiclayo,inf,False
858e6323fffffff,1,541.1788681379169,164.70984469806328,4.689138871754655,18231.977392308003,3.718808344442312,3.952347058834018,146.61340741495553,SIERRA,HUANCAVELICA,CASTROVIRREYNA,0,0,0,0.0,-13.414910565773704,-75.57934424166605,294.42628321543367,61.923742653666366,5,Pisco,4.037413035923995,False
858e6687fffffff,1,313.27402424399645,160.2119675771309,7.054137968109306,18208.390016175003,1.83973211722799,4.82849904177096,68.89245827633641,SIERRA,PASCO,PASCO,0,0,0,0.0,-10.91511878497373,-76.37769428699303,297.5456626083438,61.19527959694212,5,Tarma,2.8369518081039033,False
858e6a87fffffff,1,749.4688204341423,241.6480957529287,5.860094830431447,18202.47511644828,2.4657722306785783,5.7305952116343954,104.74443522493895,SIERRA,AYACUCHO,LUCANAS,0,0,0,0.0,-14.57017989925543,-74.65269210714212,291.1037082696437,62.52917637032533,5,Pisco,5.349104770333322,False
858b635bfffffff,1,3381.6102807900243,855.6289758603345,10.175686978092946,18070.54953144064,5.322111843943368,13.856933320491793,181.90078148897152,SELVA BAJA,MADRE DE DIOS,TAMBOPATA,0,0,0,0.0,-12.888585563395765,-70.17447008326062,279.71883225252213,64.6025488735312,5,Juliaca,6.954522531624175,False
858e6b47fffffff,1,101.54059868238636,81.10537126369218,3.477088860325384,18025.252096152224,2.1194508310946363,5.990417362977655,78.11444870463275,COSTA,AREQUIPA,CARAVELI,1,0,0,0.0,-15.673117317661974,-74.30919225478343,288.79025696616435,62.41641350893678,5,Pisco,6.946935869196852,False
85b326bbfffffff,1,683.0571600284796,228.13666409038663,10.701412015078546,17966.68584358198,2.159460789671001,7.674220794793755,77.65197149801897,SIERRA,PUNO,PUNO,0,0,0,0.0,-15.615993195764528,-69.6626817303443,275.1421838598812,65.29964104934085,5,Juliaca,1.0042411583512074,True
858e685bfffffff,1,733.8507984346654,236.6124422704866,5.737977555522421,17823.157593073596,3.4249672471919888,7.787206140142858,123.89775355595008,SIERRA,AYACUCHO,LUCANAS,0,2,0,0.0,-14.33307752128367,-74.48440416571769,290.98253093853083,61.25164124316,5,Pisco,6.897631587637871,False
