ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010205,AMAZONAS,BAGUA,IMAZA,1020503,VILLA RICA,36265.49089471979,3988.703779591119,0.10998620675425269,-5.10543064999996,-78.21429088499997
010205,AMAZONAS,BAGUA,IMAZA,1020504,PUERTO PACUI,27427.539054021625,3649.712684616751,0.1330674501065601,-5.237204150999958,-78.17914615299998
010205,AMAZONAS,BAGUA,IMAZA,1020505,CHIRIACO,63306.73573205757,8162.151556992115,0.1289302230261562,-5.309673997999937,-78.29163016499996
010205,AMAZONAS,BAGUA,IMAZA,1020506,SAN RAMON,68754.31971781641,6455.563409897253,0.09389320462179503,-5.141538210999954,-78.52711778199995
010206,AMAZONAS,BAGUA,LA PECA,1020601,SAN ISIDRO,1465.1006936027338,740.6826680351113,0.5055506909997747,-5.543315284999949,-78.49364488999998
010206,AMAZONAS,BAGUA,LA PECA,1020602,ARRAYAN,5713.778379981192,3230.6073881555235,0.5654064916963331,-5.581016859999977,-78.44363715799994
010206,AMAZONAS,BAGUA,LA PECA,1020603,SAN FRANCISCO,5249.199687352178,2695.797168489705,0.513563462823707,-5.623499759999959,-78.42013388299995
010206,AMAZONAS,BAGUA,LA PECA,1020604,LIMONYACO ALTO,1393.5795138420133,588.5027834477468,0.4222958055872109,-5.5663859229999275,-78.49600809299994
010301,AMAZONAS,BONGARA,JUMBILLA,1030101,CEBADA - LAS PALMAS,5966.525585907926,962.3576470987596,0.1612928048731928,-5.88973882199997,-77.84537896899997
010301,AMAZONAS,BONGARA,JUMBILLA,1030102,JUMBILLA,889.8303540513333,765.632427321629,0.8604251628816211,-5.908665443999951,-77.80093414399994
010301,AMAZONAS,BONGARA,JUMBILLA,1030103,JUMPAMPA,9029.606944219102,1940.2041636316512,0.21487138649748214,-5.980345874999955,-77.79285837099997
010302,AMAZONAS,BONGARA,CHISQUILLA,1030201,CHILAC,7002.645298543606,634.1479905722973,0.09055834810085067,-5.863097111999934,-77.73783967299994
010302,AMAZONAS,BONGARA,CHISQUILLA,1030202,CHISQUILLA,9198.121660009952,402.4796170898346,0.04375671816123806,-5.919015085999945,-77.71663345799999
010303,AMAZONAS,BONGARA,CHURUJA,1030301,CHURUJA,3186.114371350235,1050.179005037024,0.32961120745705413,-6.007796053999925,-77.93036500999995
