ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,region_nat,region_agraria,agencia_agraria,k,ha_dep,share,productores,ua_total,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,est_productores,est_ua_micro_0_5,est_ua_pequeno_5_20,est_ua_mediano_20_100,est_ua_grande_100_mas,est_ua_objetivo_5_mas,gasto_ha,tam_usd,ha_comercial,sam_usd
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,01010602,CHUMBOL,7559.640459730593,1493.8920303013322,0.1976141640940647,-6.940220611999962,-77.95374894999998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0028673810746863977,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,199.4607623173352,125.86655965443411,52.48741057213451,17.468085506989535,2.1075250898945024,72.06302116901854,450,672251.4136355994,1196.5852684732683,538463.3708129708
10107,AMAZONAS,CHACHAPOYAS,GRANADA,01010701,GRANADA,8944.837403300913,829.8542376089355,0.0927746587436787,-6.075865561999933,-77.59529466099997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0015928248410216107,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,110.80008159114529,69.91863922148463,29.156658714900583,9.703488931503653,1.170726258150884,40.03087390455512,450,373434.40692402096,664.7008857143925,299115.39857147663
10107,AMAZONAS,CHACHAPOYAS,GRANADA,01010702,CALVICHE,8189.636392815778,86.81962207546523,0.0106011571101772,-6.126326628999948,-77.55618421699995,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0001666418564401872,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,11.591940817692302,7.314910930298457,3.0503791821376267,1.0151821894336204,0.12248176448353759,4.188043136054785,450,39068.82993395936,69.54122432058445,31293.550944263003
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,01010801,HUANCAS,3188.028607801816,448.9071631056121,0.1408102681409559,-6.142778094999926,-77.88025713399998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0008616338247152668,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,59.936972114843385,37.82227836970135,15.772207161412958,5.249073260165405,0.633300861165721,21.654581282744086,450,202008.22339752543,359.56795229435204,161805.57853245843
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,01010802,MARIPAMPA,1439.0415061844024,319.32813959931826,0.221903355967829,-6.185732946999963,-77.86327172199998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0006129194383058653,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,42.6359019674326,26.904711663874263,11.219490318188864,3.7339052181593315,0.450495787154811,15.403891323503007,450,143697.6628196932,255.77708422237566,115099.68790006905
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,01010901,HUACAS,1308.421399999028,930.9139733705456,0.711478712723009,-6.489723414999958,-77.83782495199995,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001786799216584213,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,124.29332710403102,78.43333841118061,32.70735965957402,10.885180827431025,1.3132974241893964,44.90583791119444,450,418911.28801674553,745.6482290265807,335541.7030619613
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,01010902,PROGRESO,4926.363614245235,1146.7668615446587,0.2327816116188886,-6.4796940189999646,-77.76764268299996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0022011079309442504,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,153.11346989234394,96.61983373672882,40.2912806759345,13.409149515312373,1.6178143292440241,55.3182445204909,450,516045.0876950964,918.5431778633135,413344.4300384911
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,01010903,PENGOTE,3554.024684071674,907.9037347841364,0.2554579147559536,-6.526189733999956,-77.76418706799996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0017426332920673121,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,121.22105706278637,76.49463098858674,31.89890241129215,10.616122015274065,1.2808354696694744,43.79585989623569,450,408556.68065286137,727.2173705990152,327247.81676955684
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,01010904,EL PUENTE,517.1669977229926,492.4994500108599,0.9523025486530652,-6.545024744999978,-77.81711442899996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0009453049976909968,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,65.75730624938112,41.495108178643996,17.303807982733694,5.758798045933553,0.6947991733028827,23.75740520197013,450,221624.75250488694,394.4847249070007,177518.12620815032
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,01010905,QUELUCAS,2115.3366917165386,1821.2752864320337,0.8609860045277794,-6.519748375999939,-77.81635319199995,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0034957615290683868,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,243.1721634850551,153.44994807998592,63.98991478959682,21.29617923508461,2.569384723865264,87.8554787485467,450,819573.8788944151,1458.8143810763997,656466.4714843798
