ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,k,region_nat,agencia_agraria,share,ha_cosechada,gasto_ha,sam_usd,clientes_sam,tam_usd,share_comercial,tasa_compra,s_ha_cosechada,s_sam_usd,s_clientes_sam,s_tam_usd
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,13090203,CHUGAY,12331.851625647689,5599.665739387145,0.4540815044953188,-7.811796121999976,-77.82102113799994,lalibertad,SIERRA,SANCHEZ CARRION,0.008985417433868638,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,2498.9031732805374,486170.636647692,126.76050110332774,1168443.173964536
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,13090204,HUAGUIL,5468.702872574092,299.7180335159516,0.0548060555674102,-7.877179397999953,-77.75660432699993,lalibertad,SIERRA,SANCHEZ CARRION,0.000480937928965346,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,133.7519737605596,26021.929513455594,6.78476357096702,62540.07054608865
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,13090205,HUAYCHO,7025.919161385859,1706.245709843861,0.2428501767030443,-7.944502822999937,-77.69083286699998,lalibertad,SIERRA,SANCHEZ CARRION,0.0027379009143093133,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,761.4280953833813,148138.58570118342,38.624548544728356,356030.38566218584
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,13090206,COCHABAMBA,5702.80718841479,3493.926878598621,0.6126678955053061,-7.863068989999931,-77.84985633399998,lalibertad,SIERRA,SANCHEZ CARRION,0.005606475984235845,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1559.1975254394058,303347.5093023469,79.09256419259398,729053.3402582315
130902,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,13090207,ESPINO,2376.9570890721834,976.3380544378384,0.4107512327111214,-7.7630667479999715,-77.87050837099997,lalibertad,SIERRA,SANCHEZ CARRION,0.0015666658304242425,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,435.6999821021962,84767.00496079304,22.101515838038843,203725.6486874808
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,13090301,MOLINO VIEJO,2268.1217549470075,1106.6614695811977,0.4879197808351578,-7.764690521999967,-77.77116394799998,lalibertad,SIERRA,SANCHEZ CARRION,0.0017757872924846908,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,493.85802417313954,96081.86207176103,25.051667182407705,230919.32629593578
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,13090302,SAN ANTONIO,6893.901210840285,2601.008444399439,0.377291226672859,-7.755921815999955,-77.69550557899998,lalibertad,SIERRA,SANCHEZ CARRION,0.004173668163361502,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1160.724328547259,225823.10984121266,58.879431225147464,542734.2816028978
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,13090303,ARICAPAMPA,4290.263048844047,1438.2240864798866,0.3352298146071478,-7.816806027999974,-77.70394316599999,lalibertad,SIERRA,SANCHEZ CARRION,0.0023078241419961136,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,641.8209409025251,124868.58185976262,32.55730152225463,300104.1838370025
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,13090304,CACHIMARCA,11242.049756248796,4265.430370676313,0.3794174962004069,-7.87691966999995,-77.67059106499994,lalibertad,SIERRA,SANCHEZ CARRION,0.006844457187157456,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1903.488169609349,370330.49746199016,96.55720829998293,890037.5902050224
130903,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,13090305,PAMPAMARCA,1590.117118533097,789.0196056216295,0.4962021956907865,-7.809015174999956,-77.75058150299998,lalibertad,SIERRA,SANCHEZ CARRION,0.001266088164896906,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,352.10737355266474,68503.761089597,17.86115908409456,164639.21512816643
