dep,prov,dist,sector,ha_agricola,ha_territorial,intensidad_agricola
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,VISTA ALEGRE,2054.448047,40982.037059,0.05013045213058353
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ALTO PERU,3799.071436,5708.662375,0.6654924019744644
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,BUENA VISTA,4027.993122,5980.01581,0.6735756643425997
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,CHUCMAR,3549.807506,6392.386936,0.5553179964761757
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,COLLCATE,3747.399359,6443.685973,0.5815614501858345
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,EL MARCAL,1154.473095,3869.565379,0.29834696714656544
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,EL PINTOR,2351.08782,4687.87483,0.5015252977648297
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,LA BOCANA,964.809069,3949.187275,0.24430572718281637
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,LA ESPERANZA,955.724263,2978.243166,0.320902025029611
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,LA LAGUNA,1948.762773,3127.466314,0.6231123143601668
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,LA VICTORIA,598.2573,774.833104,0.7721111771187308
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,MAÑUMAL,3687.868441,6632.705345,0.5560127050992946
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,MIRAFLORES,1848.210077,3690.046126,0.5008636786346773
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,MORERILLA,929.268362,1574.610648,0.5901575498554611
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,MORROPON,1689.43316,4769.209554,0.35423756093565856
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ÑUNYA JALCA,2873.69937,3887.03661,0.7393033969906447
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ÑUNYA TEMPLE,1671.547492,3438.032994,0.4861929757268641
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,SAN ANTONIO,1929.153197,4928.213409,0.3914508234316604
AMAZONAS,UTCUBAMBA,CAJARURO,CRUCE CAJARURO,3344.749826,4159.01373,0.8042170675882815
AMAZONAS,UTCUBAMBA,CAJARURO,EL RON,1695.087301,4939.57299,0.3431647440844882
AMAZONAS,UTCUBAMBA,CAJARURO,EL TESORO,1581.584723,2172.419542,0.7280291363720387
AMAZONAS,UTCUBAMBA,CAJARURO,HUINGO,3582.330232,11214.116475,0.31944828110054024
AMAZONAS,UTCUBAMBA,CAJARURO,JOSE OLAYA,368.947333,8293.772046,0.04448486538497757
AMAZONAS,UTCUBAMBA,CAJARURO,MANDINGAS ALTO,1870.727738,8318.124702,0.22489777504179573
AMAZONAS,UTCUBAMBA,CAJARURO,MISQUIYACU ALTO,8933.348384,11452.053808,0.7800651772837007
AMAZONAS,UTCUBAMBA,CAJARURO,NARANJITOS,3545.532331,4875.519099,0.7272112484857687
AMAZONAS,UTCUBAMBA,CAJARURO,NOGAL,532.44844,91720.328858,0.005805130079988358
AMAZONAS,UTCUBAMBA,CAJARURO,NUEVA ESPERANZA,850.87545,13880.033344,0.061302118583728964
AMAZONAS,UTCUBAMBA,CAJARURO,SAN JOSE,3358.251045,5936.307892,0.5657137577930738
AMAZONAS,UTCUBAMBA,CAJARURO,SAN JUAN DE LA LIBERTAD,2773.217255,7425.938039,0.3734500935013794
AMAZONAS,UTCUBAMBA,CAJARURO,SANTA ISABEL,616.223124,5799.179572,0.10626039706983573
AMAZONAS,UTCUBAMBA,CUMBA,EL LIMON,1351.698774,8420.828684,0.1605184982053246
AMAZONAS,UTCUBAMBA,CUMBA,HUALANGO,8391.665553,13177.609623,0.6368124260073174
AMAZONAS,UTCUBAMBA,CUMBA,VISTA HERMOSA,3877.970465,8566.330271,0.45269915381715725
AMAZONAS,UTCUBAMBA,EL MILAGRO,CAYALTI,2441.230091,6328.617351,0.38574461933841764
AMAZONAS,UTCUBAMBA,EL MILAGRO,EL VALOR,2501.171687,4619.951036,0.5413848907726821
AMAZONAS,UTCUBAMBA,EL MILAGRO,HUARANGOPAMPA,1012.176011,3426.32225,0.2954117964239937
AMAZONAS,UTCUBAMBA,EL MILAGRO,PAPAYA BAJA,1988.666086,4339.671405,0.4582526879128997
AMAZONAS,UTCUBAMBA,EL MILAGRO,SIEMPRE VIVA,2155.274325,12062.506837,0.17867549043694686
AMAZONAS,UTCUBAMBA,JAMALCA,ASERRADERO,1471.829934,4974.849551,0.2958541597914546
AMAZONAS,UTCUBAMBA,JAMALCA,JAMALCA,3636.08304,6246.062068,0.5821400748846993
AMAZONAS,UTCUBAMBA,JAMALCA,PURURCO,5442.158523,13401.613798,0.40608232747403633
AMAZONAS,UTCUBAMBA,JAMALCA,TAMBOLIC,1175.204909,10467.40936,0.1122727571437982
AMAZONAS,UTCUBAMBA,LONYA GRANDE,CHAUPE,2052.772942,4863.287196,0.42209576758871714
AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,619.128302,4731.415843,0.13085476367839943
AMAZONAS,UTCUBAMBA,LONYA GRANDE,ORTIZ ARRIETA,790.720937,5514.764757,0.1433825324999262
AMAZONAS,UTCUBAMBA,LONYA GRANDE,ROBLEPAMPA,654.493109,4918.42914,0.13306954118281755
AMAZONAS,UTCUBAMBA,LONYA GRANDE,SAN ISIDRO,1455.200595,5571.207854,0.26120019807826755
AMAZONAS,UTCUBAMBA,LONYA GRANDE,SAN JUAN,220.562009,2212.59974,0.09968454981378601
AMAZONAS,UTCUBAMBA,LONYA GRANDE,SAN MIGUEL,955.263418,5700.410699,0.16757799892691555
AMAZONAS,UTCUBAMBA,LONYA GRANDE,YUNGASUYO,1226.212008,2954.257943,0.4150659934436199
AMAZONAS,UTCUBAMBA,YAMON,EL PALTO,1353.603722,4692.841998,0.2884400801426684
AMAZONAS,UTCUBAMBA,YAMON,MALLETA,357.232404,4287.261187,0.08332415227773245
AMAZONAS,UTCUBAMBA,YAMON,SAN RAMON,286.171783,884.800697,0.32343078387064156
