cultivo,plaga,producto,ingrediente_activo,clase,toxicidad,dosis_min,dosis_max,unidad_dosis,dosis_estimada,cilindros_por_ha,precio_usd_kg,costo_ha_min_usd,costo_ha_max_usd,costo_ha_min_fob_usd,carencia_dias,lmr_ppm,titular,registro
Limón,Acaro del tostado,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.2,0.2,lt,True,2.0,35.7546,7.15,7.15,0.74,1,0.02,HORTUS S A,484-97-AG-SENASA
Limón,Acaro del tostado,KENYO,FENPYROXIMATE,Acaricida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,98.325,39.33,39.33,6.2,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2065-SENASA
Limón,Acaro hialino,KENYO,FENPYROXIMATE,Acaricida,Ligeramente Peligroso,0.4,0.6,lt,True,2.0,98.325,39.33,58.99,6.2,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2065-SENASA
Limón,Arañita roja de los citrus,KENYO,FENPYROXIMATE,Acaricida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,98.325,39.33,39.33,6.2,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2065-SENASA
Limón,Gomosis del cuello,SEAL 80 WP,FOSETYL-ALUMINIUM,Fungicida,Ligeramente Peligroso,1.5,1.5,kg,True,2.0,22.3466,33.52,33.52,5.34,30,75,AVGUST PERU S.A.C.,PQUA N° 1302-SENASA
Limón,Minador de la hoja,ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.4,lt,False,,53.6318,21.45,21.45,5.89,28,2,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Limón,Mosca blanca,OMEX SW7,TETRAETHYL SILICATE,"Acaricida, Insecticida, Fungicida",Ligeramente Peligroso,0.6,0.6,lt,True,2.0,68.5296,41.12,41.12,17.37,,,SILVESTRE PERU S.A.C.,PBUA 283-SENASA
Limón,Mosca blanca lanuda de los cítricos / Mosca blanca,HURRICANE 70 WP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.08,0.08,kg,True,2.0,536.3184,42.91,42.91,1.08,1,1,HORTUS S A,PQUA N° 394-SENASA
Limón,Muerte regresiva,TRICOX,"TRICHODERMA HARZIANUM, TRICHODERMA KONINGII","Nematicida, Fungicida",Ligeramente Peligroso,2.0,2.0,kg,False,,56.6114,113.22,113.22,46.08,,,NEOAGRUM S.A.,PBUA N° 162-SENASA
Limón,Pulgón marrón de los cítricos,ACTARA 25 WG,THIAMETHOXAM,Insecticida,Ligeramente Peligroso,1.0,1.0,kl,True,2.0,208.5683,208.57,208.57,60.26,14,0.2,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 3270-SENASA
Limón sutil,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,0.5,0.75,lt,False,,47.6728,23.84,35.75,3.4,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Limón sutil,,RYZ UP,GIBBERELLIC ACID,Regulador de Crecimiento de Plantas,Ligeramente Peligroso,0.1,0.2,lt,True,2.0,333.7093,33.37,66.74,3.28,14,0.15,SMTM PERU SAC,PBUA N° 016-SENASA
Limón sutil,Acaro del tostado,SULFA PLUS 800 WG,AZUFRE,Fungicida,Ligeramente Peligroso,1.0,2.0,kg,True,2.0,7.4489,7.45,14.9,1.47,,,SILVESTRE PERU S.A.C.,PQUA N° 555-SENASA
Limón sutil,Grama china (gramalote),RANGO 480,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,False,,14.0039,56.02,56.02,8.22,3,0.1,HORTUS S A,PQUA N° 2298-SENASA
Limón sutil,Grama dulce / Pasto Bermuda,RANGO 480,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,False,,14.0039,56.02,56.02,8.22,3,0.1,HORTUS S A,PQUA N° 2298-SENASA
Limón sutil,Minador de la hoja,VERMETIN 1.8% CE,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.2,0.32,lt,True,2.0,18.7711,3.75,6.01,0.56,7,0.01,NEOAGRUM S.A.,PQUA N° 2083-SENASA
Limón sutil,Minador de la hoja,SPIDER 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.2,0.2,lt,True,2.0,23.8364,4.77,4.77,0.52,7,0.01,ADAMA AGRICULTURE PERU S.A.,889-99-AG-SENASA
Limón sutil,Minador de la hoja,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.24,0.3,lt,True,2.0,35.7546,8.58,10.73,0.88,7,0.05,HORTUS S A,484-97-AG-SENASA
Limón sutil,Minador de la hoja,SELECRON 500 EC,PROFENOFOS,Insecticida,Moderadamente Peligroso,0.6,0.7,lt,True,2.0,43.2034,25.92,30.24,9.19,28,3,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,835-99-AG-SENASA
Limón sutil,Mosca blanca lanuda de los cítricos / Mosca blanca,CONFIDOR 350 SC,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.2,0.2,lt,True,2.0,72.9989,14.6,14.6,3.02,30,1,BAYER S.A.,PQUA N° 028-SENASA
Limón sutil,Nemátode de los cítricos,HUNTER,EXTRACTO VEGETAL (VARIOS),Nematicida,Ligeramente Peligroso,1.5,2.0,lt,False,,44.6932,67.04,89.39,11.44,,,SILVESTRE PERU S.A.C.,PBUA N° 005-SENASA
Limón sutil,Pulgón negro de los cítricos,CONFIDOR 350 SC,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.2,0.2,lt,True,2.0,72.9989,14.6,14.6,3.02,30,1,BAYER S.A.,PQUA N° 028-SENASA
Limón sutil,Queresa coma,CONFIDOR 350 SC,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.28,0.28,lt,True,2.0,72.9989,20.44,20.44,4.23,30,1,BAYER S.A.,PQUA N° 028-SENASA
Limón sutil,Queresa redonda,CONFIDOR 350 SC,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.28,0.28,lt,True,2.0,72.9989,20.44,20.44,4.23,30,1,BAYER S.A.,PQUA N° 028-SENASA
Limón tahiti,Acaro del tostado,SULFA PLUS 800 WG,AZUFRE,Fungicida,Ligeramente Peligroso,1.0,2.0,kg,True,2.0,7.4489,7.45,14.9,1.47,,,SILVESTRE PERU S.A.C.,PQUA N° 555-SENASA
Limón tahiti,Arañita roja de los citrus,ACARISIL GOLD 188 SC,"FENPYROXIMATE, ETOXAZOLE",Acaricida,Ligeramente Peligroso,0.16,0.24,lt,True,2.0,286.0365,45.77,68.65,1.18,14,14,SILVESTRE PERU S.A.C.,PQUA N° 1602-SENASA
Limón tahiti,Gomosis del cuello,DEFENSE 80 WP,FOSETYL-ALUMINIUM,Fungicida,Ligeramente Peligroso,1.0,1.2,kg,True,2.0,47.6728,47.67,57.21,5.14,1,150,HORTUS S A,PQUA N° 1811-SENASA
Limón tahiti,Minador de la hoja,CIGARAL 70 WP,IMIDACLOPRID,Insecticida,Ligeramente Peligroso,0.02,0.16,kg,True,2.0,96.8353,1.94,15.49,0.27,3,0.9,HORTUS S A,PQUA N° 1440-SENASA
Limón tahiti,Minador de la hoja,ABASAC 1.8 EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.2,0.4,lt,True,2.0,35.7546,7.15,14.3,0.74,1,0.04,HORTUS S A,484-97-AG-SENASA
Limón tahiti,Minador de la hoja,BTK-CROPS,BACILLUS THURINGIENSIS VAR. KURSTAKI,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,True,2.0,44.6932,17.88,26.82,3.0,,,CROPS PROTECTION S.A.C.,073-SENASA-PBA-ACBM
Limón tahiti,Minador de la hoja,AMIPRID 20 SP,ACETAMIPRID,Insecticida,Moderadamente Peligroso,0.2,0.4,kg,True,2.0,114.7126,22.94,45.89,0.64,14,1,SILVESTRE PERU S.A.C.,PQUA N° 131-SENASA
Limón tahiti,Mosca blanca lanuda de los cítricos / Mosca blanca,CIGARAL 70 WP,IMIDACLOPRID,Insecticida,Ligeramente Peligroso,0.16,0.2,kg,True,2.0,96.8353,15.49,19.37,2.17,3,0.9,HORTUS S A,PQUA N° 1440-SENASA
Lúcuma,Mosca blanca,OMEX SW7,TETRAETHYL SILICATE,"Acaricida, Insecticida, Fungicida",Ligeramente Peligroso,0.6,0.6,lt,True,2.0,68.5296,41.12,41.12,17.37,,,SILVESTRE PERU S.A.C.,PBUA 283-SENASA
Lúcuma,Muerte regresiva,TRICOX,"TRICHODERMA HARZIANUM, TRICHODERMA KONINGII","Nematicida, Fungicida",Ligeramente Peligroso,2.0,2.0,kg,False,,56.6114,113.22,113.22,46.08,,,NEOAGRUM S.A.,PBUA N° 162-SENASA
Maiz,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,0.25,0.75,lt,False,,47.6728,11.92,35.75,1.7,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Maiz,,OPERA,"PYRACLOSTROBIN, EPOXICONAZOLE",Fungicida,Moderadamente Peligroso,0.75,0.75,lt,False,,86.4069,64.81,64.81,16.58,45,0.1,BASF PERUANA S A,PQUA N° 064-SENASA
Maiz,Amor seco,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Amor seco,HOJANCHA,"2,4-D",Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,13.408,20.11,26.82,2.97,7,0.05,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2562-SENASA
Maiz,Arrocillo o caminadora,TANKE 40 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,2.5,3.0,lt,False,,11.9182,29.8,35.75,11.79,,0.1,HORTUS S A,PQUA N° 226-SENASA
Maiz,Barreno de la caña,LANNATE 40 SP,METHOMYL,Insecticida,Moderadamente Peligroso,0.8,0.9,kl,False,,70.6263,56.5,63.56,11.91,21,0.1,CLABEREP DE PERU S.A.C.,PQUA N° 1340-SENASA
Maiz,Cadillo,NICOZINE 240 OD,"ATRAZINE, NICOSULFURON",Herbicida,Ligeramente Peligroso,0.5,1.0,lt,True,2.0,27.4118,13.71,27.41,2.08,26,0.01,SILVESTRE PERU S.A.C.,PQUA N° 1812-SENASA
Maiz,Cadillo,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Cadillo,RANGER FLASH 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,11.9182,23.84,35.75,4.44,30,0.1,FARMAGRO S A,PQUA N° 1310-SENASA
Maiz,Capulí cimarrón,NICOZINE 240 OD,"ATRAZINE, NICOSULFURON",Herbicida,Ligeramente Peligroso,0.5,1.0,lt,True,2.0,27.4118,13.71,27.41,2.08,26,0.01,SILVESTRE PERU S.A.C.,PQUA N° 1812-SENASA
Maiz,Capulí cimarrón,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Capulí cimarrón,RANGER FLASH 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,11.9182,23.84,35.75,4.44,30,0.1,FARMAGRO S A,PQUA N° 1310-SENASA
Maiz,Capulí cimarrón,OH-BAMA,"2,4-D",Herbicida,Moderadamente Peligroso,2.0,2.5,lt,False,,14.3018,28.6,35.75,2.9,45,0.05,DROKASA  PERU S.A,PQUA N° 413-SENASA
Maiz,Capulí cimarrón,TANKE 40 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,2.5,3.0,lt,False,,11.9182,29.8,35.75,11.79,,0.1,HORTUS S A,PQUA N° 226-SENASA
Maiz,Chamico,AVOID,ATRAZINE,Herbicida,Ligeramente Peligroso,0.94,0.94,lt,False,,14.8977,14.0,14.0,2.76,7,0.1,HORTUS S A,PQUA N° 670-SENASA
Maiz,Chamico,RAYO 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,1.5,3.0,lt,False,,10.4284,15.64,31.29,3.19,30,0.25,NEOAGRUM S.A.,153-96-AG-SENASA
Maiz,Chamico,TYSON,NICOSULFURON,Herbicida,Ligeramente Peligroso,0.04,0.04,kl,False,,397.2729,15.89,15.89,1.9,60,0.01,ALBAUGH PERU S.A.C.,PQUA Nº1999-SENASA
Maiz,Chamico,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Chamico,HUELLA 720 SL,"2,4-D",Herbicida,Ligeramente Peligroso,1.5,2.0,litro,False,,13.408,20.11,26.82,2.1,7,0.05,NEOAGRUM S.A.,PQUA N° 358-SENASA
Maiz,Chamico,RANGER FLASH 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,11.9182,23.84,35.75,4.44,30,0.1,FARMAGRO S A,PQUA N° 1310-SENASA
Maiz,Chamico,OH-BAMA,"2,4-D",Herbicida,Moderadamente Peligroso,2.0,2.5,lt,False,,14.3018,28.6,35.75,2.9,45,0.05,DROKASA  PERU S.A,PQUA N° 413-SENASA
Maiz,Cigarrita del maíz,CIGARAL 70 WP,IMIDACLOPRID,Insecticida,Ligeramente Peligroso,0.1,0.1,kg,True,2.0,96.8353,9.68,9.68,1.36,28,0.02,HORTUS S A,PQUA N° 1440-SENASA
Maiz,Cola de ratón (rabo de zorro),TANKE 40 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,2.5,3.0,lt,False,,11.9182,29.8,35.75,11.79,,0.1,HORTUS S A,PQUA N° 226-SENASA
Maiz,Coquito,NICOZINE 240 OD,"ATRAZINE, NICOSULFURON",Herbicida,Ligeramente Peligroso,0.5,1.0,lt,True,2.0,27.4118,13.71,27.41,2.08,26,0.01,SILVESTRE PERU S.A.C.,PQUA N° 1812-SENASA
Maiz,Coquito,CRISURON,HALOSULFURON METHYL,Herbicida,Ligeramente Peligroso,0.08,0.12,kg,True,2.0,720.0572,57.6,86.41,5.55,30,0.05,MONTANA S. A.,PQUA N°1466-SENASA
Maiz,Escoba amarrilla,AVOID,ATRAZINE,Herbicida,Ligeramente Peligroso,0.94,0.94,lt,False,,14.8977,14.0,14.0,2.76,7,0.1,HORTUS S A,PQUA N° 670-SENASA
Maiz,Escoba amarrilla,RAYO 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,1.5,3.0,lt,False,,10.4284,15.64,31.29,3.19,30,0.25,NEOAGRUM S.A.,153-96-AG-SENASA
Maiz,Escoba amarrilla,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Gusano Cogollero,SUPERMILL 90 PS,METHOMYL,Insecticida,Altamente Peligroso,0.5,0.7,kl,False,,4.4693,2.23,3.13,4.71,3,0.1,DROKASA  PERU S.A,PQUA N° 1509-SENASA
Maiz,Gusano Cogollero,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.04,0.04,lt,True,2.0,74.4887,2.98,2.98,0.91,35,0.02,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Maiz,Gusano Cogollero,CAMPAL PLUS 100 EC,ALPHA-CYPERMETHRIN,Insecticida,Moderadamente Peligroso,0.25,0.25,lt,True,2.0,17.8773,4.47,4.47,0.82,14,0.05,NEOAGRUM S.A.,PQUA N° 659-SENASA
Maiz,Gusano Cogollero,BETA-BAYTROIDE 125 SC,BETA-CYFLUTHRIN,Insecticida,Moderadamente Peligroso,0.1,0.1,lt,False,,59.5909,5.96,5.96,2.56,14,0.05,BAYER S.A.,PQUA N° 1680-SENASA
Maiz,Gusano Cogollero,TAJANTE 50 CE,PERMETHRIN,Insecticida,Ligeramente Peligroso,0.2,0.2,lt,False,,40.2239,8.04,8.04,2.44,7,0.05,INSUMOS AGRICOLAS PERUANOS S.A.C.- INAP S.A.C.,PQUA N° 4204-SENASA
Maiz,Gusano Cogollero,COLOSO 50 SG,EMAMECTIN BENZOATO,Insecticida,Ligeramente Peligroso,0.1,0.15,kg,False,,83.4273,8.34,12.51,0.59,7,0.01,SILVESTRE PERU S.A.C.,PQUA Nº 915-SENASA
Maiz,Gusano Cogollero,NALA-T,METHOMYL,Insecticida,Altamente Peligroso,0.2,0.4,kl,False,,53.6318,10.73,21.45,1.87,7,0.02,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 3107-SENASA
Maiz,Gusano Cogollero,LUFENUX 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,29.1996,11.68,11.68,1.36,14,0.02,COMERCIAL ANDINA INDUSTRIAL S.A.C,PQUA N° 323-SENASA
Maiz,Gusano Cogollero,PROAXIS 60 CS,GAMMA CYHALOTHRINA,Insecticida,Ligeramente Peligroso,0.2,0.25,lt,False,,63.1664,12.63,15.79,4.61,1,0.05,FMC LATINOAMERICA S.A. SUCURSAL,PQUA N° 586-SENASA
Maiz,Gusano Cogollero,TRACER 120 SC,SPINOSAD,Insecticida,Ligeramente Peligroso,0.1,0.1,lt,False,,134.0796,13.41,13.41,7.69,14,0.02,CORTEVA AGRISCIENCE PERU S.A.C,PQUA N° 100-SENASA
Maiz,Gusano Cogollero,MAGISTRAL 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.4,,True,2.0,38.7341,15.49,15.49,1.2,35,0.02,SILVESTRE PERU S.A.C.,PQUA N° 166-SENASA
Maiz,Gusano Cogollero,BULL FIRE 240 SC,CHLORFENAPYR,Insecticida,Moderadamente Peligroso,0.3,0.3,lt,True,2.0,56.6114,16.98,16.98,1.74,28,0.05,SILVESTRE PERU S.A.C.,PQUA N° 440-SENASA
Maiz,Gusano Cogollero,SELECRON 500 EC,PROFENOFOS,Insecticida,Moderadamente Peligroso,0.4,0.6,lt,False,,43.2034,17.28,25.92,6.13,14,0.05,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,835-99-AG-SENASA
Maiz,Gusano Cogollero,KUROMIL 90 PS,METHOMYL,Insecticida,Altamente Peligroso,0.4,0.6,kl,False,,47.6728,19.07,28.6,3.94,7,0.1,ARIS INDUSTRIAL S.A.,PQUA N° 2142-SENASA
Maiz,Gusano Cogollero,CERTERO 240 SC,CHLORFENAPYR,Insecticida,Moderadamente Peligroso,0.3,0.4,lt,True,2.0,70.0194,21.01,28.01,1.81,28,0.05,NEOAGRUM S.A.,PQUA N° 295-SENASA
Maiz,Gusano Cogollero,ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,53.6318,21.45,32.18,5.89,10,0.05,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Maiz,Gusano Cogollero,ABSOLUTE 60 SC,SPINETORAM,Insecticida,Ligeramente Peligroso,0.075,0.1,lt,False,,291.9956,21.9,29.2,6.57,1,0.04,CORTEVA AGRISCIENCE PERU S.A.C,PQUA N° 206-SENASA
Maiz,Gusano Cogollero,PROCLAIM OPTI,EMAMECTIN BENZOATO,Insecticida,Moderadamente Peligroso,0.125,0.125,kg,False,,178.7728,22.35,22.35,7.47,7,0.01,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N°1511-SENASA
Maiz,Gusano Cogollero,STEWARD 150 EC,INDOXACARB,Insecticida,Moderadamente Peligroso,0.2,0.3,lt,False,,131.1001,26.22,39.33,10.99,7,0.05,FMC LATINOAMERICA S.A. SUCURSAL,PQUA Nº 904-SENASA
Maiz,Gusano Cogollero,KIETO 150 WG,"LUFENURON, EMAMECTIN BENZOATO",Insecticida,Moderadamente Peligroso,0.2,0.2,kg,True,2.0,134.0796,26.82,26.82,1.72,10,,NEOAGRUM S.A.,PQUA N° 1203-SENASA
Maiz,Gusano Cogollero,LANNACROP 90 SP,METHOMYL,Insecticida,Altamente Peligroso,0.5,0.6,kg,False,,53.6318,26.82,32.18,4.42,14,0.02,CROP BUSINESS S.A.C.,PQUA N° 775-SENASA
Maiz,Gusano Cogollero,DESTELLO 480 SC,"THIODICARB, TRIFLUMURON",Insecticida,Moderadamente Peligroso,0.5,0.5,lt,False,,59.5909,29.8,29.8,11.23,14,,BAYER S.A.,PQUA N° 2255-SENASA
Maiz,Gusano Cogollero,LARVIN PLUS,"THIODICARB, TRIFLUMURON",Insecticida,Moderadamente Peligroso,0.5,0.5,lt,False,,59.5909,29.8,29.8,9.01,14,,BAYER S.A.,PQUA N° 2369-SENASA
Maiz,Gusano Cogollero,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,78.958,31.58,31.58,11.34,35,0.02,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
Maiz,Gusano Cogollero,LARVIX,METHOMYL,Insecticida,Altamente Peligroso,0.5,0.7,kl,False,,65.55,32.77,45.88,4.84,3,0.02,COMERCIAL ANDINA INDUSTRIAL S.A.C,PQUA N° 229-SENASA
Maiz,Gusano Cogollero,SPLINTER 120 SC,SPINOSAD,Insecticida,Ligeramente Peligroso,0.2,0.3,lt,True,2.0,170.1321,34.03,51.04,7.43,14,2,SILVESTRE PERU S.A.C.,PQUA N° 510-SENASA
Maiz,Gusano Cogollero,LANNATE 40 SP,METHOMYL,Insecticida,Moderadamente Peligroso,0.5,0.55,kl,False,,70.6263,35.31,38.84,7.44,21,0.1,CLABEREP DE PERU S.A.C.,PQUA N° 1340-SENASA
Maiz,Gusano Cogollero,BUKRA 580 WG,"LUFENURON, CHLORFENAPYR",Insecticida,Ligeramente Peligroso,0.2,0.4,kl,True,2.0,193.6705,38.73,77.47,3.42,28,,SILVESTRE PERU S.A.C.,PQUA N° 2140-SENASA
Maiz,Gusano Cogollero,TUCANO,"TEBUFENOZIDE, EMAMECTIN BENZOATO",Insecticida,Ligeramente Peligroso,0.3,0.3,kg,True,2.0,129.1137,38.73,38.73,5.87,28,0.01,MONTANA S. A.,PQUA N° 1688-SENASA
Maiz,Gusano Cogollero,CORAGEN SC,CHLORANTRANILIPROLE,Insecticida,Ligeramente Peligroso,0.1,0.1,lt,False,,448.4218,44.84,44.84,16.43,21,0.02,FMC LATINOAMERICA S.A. SUCURSAL,PQUA N° 451-SENASA
Maiz,Gusano Cogollero,EN VIVO SC,MAMESTRA BRASSICAE VIRUS DE LA POLIEDROSIS NUCLEAR,Insecticida,,0.6,0.6,lt,True,2.0,101.3046,60.78,60.78,24.64,,,POINT ANDINA S.A,004-SENASA-PBA-ACBM
Maiz,Hierba de gallinazo,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Hierba de la golondrina,AVOID,ATRAZINE,Herbicida,Ligeramente Peligroso,0.94,0.94,lt,False,,14.8977,14.0,14.0,2.76,7,0.1,HORTUS S A,PQUA N° 670-SENASA
Maiz,Langosta migratoria del Perú,MAGISTRAL 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.2,0.25,lt,False,,38.7341,7.75,9.68,0.6,35,0.02,SILVESTRE PERU S.A.C.,PQUA N° 166-SENASA
Maiz,Langosta migratoria del Perú,KIETO 150 WG,"LUFENURON, EMAMECTIN BENZOATO",Insecticida,Moderadamente Peligroso,0.2,0.3,kg,True,2.0,134.0796,26.82,40.22,1.72,10,,NEOAGRUM S.A.,PQUA N° 1203-SENASA
Maiz,Langosta migratoria del Perú,MATRIX 200 SC,FIPRONIL,Insecticida,Moderadamente Peligroso,0.4,0.5,lt,True,2.0,77.4682,30.99,38.73,4.8,90,0.005,SILVESTRE PERU S.A.C.,PQUA N° 250-SENASA
Maiz,Lechera,SELEKTOR 50 SC,Atrazine,Herbicida,Moderadamente Peligroso,1.5,2.0,lt,False,,11.3223,16.98,22.64,4.44,14,0.2,SHARDA PERU SOCIEDAD ANONIMA CERRADA,PQUA Nº 1281-SENASA
Maiz,Lechera,RANGER FLASH 500 FW,ATRAZINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,11.9182,23.84,35.75,4.44,30,0.1,FARMAGRO S A,PQUA N° 1310-SENASA
Maiz,Lengua de vaca,SELLADOR 400 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,3.0,3.0,lt,False,,13.408,40.22,40.22,11.92,60,0.05,NEOAGRUM S.A.,PQUA N° 146-SENASA
Maiz,Mancha negra del maiz,TENAZ 250 EW,TEBUCONAZOLE,Fungicida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,35.7546,14.3,14.3,1.68,36,0.05,NEOAGRUM S.A.,PQUA N° 132-SENASA
Maiz,Mancha negra del maiz,VERTICAL 250 EW,TEBUCONAZOLE,Fungicida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,38.1382,15.26,15.26,1.85,36,0.05,SILVESTRE PERU S.A.C.,PQUA N° 143-SENASA
Maiz,Mancha negra del maiz,IMPERIO,"TEBUCONAZOLE, AZOXYSTROBIN",Fungicida,Ligeramente Peligroso,0.4,0.8,lt,True,2.0,52.1421,20.86,41.71,3.12,15,0.02,HORTUS S A,PQUA Nº 1141-SENASA
Maiz,Mancha negra del maiz,NATIVO 75 WG,"TRIFLOXYSTROBIN, TEBUCONAZOLE",Fungicida,Ligeramente Peligroso,0.1,0.1,kg,False,,244.3228,24.43,24.43,8.81,14,0.02,BAYER S.A.,PQUA N° 193-SENASA
Maiz,Mancha negra del maiz,CONFIEE 325 SC,"AZOXYSTROBIN, DIFENOCONAZOLE",Fungicida,Ligeramente Peligroso,0.4,0.45,lt,False,,72.9989,29.2,32.85,2.8,7,0.05,NEOAGRUM S.A.,PQUA N° 1095-SENASA
Maiz,Mancha negra del maiz,EPICO 750 WG,"TEBUCONAZOLE, AZOXYSTROBIN",Fungicida,Ligeramente Peligroso,0.2,0.2,kg,True,2.0,148.9773,29.8,29.8,2.47,7,,SILVESTRE PERU S.A.C.,PQUA N° 686-SENASA
Maiz,Mancha negra del maiz,AMISTAR TOP,"AZOXYSTROBIN, DIFENOCONAZOLE",Fungicida,Moderadamente Peligroso,0.4,0.45,lt,False,,105.7739,42.31,47.6,16.62,70,0.05,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 327-SENASA
Maiz,Mazorquero,LANNATE 40 SP,METHOMYL,Insecticida,Moderadamente Peligroso,0.55,0.6,kl,False,,70.6263,38.84,42.38,8.19,21,0.1,CLABEREP DE PERU S.A.C.,PQUA N° 1340-SENASA
Maiz,Paico,TANKE 40 EC,PENDIMETHALIN,Herbicida,Ligeramente Peligroso,2.5,3.0,lt,False,,11.9182,29.8,35.75,11.79,,0.1,HORTUS S A,PQUA N° 226-SENASA
