h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
858f42c3fffffff,1,4222.655556174521,2188.1315643543635,43.09190633747568,150737.77263480282,1.60116238206552,10.482320879827588,58.21950330738867,SELVA ALTA,AMAZONAS,RODRIGUEZ DE MENDOZA,0,0,0,0.0,-6.676624665713074,-77.58534977491759,298.40110019320593,505.1515310674275,5
858b6d2bfffffff,1,1782.176714705515,875.4494921620857,51.17735521427308,149633.76176938458,9.783422091569092,15.127404463638625,344.58934620580453,SELVA ALTA,JUNIN,SATIPO,0,0,0,0.0,-11.635552768491683,-73.81084587115011,291.4125394701753,513.4774297682509,5
858f4ebbfffffff,1,10349.943395193575,2531.6994828874776,30.408460111481457,149425.0985149143,3.638958153569834,15.256007604607284,130.5694707503322,SELVA BAJA,UCAYALI,CORONEL PORTILLO,0,0,0,0.0,-8.261962628568755,-75.11300891233955,294.5423685073618,507.3127484923432,5
858e6b97fffffff,3,6146.1825115309775,1981.6879095798527,48.05698566865968,149273.3669193687,0.9956903383616225,8.231037939669031,36.02904017084107,SIERRA,AYACUCHO,PARINACOCHAS,0,1,0,0.0,-15.05458751727004,-73.66692293220272,288.0523745840049,518.2160610026009,5
85b331cbfffffff,1,840.1208555596564,671.0450281041743,28.7685409195862,149136.31009863972,1.762805987313401,1.3261199826249843,62.37846318495582,COSTA,AREQUIPA,ISLAY,0,0,0,0.0,-17.15465884908452,-71.50657581375711,278.69771810517335,535.118518775814,5
85b32643fffffff,2,5669.770280251162,1893.666523957359,88.827921512872,149133.90473251627,0.6553617945872297,5.909256762756478,24.153224238207354,SIERRA,PUNO,PUNO,0,7,0,0.0,-15.824247586152753,-70.39278061767773,277.3232752414884,537.7619480465642,5
858e638bfffffff,4,1470.766984721232,741.2273403907589,30.475306876612386,148833.16565584118,2.2124296207388534,4.364622192498995,87.25907466774372,COSTA,LIMA,YAUYOS,0,1,0,0.0,-12.726536574826003,-75.81060416880865,295.48886701232465,503.6845115712378,5
85b336c3fffffff,1,837.337834407332,668.8220949451921,28.673240990568985,148642.27462405595,4.04647182314183,5.857389635215208,139.21676909702552,COSTA,AREQUIPA,CARAVELI,6,2,0,0.0,-15.82274214757752,-73.29331550709642,285.98581365230973,519.7540141091382,5
858e6177fffffff,14,4411.94739094598,1342.792951393557,38.22808913844919,148635.74655926885,0.9175392198318073,6.47359613728141,33.76163746670092,SIERRA,HUANCAVELICA,ANGARAES,0,4,0,0.0,-12.892522176826125,-74.79651660020053,293.10605255382677,507.1056884162192,5
858f584bfffffff,4,6975.394371062034,1246.5592984288728,94.58070648089105,148528.7750946831,0.5658973219420019,1.4455162262015941,20.970481768658402,COSTA,ANCASH,CASMA,4,0,0,0.0,-9.48405020797835,-78.15431894831461,300.7515403682026,493.8587343986436,5
858b6087fffffff,3,1971.0652073231036,1357.7691135135415,70.06450504247587,148292.37567497994,1.9687351796742554,9.351712522363462,73.45910132236003,SIERRA,CUSCO,CANCHIS,0,31,0,0.0,-14.308572995167086,-71.13830366879431,281.64770345038517,526.5172549191511,5
858e6023fffffff,1,1765.874583008018,867.4414799386224,50.70921982806333,148265.01462403795,0.7065224479535446,7.070151394568233,24.122925150278,SIERRA,JUNIN,CHUPACA,0,0,0,0.0,-12.252195744477559,-75.47264267111592,295.0826049620187,502.45257473961146,5
