cluster,celdas,sam_usd,clientes,ha_agricola,empresas,exportadores,prospectos,lat,lon,horas_capital,dep,provincias,extension_km,sam_por_cliente,rank,pct_sam,pct_acum,visitable_en_dia
15,18,4971744.41759196,959.0543887308042,28007.037125758965,403,2,20,-16.26714264928593,-72.2451997422761,2.4936227615574094,AREQUIPA,"Caylloma, Arequipa",83.85600076454662,5184.006742486711,21,0.9891096217852464,52.43459997477879,True
31,37,4949951.281297181,1573.935476634281,128176.65675910651,136,3,2,-9.086838020830744,-76.01138094003953,1.3614504517663493,HUANUCO,"Leoncio Prado, Padre Abad",119.96283536902607,3144.951845092281,22,0.9847739602975458,53.41937393507634,True
24,47,4945158.056088503,1012.5781350450934,48867.97355329753,719,62,316,-11.493410068898404,-77.04151565170312,0.9735880625520024,LIMA,"Huaral, Lima",119.87879377985158,4883.729842604472,23,0.9838203663926559,54.40319430146899,True
33,64,4180181.8468455756,2281.6491472314915,215500.09225703328,240,0,1,-6.539699180288114,-78.69913377474298,1.7685910839139316,CAJAMARCA,"Chota, Santa Cruz",106.2147684045525,1832.0879228595363,24,0.8316312622380498,55.23482556370704,True
19,25,4120275.3568961364,1239.4707981944287,149863.3187908104,5,0,0,-8.873069424329683,-74.63548485393645,2.4951850078807354,HUANUCO,"Puerto Inca, Coronel Portillo",108.45097311716754,3324.221403923558,25,0.8197130941587119,56.054538657865756,True
46,101,4053135.984596542,1058.390239483326,123140.09282229109,70,0,12,-12.789748232922738,-74.67012035917256,1.2302039761314396,HUANCAVELICA,"Angaraes, Acobamba",119.51368354495125,3829.528876395497,26,0.8063559716752687,56.86089462954102,True
39,75,3971111.4527960722,2365.2943110455963,150973.6483800326,64,0,61,-14.767765634393363,-70.47414282708293,1.124634156312745,PUNO,"Melgar, Azangaro",119.55582749032048,1678.9079626376865,27,0.7900375033849035,57.650932132925924,True
13,40,3949571.8376359525,804.3819225503524,38777.4551292031,202,2,10,-12.89685136982484,-76.11701796843867,1.9224795183699892,LIMA,"Cañete, Yauyos",116.07762671056062,4910.070361991158,28,0.7857522789616527,58.436684411887576,True
14,39,3948317.237523629,789.5483221957473,24260.75272938395,386,16,140,-16.49946960206399,-71.38914127591515,1.6537419541169374,AREQUIPA,"Arequipa, General Sanchez Cerro",119.52614428865593,5000.729058030662,29,0.7855026810462408,59.222187092933815,True
21,23,3833234.043886679,599.2091998284995,22859.15888449022,13,1,4,-15.020758047587638,-74.8480534733024,1.2200958939335556,ICA,"Nasca, Caraveli",118.65661545010545,6397.154858409707,30,0.7626073178555451,59.98479441078936,True
40,57,3664354.6211541384,1992.9648310146174,188261.8578336729,96,0,13,-7.1619735579706045,-78.33283779883473,1.4795743701563262,CAJAMARCA,"Cajamarca, Celendin",110.50719517445462,1838.6448993626332,31,0.7290093997173478,60.71380381050671,True
57,21,3469368.538613707,776.6444618057914,148363.7030556952,9,0,0,-6.295008015158372,-76.11522482817125,2.2072728466556213,SAN MARTIN,"Lamas, San Martin",104.0212998249522,4467.1258332892885,32,0.6902176610124114,61.40402147151912,True
37,25,3412539.8350150962,658.2822910022179,19223.661118664368,2,0,2,-15.643665224369354,-71.73397911074734,1.8541638494488912,AREQUIPA,Caylloma,117.64620408854461,5184.00674248671,33,0.6789118068087892,62.082933278327914,True
16,17,3274650.2294708295,1265.5449977428539,55979.49102585883,54,0,3,-10.457394642265225,-75.55291168189284,3.9934207423195893,PASCO,"Oxapampa, Pasco",118.3268260445308,2587.5415218828953,34,0.6514791948053618,62.734412473133276,True
25,14,2769171.4374426445,534.1758942455201,15599.41154288286,7,0,3,-15.691873552449726,-72.48772163906297,1.7455690089794653,AREQUIPA,"Castilla, Condesuyos",91.71908767122984,5184.006742486711,35,0.5509161137599323,63.28532858689321,True
52,39,2634654.2527151997,1438.061033993943,135823.8122951413,142,15,2,-5.298289656255707,-78.85877246061516,1.6140243263808025,CAJAMARCA,"San Ignacio, Jaen",118.21862710867016,1832.087922859536,36,0.5241544320373988,63.80948301893061,True
42,41,2539658.030523059,932.9274515501811,37750.16372122592,21,0,1,-10.746794543119211,-75.96814939264227,1.8587427491693698,PASCO,"Pasco, Junin",111.87157641255592,2722.246007771649,37,0.5052552953337858,64.31473831426439,True
36,39,2355944.085800198,1285.9339644153233,121455.52189923912,35,1,1,-6.153939713557875,-79.02743671265253,2.4584947993580104,CAJAMARCA,"Cutervo, Jaen",115.6832451740789,1832.0879228595359,38,0.46870610552858727,64.78344441979297,True
11,19,2220948.808423716,442.2191508350857,13508.954695776627,27,2,5,-17.09637471417906,-71.68342688632559,1.4591935566581384,AREQUIPA,"Islay, Ilo",119.97124722710583,5022.280930687151,39,0.44184930909388265,65.22529372888685,True
56,41,2215817.662266324,496.907792437413,23628.425963677222,22,1,1,-10.826301604196951,-76.84269667285697,1.4018827274397658,LIMA,"Oyon, Huaura",103.24877715211244,4459.212948537957,40,0.4408284871028919,65.66612221598974,True
43,34,2206356.9642611016,352.19529147260357,22895.223508491683,20,1,5,-14.459863396866734,-75.05845553491042,1.8424445112751422,ICA,"Lucanas, Palpa",116.9052648601969,6264.583933066944,41,0.4389463172566989,66.10506853324644,True
51,45,2193590.688128368,1197.3173671188201,113085.74913374949,61,0,1,-7.056755191870237,-78.80938723810034,1.6654474546725775,CAJAMARCA,"San Miguel, Contumaza",118.0635961557295,1832.0879228595363,42,0.43640651522814455,66.54147504847458,True
34,16,2116414.5322921122,408.25844514177686,11922.274236315287,78,0,3,-16.463450041778174,-72.77381573253615,1.8215256950121677,AREQUIPA,"Camana, Castilla",119.24038099910051,5184.006742486711,43,0.42105261287549484,66.96252766135008,True
35,41,2070242.4917438088,424.591998491192,20468.240386640857,723,107,94,-11.884971681813989,-76.52063021899478,1.6167443749209665,LIMA,"Huarochiri, Lima",118.23231077736676,4875.839627455333,44,0.4118668612101056,67.37439452256018,True
29,24,2044488.4247812317,406.22370643908073,14778.127195018895,6,0,3,-15.243511753794925,-72.9482814510632,1.985681739547772,AREQUIPA,"La Union, Condesuyos",107.98129864046776,5032.912635018343,45,0.4067431876474318,67.78113771020762,True
38,33,2018215.5586643745,413.2529078611091,19943.97417171233,1147,266,223,-12.409024968251794,-76.56294285137639,2.0797882406113235,LIMA,"Cañete, Lima",112.69445171007412,4883.729842604471,46,0.40151630096836044,68.18265401117597,True
55,11,1988761.061567026,383.63396506946657,11203.171403679917,142,1,3,-16.5780067099715,-71.90192793422415,1.3823540086657142,AREQUIPA,"Arequipa, Islay",85.0459387795484,5184.006742486711,47,0.395656440919894,68.57831045209586,True
54,24,1908270.085776078,1136.613875353862,72548.58000554005,1,0,0,-15.257791150101466,-69.49457170368264,0.9961443043718416,PUNO,"Huancane, Moho",81.89572846963584,1678.9079626376865,48,0.37964306775855383,68.95795351985441,True
41,21,1849395.280146694,1009.446794049133,95341.51099002596,0,0,0,-5.4441832668064345,-79.10247224492149,2.77060831274717,CAJAMARCA,"San Ignacio, Jaen",79.96997333869109,1832.087922859536,49,0.36793014934651586,69.32588366920093,True
26,8,1748160.4156824346,597.9013392899692,20821.041652356518,24,0,0,-11.94611578020004,-74.78282475684873,4.080207621736799,JUNIN,Huancayo,43.686623124716505,2923.827562852497,50,0.3477898585167183,69.67367352771765,True
32,3,1628985.0159011187,314.23281195805555,9176.466042022528,16,0,0,-16.565464700832507,-72.05455525797078,1.9191367335396627,AREQUIPA,Arequipa,18.461658583707905,5184.006742486711,51,0.32408036649482225,69.99775389421248,True
27,18,1180972.183225376,304.87004393397086,35255.668211648335,3,0,2,-12.22032809403917,-74.57298767088331,4.262932622321406,HUANCAVELICA,"Tayacaja, Huanta",57.27093739447493,3873.690468195532,52,0.2349499192588659,70.23270381347135,True
53,10,1046147.7659467966,571.0139523838799,53931.84993761644,10,0,0,-6.670139210876951,-78.33464757138017,2.050689536814751,CAJAMARCA,"Celendin, Hualgayoc",49.46770313188237,1832.0879228595363,53,0.20812711479008306,70.44083092826143,True
49,17,971761.353044109,201.39184346795906,9809.999738168142,4,0,0,-10.529974780243881,-77.04857801294884,1.924592775879871,LIMA,"Cajatambo, Ocros",50.620812155000635,4825.226962077606,54,0.19332822117202073,70.63415914943346,True
47,12,819607.7765336002,225.38726227212175,11081.59952637894,6,0,0,-7.5484986474861175,-78.68831307054464,2.0087439309972663,LA LIBERTAD,"Gran Chimu, Cajamarca",46.12062897877777,3636.4423094329313,55,0.16305784645543905,70.7972169958889,True
45,8,802976.7767455215,438.28506630414853,41395.703777694434,0,0,1,-7.2468086101850275,-78.04594798957551,1.7834528390710402,CAJAMARCA,"San Marcos, Celendin",39.010890096313204,1832.0879228595359,56,0.15974917237072722,70.95696616825963,True
50,11,778596.908475081,424.97791659465844,40138.85322573606,16,0,0,-6.937540826678196,-79.04357551133366,2.0756275222067533,CAJAMARCA,"San Miguel, Santa Cruz",43.919432744108164,1832.087922859536,57,0.15489889040554344,71.11186505866517,True
