h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
868e6eb9fffffff,AYACUCHO,VICTOR FAJARDO,-13.635427184319758,-74.59024600370189,14689.590326656691,4.7291586327515525,-1,
868e6d32fffffff,APURIMAC,GRAU,-14.045591408529658,-72.49890961670536,14686.47139141652,2.6307685105544736,-1,
868e6ab17ffffff,AYACUCHO,LUCANAS,-14.670672574804044,-74.57755211714844,14657.466675319944,4.71881676210326,-1,
868e68c67ffffff,AYACUCHO,VICTOR FAJARDO,-14.059712504159096,-73.99919301270982,14618.341537511778,4.7062208367501,-1,
868e61da7ffffff,JUNIN,HUANCAYO,-12.052620727282308,-75.14005512850582,14603.68254179143,4.994714027370349,-1,
868e63307ffffff,HUANCAVELICA,CASTROVIRREYNA,-13.248923793365954,-75.56405038882092,14600.219079073431,3.7550756753736,-1,
868f5d637ffffff,HUANUCO,HUAMALIES,-9.239164800228895,-76.7021374022647,14597.99115487876,4.905043942474108,-1,
868f5004fffffff,CAJAMARCA,SAN MIGUEL,-6.979622241903319,-79.18524459065193,14529.582561231107,7.930614235234534,-1,
86b304c5fffffff,TACNA,TACNA,-17.837529791008343,-70.27816382498503,14467.964280580629,4.393006217662023,-1,
868e6d697ffffff,APURIMAC,AYMARAES,-14.350858303125486,-73.23073931241659,14445.337935101445,2.587574588283558,-1,
868e6c12fffffff,AYACUCHO,LA MAR,-13.046527533682884,-73.7237648571777,14419.01681536876,4.642050345301275,-1,
868e6d4e7ffffff,APURIMAC,AYMARAES,-14.028805305512591,-73.26598396806564,14417.9602756705,2.582670463773044,-1,
868e66cefffffff,LIMA,HUAURA,-11.02271105344978,-76.9137304864805,14399.146341101708,2.948391251188192,-1,
868f46417ffffff,AMAZONAS,BONGARA,-5.918896684796813,-77.72013975849154,14367.470944277644,4.107276506845974,-1,
868e6841fffffff,AYACUCHO,LUCANAS,-14.48380294114743,-74.37179614435567,14366.659530883362,4.625194469922489,-1,
868b6186fffffff,CUSCO,PARURO,-13.678547767400095,-72.15888872221223,14355.18662203944,6.782473076498581,-1,
868f5d4efffffff,HUANUCO,HUACAYBAMBA,-9.09031275747812,-76.8764769021827,14332.147818784928,4.815718416001354,-1,
868e6811fffffff,AYACUCHO,LUCANAS,-14.267652425823773,-73.91267348331681,14300.12976092057,4.603775912361795,-1,
868a6e647ffffff,LORETO,MARISCAL RAMON CASTILLA,-3.6928334849046767,-71.04040799557954,14291.3037653238,4.102382779316845,-1,
868f58a27ffffff,ANCASH,HUARI,-9.274975646841376,-77.08270932374269,14251.475308999738,9.075107515435382,-1,
868e6e5a7ffffff,HUANCAVELICA,HUAYTARA,-13.617889141269217,-75.42945757013831,14245.373018411545,3.663811715314025,-1,
868e6dc57ffffff,APURIMAC,ANDAHUAYLAS,-13.619366528038617,-73.02362068136443,14132.532182456884,2.531542100829931,-1,
868e688d7ffffff,AYACUCHO,SUCRE,-14.145403985231424,-73.79751281295789,14115.535391059922,4.544347702427332,-1,
868e6d42fffffff,APURIMAC,AYMARAES,-13.91394860203837,-73.21464997534437,14101.079594613297,2.5259080396950884,-1,
868e6d407ffffff,APURIMAC,AYMARAES,-13.921380630103275,-73.27771800702934,14075.317018227526,2.521293222908937,-1,
868e6880fffffff,AYACUCHO,SUCRE,-14.02314673435102,-73.6825191719073,14050.878617101647,4.523532136170473,-1,
