h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
858e6a0bfffffff,1,724.3533537810814,478.8394106720002,16.74058352779313,123149.5495913168,1.2395251163864405,4.93858720357565,44.62290418991185,COSTA,ICA,NASCA,0,0,0,0.0,-14.950776425993142,-75.12972993155996,291.7182308332263,422.1523942455305,5,Pisco,3.4219988753920916,False
858f734ffffffff,1,6346.159082885258,1950.499164685198,67.19119378561639,123100.17465714252,1.8601850171841148,6.938681516963687,66.96666061862813,SELVA ALTA,CAJAMARCA,SAN IGNACIO,1,0,0,0.0,-5.391592571346897,-78.62687258984963,298.63476448396415,412.20979369182805,5,Chiclayo,inf,False
858e6c4bfffffff,4,5060.772061746873,1631.7235599639148,39.57016407948187,122911.82102892936,1.280406281358905,5.589682014412596,46.09462612892058,SIERRA,AYACUCHO,HUAMANGA,3,18,0,0.0,-13.340681033134278,-74.39654663163587,291.77722073458483,421.252285286301,5,Pisco,5.292335097088653,False
85b334abfffffff,2,691.3573399229591,552.2204365341884,23.67438183686131,122728.15506649396,0.6288678403405354,4.726425336947305,22.63924225225928,SIERRA,AREQUIPA,CAYLLOMA,1,0,0,0.0,-15.673196272488855,-71.67824111089139,281.61294095313343,435.804386869134,5,Pisco,14.453245156024423,False
858f5407fffffff,3,6324.519602000142,1943.848245784588,66.96208157229461,122680.42093813606,2.3910788537433056,6.674407108179441,86.078838734759,SELVA ALTA,CAJAMARCA,JAEN,0,0,0,0.0,-5.760966843756361,-79.10286363403765,299.7151011713176,409.3234557040613,5,Chiclayo,6.252266641011374,False
858f50bbfffffff,5,6305.821230633349,1938.1012802176103,66.76410892812156,122317.71764769003,1.1455037638437795,3.475501602448064,41.23813549837605,COSTA,CAJAMARCA,SANTA CRUZ,0,5,0,0.0,-6.692624981084474,-79.0510794711139,300.5964690014798,406.9166815365615,5,Chiclayo,2.4480177857803938,False
858f594bfffffff,4,5735.347476707653,1024.952905382748,77.76667345301865,122124.15386745642,1.280073326945863,2.995214251146622,46.082639770051074,SIERRA,ANCASH,BOLOGNESI,0,4,0,0.0,-10.167200455593768,-77.18941261073898,299.1837318622886,408.1911576785498,5,Otuzco,7.324912113501341,False
858f481bfffffff,1,8450.17450013879,2066.997044857771,24.82687918291965,121997.59060883634,3.840748727098781,14.66356817422638,138.26695417555612,SELVA BAJA,UCAYALI,CORONEL PORTILLO,0,0,0,0.0,-8.97887293570384,-74.59659587301692,293.5860088995252,415.542930898277,5,Satipo,10.990007893211441,False
858e6377fffffff,1,717.2875017883609,474.1684743307399,16.577284103745857,121948.2622833472,1.4467639683185876,1.8351815004563048,52.08350285946915,COSTA,ICA,CHINCHA,7,229,113,3073950004.346,-13.391155608632513,-75.87236536669472,295.06757609946595,413.2892671414327,5,Pisco,1.1025852919046883,True
858e6e7bfffffff,3,3615.804288254696,1100.483773186145,31.329768102459163,121814.18366407778,2.856361428346437,3.9303902852354873,102.82901142047172,SIERRA,HUANCAVELICA,HUAYTARA,1,0,0,0.0,-14.029836447067392,-75.1932737349684,292.9649193646775,415.7978502280871,5,Pisco,3.0411776531291252,False
858e6893fffffff,9,5261.472973255636,1665.15340322243,33.241643251505174,121584.70353168069,2.405122422317452,10.588987474911526,86.58440720342827,SIERRA,APURIMAC,ANDAHUAYLAS,2,23,1,16120.0,-13.807945028557556,-73.70575733281228,289.59683287553594,419.8412749352677,5,Pisco,10.8598188967444,False
858f0baffffffff,4,2806.9568440464327,889.5353186859622,30.87653374699182,120717.79252119995,1.019502009116834,1.595553034827771,36.702072328206015,COSTA,PIURA,SECHURA,1,0,0,0.0,-5.572394267930902,-80.84365399133085,301.31868392067224,400.63162015197565,5,Chiclayo,3.5354012452226016,False
858e6c73fffffff,5,4970.204782070293,1602.5223309405496,38.86201874645583,120712.19829649544,1.689915889097728,7.289315721136342,60.836972007518206,SIERRA,AYACUCHO,HUAMANGA,1,16,0,0.0,-13.45623948341188,-73.9676347491073,290.6048509687754,415.3825990656488,5,Pisco,6.071140883810585,False
858e6d33fffffff,12,5712.643128878735,1750.5791738994692,21.60985218147456,120638.6934322378,0.7682476104134969,11.047664192269773,27.656913974885885,SIERRA,APURIMAC,GRAU,1,1,0,0.0,-14.053214823617791,-72.56169515655733,286.2213518233369,421.48740009689806,5,Pisco,12.001974959099243,False
858f562ffffffff,1,1199.806521118414,472.49280730247193,27.023152054767746,120310.56006506576,1.649658784640864,1.2433456635572009,59.3877162470711,COSTA,LAMBAYEQUE,LAMBAYEQUE,0,0,0,0.0,-6.667881179721767,-80.07745612046733,301.7627624745227,398.6925327647853,5,Chiclayo,0.7369264953085803,True
858e6c33fffffff,10,5669.31168194054,1737.3007094700235,21.445937485243995,119723.62679404258,0.8201806295766882,9.804802643614313,29.526502664760773,SIERRA,APURIMAC,CHINCHEROS,1,0,0,0.0,-13.405625582975942,-73.52540464295404,289.5021750292413,413.55000798163206,5,Pisco,9.53767134330701,False
85b3360bfffffff,1,671.257067752925,536.1653801527386,22.986081458895768,119160.00126626444,1.02137263348287,2.7942752083107045,36.76941480538332,COSTA,AREQUIPA,CAMANA,0,0,0,0.0,-16.241624808348757,-73.18254731099005,285.0362433737628,418.05210402668735,5,Pisco,8.811435718178473,False
85b331dbfffffff,1,669.5150113792283,534.7739157455521,22.92642763678284,118850.7554502159,1.7185634325383092,2.024826579611412,61.86828357137913,COSTA,AREQUIPA,ISLAY,0,0,0,0.0,-16.992216176809176,-71.49358497554893,278.9472816357256,426.068878510965,5,Pisco,11.92422614366842,False
858f4e3bfffffff,1,8221.651423990541,2011.098018977006,24.1554711780378,118698.33747647224,2.144359991712127,11.719240234255196,77.19695970163659,SELVA BAJA,UCAYALI,PADRE ABAD,0,0,0,0.0,-8.66379623733689,-75.29407110877717,295.12394091299547,402.19826663085024,5,Picota,8.58485153404763,False
858f5e37fffffff,2,5569.539883575789,995.3217496410596,75.51845658325044,118593.57231189,2.251769787859057,2.443921504910202,81.06371236292605,COSTA,ANCASH,SANTA,0,4,0,0.0,-8.982622882967693,-78.10459150478118,300.577094450628,394.5529266913912,5,Otuzco,4.953550356105552,False
858e692ffffffff,1,667.6110825060754,533.2531559694576,22.86123076024679,118512.77440266396,0.3752716526350134,5.88529066923188,13.509779494860483,SIERRA,AREQUIPA,CONDESUYOS,0,0,0,0.0,-15.531218064030533,-72.68395607114299,284.74920995052804,416.20053809193786,5,Pisco,13.161024245697263,False
858b619bfffffff,6,1571.2416269996038,1082.3504687113657,55.85216891295657,118211.79368471156,0.9457914030173356,9.793624755297309,34.04849050862408,SIERRA,CUSCO,PARURO,0,0,0,0.0,-13.85402561566562,-71.82234918088092,284.2401162692368,415.8870860182855,5,Pisco,15.316953819861737,False
858e6237fffffff,2,1168.0795837921269,588.6809618745202,24.20341504954157,118202.94037038831,1.1391167747205273,2.1868423973773874,41.00820388993898,COSTA,LIMA,CAÑETE,0,0,0,0.0,-12.677111400191992,-76.3963409327645,296.7132636231124,398.3743056411886,5,Pisco,1.8838634541607462,True
858e6d7bfffffff,13,5581.492405867322,1710.3894194957663,21.11373371689853,117869.07322144484,1.744272125249965,10.204687668153618,62.79379650899875,SIERRA,APURIMAC,AYMARAES,0,5,0,0.0,-14.178638099123733,-73.15371643554326,287.7422475546918,409.6342272402707,5,Pisco,9.444575436185914,False
858f5d5bfffffff,2,2879.026941551283,1338.5229480747955,39.51748248400993,117608.70372012952,4.05204836384798,10.346778445259073,145.87374109852726,SIERRA,HUANUCO,HUACAYBAMBA,0,2,0,0.0,-8.832036298341594,-77.06128723696116,298.78431626701433,393.6240870656218,5,Otuzco,13.726197320604115,False
858e666bfffffff,3,1159.1161994647002,584.1636551937629,24.01768754078659,117295.89739328908,0.8745546760671518,0.9154657556201052,31.48396833841746,COSTA,LIMA,LIMA,1,17,2,254966.764,-11.696260765045013,-77.04168206812714,298.51597896383413,392.9300461584327,5,Pisco,3.6132871826484916,False
85b33607fffffff,1,660.5217869736218,527.5905938650506,22.61846962978948,117254.29906555952,1.851222949392081,4.294909797017168,66.64402617811494,COSTA,AREQUIPA,CAMANA,0,0,0,0.0,-16.259347140262438,-72.8910921569535,284.21893695781466,412.54921406930407,5,Pisco,11.171092815786324,False
858e64c7fffffff,2,2017.001826816996,1031.5181160035522,45.41777506970646,117233.96478418734,2.672090121091861,7.362861010918467,96.19524435930698,SIERRA,PASCO,PASCO,0,0,0,0.0,-10.467475692866518,-75.74931860014459,296.3382466147511,395.6086199585136,5,Satipo,4.696818812692072,False
858b66a7fffffff,6,4435.441245656588,1481.4086269307434,69.48976896233006,116666.92643270912,1.390489895767456,8.875525839329695,50.057636247628416,SIERRA,PUNO,MELGAR,3,0,0,0.0,-14.595217363215076,-70.44356525601408,279.0704912244116,418.0554021345548,5,Pisco,18.681308935376364,False
858f5007fffffff,4,6013.839243691083,1848.3602866188355,63.67269284316146,116653.97157390094,2.1680188705400774,2.5983133851343454,78.04867933944278,COSTA,CAJAMARCA,SAN MIGUEL,0,0,0,0.0,-6.927569936566874,-79.22191130136447,301.0154678746904,387.5348080865492,5,Chiclayo,2.1483846747432835,False
