ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum
20600574443,ECO NEOAGROX S.A.C.,3070648.032,861.684713,110,424,Fertilizantes,0.05558919483376335,94.31281416058783
20601596301,TRICAL PERU S.A.C.,2997675.38,498.3114089999999,20,35,Proteccion de cultivos,0.05426814112546117,94.3670823017133
20339899895,MARUPLAST INTERNACIONAL E.I.R.LTDA,2997355.282,473.4911670000001,42,101,Proteccion de cultivos,0.05426234626069566,94.421344647974
20544196279,NUTRITEC COMPANI S.A.C.,2954735.718,1449.830286,36,197,Proteccion de cultivos,0.05349078689529913,94.47483543486929
20461642706,AGRICOLA CERRO PRIETO S.A.,2918078.288,2719.041,20,156,Fertilizantes,0.05282716247558737,94.52766259734487
20125585036,SEMILLERIA MANRIQUE S.R.L.,2855101.153,336.43069,50,693,Semillas,0.05168706169194041,94.57934965903681
20100351804,COLCA DEL PERU S A,2850460.39,435.1175,13,77,Proteccion de cultivos,0.05160304806488322,94.63095270710168
20100073723,CORPORACION PERUANA DE PRODUCTOS QUIMICO,2785427.22,1428.018288,74,237,Proteccion de cultivos,0.0504257260403096,94.681378433142
20429240752,ASOCIACION DE PRODUCTORES Y EXPORTADORES,2765957.196,290.06726999999995,20,137,Proteccion de cultivos,0.05007325224771765,94.73145168538971
20609199718,HELIOPOTASSE LATAM SOCIEDAD ANONIMA CERR,2743031.82,3425.2,34,40,Fertilizantes,0.04965822480731406,94.78110991019703
20106522783,INVERSIONES VETERINARIAS S.A.,2733338.307,302.116515,90,313,Proteccion de cultivos,0.049482739184355945,94.83059264938139
20100312736,MERCANTIL S A,2631940.49,1476.69069,103,271,Proteccion de cultivos,0.04764709311024046,94.87823974249163
20120966741,RIVERA DISTRIBUCIONES E.I.R.L,2629838.57,425.44039999999995,28,61,Semillas,0.04760904119442745,94.92584878368606
20100148081,INTERNATIONAL COMMERCE COMPANY S.A.C.,2611704.016,352.1324,35,76,Proteccion de cultivos,0.04728074396041565,94.97312952764648
20397680038,GREEN PERU S.A,2574986.505,840.32127,16,34,Proteccion de cultivos,0.04661603186983442,95.01974555951631
20524574161,BIOGROW PERU S.A.C.,2558420.454,655.7634,43,177,Fertilizantes,0.046316129885931284,95.06606168940225
20264846855,CLOROX PERU S.A.,2554344.812,1930.3581510000001,91,243,Proteccion de cultivos,0.04624234687503274,95.11230403627728
20607923303,WÖHLER CORPORATION S.A.C.,2539550.155,5052.834876,26,46,Fertilizantes,0.04597451315983613,95.15827854943711
