ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum,distrito,provincia,dep,fob_anual
20602432140,LEVANIA S.A.C.,99019.098,29.48,12,18,Proteccion de cultivos,0.0017925831530096,99.69977515727156,SANTIAGO DE SURCO,LIMA,LIMA,20930.866243902437
20494586810,SUN FRUITS EXPORTS S.A.,98672.4,154.0,1,2,Fertilizantes,0.0017863067375854,99.70156146400912,MAGDALENA DEL MAR,LIMA,LIMA,20857.580487804877
20503468116,SERVINSUMOS DE LOS ANDES S.A.,97174.78,4.695018999999999,17,82,Proteccion de cultivos,0.0017591947113618,99.7033206587205,SAN MIGUEL,LIMA,LIMA,20541.010406504065
20497056544,MOLINOS ROSA BLANCA S.A.C.,96120.0,108.0,2,2,Fertilizantes,0.0017400995984359,99.70506075831894,CERRO COLORADO,AREQUIPA,AREQUIPA,20318.048780487807
20601843715,REFF BUSINESS SOCIEDAD ANONIMA CERRADA,95926.0,28.05188,19,22,Fertilizantes,0.0017365875372406,99.70679734585616,MARCAVELICA,SULLANA,PIURA,20277.040650406503
20610026801,INVERSIONES Y EMBALAJES EL ALAMO S.A.C.,95350.0,95.35,1,1,Fertilizantes,0.0017261599741039,99.70852350583029,LA VICTORIA,LIMA,LIMA,20155.28455284553
20393693119,OLEAGINOSAS PUCALLPA S.A.C.,95040.0,135.0,1,1,Fertilizantes,0.0017205479175546,99.71024405374784,YARINACOCHA,CORONEL PORTILLO,UCAYALI,20089.756097560974
20518966881,DIKEL  S.A.C.,94269.08,77.5626,4,6,Proteccion de cultivos,0.001706591638087,99.71195064538593,LIMA,LIMA,LIMA,19926.797398373983
20512217452,AGUALIMA S.A.C.,93495.263,240.622874,4,4,Fertilizantes,0.0016925829130458,99.71364322829896,SAN ISIDRO,LIMA,LIMA,19763.226325203254
20492677206,R - CHEMICAL S.A.C.,93180.17,86.6,4,4,Proteccion de cultivos,0.0016868786558384,99.7153301069548,SAN BORJA,LIMA,LIMA,19696.621300813007
20477359397,AGREVO ANDINA S.A.C.,92962.44,16.002,2,3,Proteccion de cultivos,0.0016829370007659,99.71701304395556,TRUJILLO,TRUJILLO,LA LIBERTAD,19650.597073170735
20145038384,AQA QUIMICA SOCIEDAD ANONIMA,92890.625,48.921189,10,12,Proteccion de cultivos,0.0016816369045044,99.71869468086008,JESUS MARIA,LIMA,LIMA,19635.416666666668
20608301870,AGROSOL CH & R S.A.C.,92626.4,108.96,3,3,Fertilizantes,0.0016768535314665,99.72037153439152,AREQUIPA,AREQUIPA,AREQUIPA,19579.564227642273
20610171550,INNOVA INDUSTRIES AMERICA S.A.C.,92400.0,140.0,2,2,Fertilizantes,0.0016727549198447,99.72204428931136,SAN ANTONIO,HUAROCHIRI,LIMA,19531.70731707317
20573853670,CORPORACIÓN BENITO FJA SOCIEDAD ANÓNIMA,92057.29,171.70247999999998,7,21,Fertilizantes,0.0016665507008125,99.7237108400122,TARMA,TARMA,JUNIN,19459.26455284553
20604481857,PANZTOREO S.A.C.,91003.6,10.0,1,1,Semillas,0.0016474753206015,99.72535831533278,SAN MARTIN DE PORRES,LIMA,LIMA,19236.533333333333
20601138809,INCA SOLUCIONES S.A.C.,90566.681,10.081677,7,14,Proteccion de cultivos,0.001639565597584,99.72699788093036,SAN BORJA,LIMA,LIMA,19144.176471544717
20608543512,SEMILLAS CARLESSI S.A.C.,89693.526,3.5288000000000004,9,75,Semillas,0.0016237585161766,99.72862163944654,SAN LUIS,LIMA,LIMA,18959.60712195122
20515621785,INKA GREEN SAC,88440.67,86.176,4,4,Fertilizantes,0.0016010775525635,99.73022271699912,CALLAO,CALLAO,CALLAO,18694.775772357723
20601532621,ACTIVEN PERU E.I.R.L.,88003.48000000001,45.730955,4,5,Fertilizantes,0.0015931629235223,99.73181587992264,,,,18602.361626016263
20530611681,NUTRITIONAL TECHNOLOGIES S.A.C - NALTECH,86888.78,58.0608,2,3,Fertilizantes,0.0015729830543756,99.733388862977,SANTIAGO DE SURCO,LIMA,LIMA,18366.733983739836
20539701178,GREEN FRUITS PERU S.A.C.,86631.45,10.1983,1,6,Proteccion de cultivos,0.0015683245043375,99.73495718748134,TRUJILLO,TRUJILLO,LA LIBERTAD,18312.339024390243
20605672303,AGRILAND S.A.C.,86485.713,9.566144,4,12,Proteccion de cultivos,0.0015656861679332,99.73652287364928,SANTIAGO DE SURCO,LIMA,LIMA,18281.532829268293
20612755460,SERVIVET PERU S.A.C.,86150.4,1.8343860000000003,12,69,Proteccion de cultivos,0.0015596158598116,99.7380824895091,BELLAVISTA,CALLAO,CALLAO,18210.653658536583
20612404250,QUIVER S.A.C.,85943.698,15.729400000000004,1,37,Fertilizantes,0.001555873849125,99.73963836335822,LINCE,LIMA,LIMA,18166.96055284553
20253462389,RLC REPRESENTACIONES QUIMICAS S.A.C.,85416.543,5.75,16,21,Proteccion de cultivos,0.001546330546963,99.74118469390518,MIRAFLORES,LIMA,LIMA,18055.529414634148
20604825521,AGRICOLA A & G E.I.R.L.,84894.289,9.268,5,12,Fertilizantes,0.0015368759696047,99.7427215698748,ICA,ICA,ICA,17945.134260162602
20605637231,Q'ANPAQ PERU S.A.C.,84639.72,17.131619999999998,4,5,Proteccion de cultivos,0.0015322674030766,99.74425383727788,LOS OLIVOS,LIMA,LIMA,17891.322926829267
20607708194,GRUPO HORIZONTE DEL VALLE S.A.C.,84078.0,48.0,4,7,Fertilizantes,0.0015220983566094,99.74577593563448,SAN BORJA,LIMA,LIMA,17772.585365853658
20100024862,A. TARRILLO BARBA S.A.,84016.804,16.489138000000004,12,47,Proteccion de cultivos,0.0015209905004397,99.74729692613492,LIMA,LIMA,LIMA,17759.64962601626
20609340151,AGROSEMILLERA VIVEROS VERDES S.A.C.,83910.0,0.93,3,5,Semillas,0.0015190569840278,99.74881598311892,MAGDALENA VIEJA,LIMA,LIMA,17737.07317073171
20607731218,TRADING GLOBAL WBM S.A.C.,83889.0,134.98,3,4,Fertilizantes,0.0015186768124551,99.75033465993138,ALTO DE LA ALIANZA,TACNA,TACNA,17732.634146341465
20553374112,GRUPO KAMPU PERU S.A.C.,83888.01,50.543800000000005,12,16,Proteccion de cultivos,0.001518658890081,99.75185331882146,TOCACHE,TOCACHE,SAN MARTIN,17732.42487804878
20525413447,AGRICOLA DEL CHIRA S.A.,83750.0,10.96,2,2,Fertilizantes,0.0015161604387121,99.75336947926016,PIURA,PIURA,PIURA,17703.252032520326
20610314679,360 SMART AGRO S.A.C.,83630.965,14.033,2,3,Fertilizantes,0.0015140054995142,99.75488348475967,VICTOR LARCO HERRERA,TRUJILLO,LA LIBERTAD,17678.090162601624
20602168892,TKP PERU S.A.C.,83602.29,91.761,3,3,Fertilizantes,0.0015134863842834,99.75639697114396,SANTIAGO DE SURCO,LIMA,LIMA,17672.028780487803
20497671702,COMPANIA SEMILLERA MONTOYA FAKHYE EIRL,83027.414,12.347970000000002,4,50,Semillas,0.0015030791693776,99.75790005031337,YANAHUARA,AREQUIPA,AREQUIPA,17550.510276422763
20136222725,SAFRESCO PERU S.A.,82967.68,92.455,3,3,Proteccion de cultivos,0.0015019977803907,99.75940204809376,SANTIAGO DE SURCO,LIMA,LIMA,17537.88357723577
20459787616,GARAMENDI & CIA S.R.L.,82003.51999999999,103.0,4,4,Fertilizantes,0.001484543198318,99.76088659129206,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,17334.077398373982
20102032951,A JAIME ROJAS REPRESENTACIONES GRLES S A,81620.0,0.7398520000000001,26,47,Proteccion de cultivos,0.0014776001791962,99.76236419147126,MIRAFLORES,LIMA,LIMA,17253.008130081304
20566112079,GRUPO AGRO BUEN SEMBRADOR S.A.C.,81041.4,297.0,1,1,Fertilizantes,0.0014671255471981,99.76383131701846,LA MOLINA,LIMA,LIMA,17130.70243902439
20611751037,CROPSUSTAIN PERU S.R.L.,81003.03,41.036682,4,5,Fertilizantes,0.0014664309194246,99.76529774793788,LINCE,LIMA,LIMA,17122.59170731707
20603115351,BIOSCIENCE AGRO PERU S.A.C.,80775.0,37.1,4,15,Fertilizantes,0.0014623027992474,99.76676005073712,SAN ISIDRO,LIMA,LIMA,17074.39024390244
20104443819,AGRICOLA VIñA VIEJA VIñA STA ISABEL SAC.,80728.724,7.1,3,6,Fertilizantes,0.0014614650459284,99.76822151578308,SUNAMPE,CHINCHA,ICA,17064.60832520325
20477542833,DANPER AGRICOLA LA VENTUROSA S.A.C.,80608.0,75.81960000000001,3,4,Proteccion de cultivos,0.0014592795300741,99.76968079531314,MOCHE,TRUJILLO,LA LIBERTAD,17039.08943089431
20531455666,FERTILIZANTES QUIMICOS SALVADOR S.A.C,80202.0,23.6,4,5,Proteccion de cultivos,0.0014519295463354,99.77113272485948,ATE,LIMA,LIMA,16953.268292682926
20600483243,INNOVACIONES Y FORMULACIONES S.A.C.,78640.452,33.72,3,13,Proteccion de cultivos,0.0014236602054309,99.7725563850649,COMAS,LIMA,LIMA,16623.184975609758
20614146541,T & M GLOBAL TRADING S.A.C.,78427.286,3.52,5,10,Fertilizantes,0.0014198011743135,99.7739761862392,SANTIAGO DE SURCO,LIMA,LIMA,16578.125495934957
20603887043,AGROINDUSTRIAS KON SOL SOCIEDAD  ANONIMA,77025.2,0.096,2,2,Semillas,0.0013944186390912,99.7753706048783,ICA,ICA,ICA,16281.749593495935
20530042708,AGRONEGOCIOS LOS ANGELES S.A.C.,76134.25,2.5998500000000004,7,8,Fertilizantes,0.0013782894075345,99.77674889428584,CHULUCANAS,MORROPON,PIURA,16093.418699186992
20490481576,NATURAL AGRO CORPORATION S.A.C.,76065.201,10.25768,1,7,Proteccion de cultivos,0.0013770393853001,99.77812593367116,PACHACAMAC,LIMA,LIMA,16078.822975609757
20611413476,COMEXAL PERU S.A.C.,75333.0,20.898940000000003,3,10,Fertilizantes,0.0013637840516955,99.77948971772284,SAN ISIDRO,LIMA,LIMA,15924.048780487807
20603750994,ARD COMERCIAL S.A.C.,74800.0,76.538205,2,2,Fertilizantes,0.0013541349351124,99.78084385265797,INDEPENDENCIA,LIMA,LIMA,15811.382113821139
20609938839,R5 COMPANY S.A.C.,73946.0,170.0,4,4,Fertilizantes,0.0013386746244896,99.78218252728244,ATE,LIMA,LIMA,15630.861788617885
