ruc,razon_social,fob,tn,semanas,destinos,distrito,provincia,dep,fob_anual
20136848047,INMOLAG SA,80526.7,3.252484,5,2,PUCUSANA,LIMA,LIMA,418738.84
20609990814,LEMONFORTHEWORLDSAC,79830.0,126.72,4,1,ATE,LIMA,LIMA,415116.0
20607947423,,79576.02,28.758425,3,2,LA MOLINA,LIMA,LIMA,413795.30400000006
20609550644,,78048.0,19.512,2,1,SANTIAGO DE SURCO,LIMA,LIMA,405849.60000000003
20602488927,,77957.911,11.04,1,1,RIO NEGRO,SATIPO,JUNIN,405381.1372
20602728383,ZAIMAR FOODS S.A.C.- ZAIFOOD S.A.C.,77220.0,19.5,1,1,SAN ISIDRO,LIMA,LIMA,401544.0
20604726418,,77152.0,44.8,2,1,PICHANAQUI,CHANCHAMAYO,JUNIN,401190.39999999997
20615525431,,76911.55,10.908,2,2,CHINCHA ALTA,CHINCHA,ICA,399940.06000000006
20608518674,NEGOCIODORADOEIRL,76786.56,77.952,3,1,TACNA,TACNA,TACNA,399290.112
20518413288,INDUSTRIAS DEL RIO SOCIEDAD ANONIMA CERR,76727.8,31.74,1,2,ATE,LIMA,LIMA,398984.56000000006
20611718579,,74675.2,40.564,2,1,MAGDALENA DEL MAR,LIMA,LIMA,388311.04
20614079984,,74488.54,6.375,2,1,LURIN,LIMA,LIMA,387340.40799999994
20611644001,COMERCIALIZADORA BMI S.R.L.,73271.0,416.76,11,1,POCOLLAY,TACNA,TACNA,381009.2
20532936111,IMPORT EXPORT LYVER S.R.L.,73204.4,733.232,11,1,CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA,380662.88
20609226812,,73043.95,24.5706,8,1,ATE,LIMA,LIMA,379828.54
20610201726,COMERCIALIZADORA Y DISTRIBUIDORA OLISUR,72729.5,109.8,6,1,TACNA,TACNA,TACNA,378193.39999999997
20603781113,,72174.0,16.2,1,1,JESUS MARIA,LIMA,LIMA,375304.8
20525955843,COOPERATIVA AGRARIA ECOLÓGICA Y SOLIDARI,72172.8,20.16,1,1,PIURA,PIURA,PIURA,375298.56000000006
20613227289,SULLKATA FARMS S.A.C.,71791.0,18.977,9,2,SANTIAGO DE SURCO,LIMA,LIMA,373313.2
20613250485,BRAVA FOODS PERU S.A.C,71380.0,5.02023,1,1,ATE,LIMA,LIMA,371176.0
20610316515,GRUPO MENDOZA IMPORT E.I.R.L.,71128.5,112.8178,6,1,TACNA,TACNA,TACNA,369868.2
20555013435,BIO FRUTOS S.A.C.,71126.81999999999,25.005,1,1,CHANCAY,HUARAL,LIMA,369859.4639999999
20452603137,,70566.0,18.696,1,1,SUNAMPE,CHINCHA,ICA,366943.2
20603248288,AGROINDUSTRIAS LIMATERRA S.A.C. - AGROLI,70170.0,16.2,1,1,TACNA,TACNA,TACNA,364884.0
20154697650,AGRICOLA RIACHUELO S.A.C,70015.06,47.772,2,2,SANTIAGO DE SURCO,LIMA,LIMA,364078.312
20614522012,KAIZEN INTERNATIONAL BUSINESS S.A.C.,69695.0,19.32,1,1,SAN BORJA,LIMA,LIMA,362414.0
20552987421,CORPORACION SELVA DE ORO S.A.C,69325.1,16.184085,1,1,SURQUILLO,LIMA,LIMA,360490.52
20514834998,HSM FOODS S.A.C.,68388.0,22.0,4,2,SANTIAGO DE SURCO,LIMA,LIMA,355617.60000000003
20611316900,,68112.0,43.2,2,1,HUARAL,HUARAL,LIMA,354182.39999999997
20504187587,ALIMENTOS DE EXPORTACION SOCIEDAD ANONIM,68018.7,17.898,1,1,LURIN,LIMA,LIMA,353697.24
20608390058,,67360.49799999999,19.65975,2,1,LOS OLIVOS,LIMA,LIMA,350274.58959999995
20283058698,FUNDO MI LESLIE S.A.,66816.0,44.544,1,1,CHIMBOTE,SANTA,ANCASH,347443.2
20600988833,PERUVIAN PECTEN S.A.C,66725.0,22.0,1,1,MIRAFLORES,LIMA,LIMA,346970.0
20610966994,,66501.8,5.3775,1,1,LINCE,LIMA,LIMA,345809.36
20547533497,AGROKARU S.A.C.,66056.148,8.916,5,3,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,343491.9696
20612135739,,65892.0,18.696,1,1,PIMENTEL,CHICLAYO,LAMBAYEQUE,342638.39999999997
20606127619,SILPAY 100 TRADING E.I.R.L.,65843.73000000001,8.01,1,1,TACNA,TACNA,TACNA,342387.39600000007
20601391954,AGRICOLA SAN EXPEDITO S.A.C.,65800.0,47.0,2,1,PUENTE PIEDRA,LIMA,LIMA,342160.0
20546656447,A & M LEXA EXPORT S.A.C.,65689.2,9.5256,1,1,SAN JUAN DE MIRAFLORES,LIMA,LIMA,341583.84
20523575865,EMPRESAAGRICOLASANTAMARIAEMPRESAINDIVIDU,65649.6,50.76,3,1,SAN BORJA,LIMA,LIMA,341377.92000000004
20613903039,,65601.39,13.3285,11,2,SANTIAGO DE SURCO,LIMA,LIMA,341127.228
20258908849,CONFITECA DEL PERU S.A.,65557.2,15.345540000000002,2,1,VENTANILLA,CALLAO,CALLAO,340897.43999999994
20613144057,,65539.111,29.633191000000004,4,1,TACNA,TACNA,TACNA,340803.3772
20615009271,,64960.850000000006,45.92,2,1,LA MOLINA,LIMA,LIMA,337796.42000000004
20610447199,,64926.0,13.668,10,4,MIRAFLORES,LIMA,LIMA,337615.2
20610458239,,63617.002,22.84276,4,1,SAN MIGUEL,LIMA,LIMA,330808.4104
20611670240,,63392.99,49.21,2,1,LINCE,LIMA,LIMA,329643.548
20519090971,BC SOLUTIONS S.A.C.,63003.89,20.222,1,1,CALLAO,CALLAO,CALLAO,327620.228
20612509787,,62638.2,10.53902,1,1,MIRAFLORES,LIMA,LIMA,325718.64
20614790831,,62398.95,20.23043,1,1,MAGDALENA DEL MAR,LIMA,LIMA,324474.54
20600861647,AGROEXPORTACIONES LLACTA S.A.C.,62200.0,85.68,4,1,PICHANAQUI,CHANCHAMAYO,JUNIN,323440.0
20503572878,AGROHIDRO E.I.R.L.,62010.0,19.124,1,1,VENTANILLA,CALLAO,CALLAO,322452.0
20465976561,ALISUR S.A.C.,61820.0,11.24,2,2,PUENTE PIEDRA,LIMA,LIMA,321464.0
20613888641,,61772.0,22.9801,2,2,LURIN,LIMA,LIMA,321214.39999999997
20509573574,INVERSIONES GOOD HOPE S.A.C.,61600.0,43.52,2,1,SAN MIGUEL,LIMA,LIMA,320320.0
20613818686,,61244.65,48.657,2,1,MAGDALENA VIEJA,LIMA,LIMA,318472.18
20510807694,MAPA LOGISTICA INTERNACIONAL SAC,60879.21,22.775209,10,1,SAN MARTIN DE PORRES,LIMA,LIMA,316571.892
20610350276,,60738.0,170.44,3,1,COMAS,LIMA,LIMA,315837.60000000003
20603907176,,60705.0,43.52,2,1,PICHANAQUI,CHANCHAMAYO,JUNIN,315666.0
20613204769,AMAZON NUTS FOODS CENTER S.A.C.,60200.0,4.8,1,1,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,313040.0
20613623834,,59810.51,22.848,1,1,SAN ISIDRO,LIMA,LIMA,311014.652
20606592028,,59740.0,12.0,2,1,INCAHUASI,FERREÑAFE,LAMBAYEQUE,310648.0
20612447391,MULTISERVICIOS RCC PERU E.I.R.L.,59731.05,18.176174,1,1,LA MOLINA,LIMA,LIMA,310601.46
20607561398,,59235.2,72.36,5,1,LOCUMBA,JORGE BASADRE,TACNA,308023.04
20600204123,AGROINDUSTRIAS INTIPAMPA S.A.C. - INTIPA,58995.37,3.38,1,1,SAN BORJA,LIMA,LIMA,306775.924
20605152491,"""MAMA FOODS S.A.C""",58850.0,23.98,1,1,LOS OLIVOS,LIMA,LIMA,306020.0
20614827735,,58734.06,43.14,2,1,LINCE,LIMA,LIMA,305417.112
20609666154,AYM AGRI FRUITS SOCIEDAD ANONIMA CERRADA,58151.41,67.824,2,1,SAN MIGUEL,LIMA,LIMA,302387.33200000005
20601206693,NORBIO PERU S.A.C.,58140.0,18.696,1,1,TAMBO GRANDE,PIURA,PIURA,302328.0
20545189608,POLAR FRUIT INTERNATIONAL S.A.C.,57809.26,18.696,1,1,MIRAFLORES,LIMA,LIMA,300608.152
20610862170,AGRO EMPAQUES Y SERVICIOS DEL NORTE S.A.,56700.0,75.6,3,1,PIURA,PIURA,PIURA,294840.0
20613132784,,56675.57,5.7518400000000005,1,3,HUACHO,HUAURA,LIMA,294712.964
20612513245,COMERCIO PERUVIAN E.I.R.L.,56600.03,74.592,3,2,LA MOLINA,LIMA,LIMA,294320.15599999996
20539368657,SOCIEDAD AGRICOLA SAN JUAN S.A.C.,56459.4,18.6624,1,1,SACHACA,AREQUIPA,AREQUIPA,293588.88
20603357401,INKA SUPERFOODS S.A.C.,56408.2,28.89,1,1,SAN JUAN BAUTISTA,HUAMANGA,AYACUCHO,293322.64
20611867019,,56188.407,54.519253,6,1,TACNA,TACNA,TACNA,292179.7164
20603092873,AGRO INDUSTRIAS PUMA REAL S.R.L.,56126.98,2.2244,1,1,SANTA ANA,LA CONVENCION,CUSCO,291860.29600000003
20541642201,,56000.0,50.0,2,2,NUEVO CHIMBOTE,SANTA,ANCASH,291200.0
20613808893,VALLE AZUL FARMS S.A.C.,55970.0,4.29516,1,1,SANTIAGO DE SURCO,LIMA,LIMA,291044.0
