cod_se,ubigeo,dep,prov,dist,sector,region_nat,lat,lon,alt_m,piso,ha_agricola,s_sam_usd,s_clientes_sam
1030201,010302,AMAZONAS,BONGARA,CHISQUILLA,CHILAC,SIERRA,-5.863097111999934,-77.73783967299994,2458.834961079078,quechua,634.1479905722973,22637.426697029256,6.471436149671698
1030202,010302,AMAZONAS,BONGARA,CHISQUILLA,CHISQUILLA,SIERRA,-5.919015085999945,-77.71663345799999,3117.419467545634,quechua,402.4796170898346,14367.470944277644,4.107276506845974
1030301,010303,AMAZONAS,BONGARA,CHURUJA,CHURUJA,SELVA ALTA,-6.007796053999925,-77.93036500999995,2401.2365156853584,ceja de selva,1050.179005037024,37488.64712766825,10.717003724461131
1030401,010304,AMAZONAS,BONGARA,COROSHA,GOQUETE,SIERRA,-5.799130128999934,-77.83102270599994,2320.1950613468384,quechua,396.8687307729737,14167.176959921286,4.050017802123338
1030402,010304,AMAZONAS,BONGARA,COROSHA,BEIRUT,SIERRA,-5.819960153999944,-77.79137936999996,2817.2034546076748,quechua,294.11248734087394,10499.047496549509,3.001397482833462
1030403,010304,AMAZONAS,BONGARA,COROSHA,COROSHA,SIERRA,-5.842513526999937,-77.82428476099994,2258.0087010718275,yunga,550.505010036897,19651.590790047383,5.617865349242954
1030501,010305,AMAZONAS,BONGARA,CUISPES,FANRE,SELVA ALTA,-5.8894693179999535,-77.91826749699999,2108.9143998175673,ceja de selva,344.4508403610334,12295.995201949712,3.515096875234921
1030502,010305,AMAZONAS,BONGARA,CUISPES,CUISPES,SELVA ALTA,-5.920308836999936,-77.91765416899995,1952.6272961353388,ceja de selva,846.015438919594,30200.54114783783,8.633528728307857
1030503,010305,AMAZONAS,BONGARA,CUISPES,CHINATA,SELVA ALTA,-5.944025791999934,-77.90744021599994,2829.4575273165606,ceja de selva,497.1801329860611,17748.031978362123,5.073688686769976
1030601,010306,AMAZONAS,BONGARA,FLORIDA,SAN JOSE,SIERRA,-5.785494098999948,-77.94452750499994,2276.3788347035115,yunga,845.23710447632,30172.756641433443,8.62558587943406
1030602,010306,AMAZONAS,BONGARA,FLORIDA,SAN LORENZO,SIERRA,-5.814050475999977,-77.96605407299995,2370.53109531448,quechua,648.4421240777928,23147.6899230251,6.617306788183404
1030603,010306,AMAZONAS,BONGARA,FLORIDA,POMACOCHAS,SIERRA,-5.807939455999929,-77.92255966299996,2423.915137481094,quechua,2531.547367277454,90369.62792404732,25.83426485735712
1030604,010306,AMAZONAS,BONGARA,FLORIDA,NUEVO GALULO,SIERRA,-5.827235941999959,-77.87439139099996,2512.278385587594,quechua,1304.0523677734402,46551.262991336655,13.307763738647212
1030605,010306,AMAZONAS,BONGARA,FLORIDA,MIRAFLORES,SIERRA,-5.854752674999929,-77.92213914499996,2489.535001858817,quechua,1228.4587170332634,43852.76713101351,12.536335789085864
1030606,010306,AMAZONAS,BONGARA,FLORIDA,EL CHIDO,SIERRA,-5.857763863999935,-77.97361815899995,1998.2912852006364,yunga,1467.584318070095,52388.92642715686,14.97659592058162
1030607,010306,AMAZONAS,BONGARA,FLORIDA,CARRERA,SIERRA,-5.820074611999928,-78.03601623699996,3383.715553416659,quechua,1954.7463412104785,69779.33805404605,19.948050492964207
1030701,010307,AMAZONAS,BONGARA,JAZAN,CHOSGON,SELVA ALTA,-5.931841727999938,-78.02358583099993,2198.947655353564,ceja de selva,733.7437351312892,26192.734606710612,7.487803797720009
1030702,010307,AMAZONAS,BONGARA,JAZAN,SUYOBAMBA,SELVA ALTA,-5.943565890999935,-77.97109183099997,1424.6020913597645,ceja de selva,178.32815092276985,6365.849146486791,1.8198263805018784
1030703,010307,AMAZONAS,BONGARA,JAZAN,CUCHULIA,SELVA ALTA,-5.960143148999975,-77.99032287899996,1912.0921116386755,ceja de selva,235.92501752577505,8421.906825590098,2.407598399311125
1030704,010307,AMAZONAS,BONGARA,JAZAN,SAN JERONIMO,SELVA ALTA,-5.955282083999975,-78.05299111699998,2631.650175885963,ceja de selva,1275.710835244758,45539.54431582606,13.01854036985961
1030801,010308,AMAZONAS,BONGARA,RECTA,CHUELTA,SIERRA,-5.940128476999973,-77.78297226299998,2438.358949034158,quechua,1003.2834121686532,35814.59696626442,10.238437460023745
1030802,010308,AMAZONAS,BONGARA,RECTA,TEATA,SIERRA,-5.937506346999953,-77.76097839199997,2390.919879472546,quechua,739.0693711781922,26382.845901580484,7.54215154327199
1030901,010309,AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS,SELVA ALTA,-5.968077413999936,-77.94664582399997,1895.9201315542155,ceja de selva,579.1236405746979,20673.20114062843,5.9099164839462
1030902,010309,AMAZONAS,BONGARA,SAN CARLOS,TACALA,SELVA ALTA,-5.99616982699996,-77.87376437299997,2868.600383509038,ceja de selva,949.5431839856648,33896.211204171035,9.690022168127696
1031001,010310,AMAZONAS,BONGARA,SHIPASBAMBA,COMBOCA,SIERRA,-5.882886705999965,-78.09800597299994,2012.650303272504,yunga,855.444262812727,30537.125530179517,8.72974922052426
1031002,010310,AMAZONAS,BONGARA,SHIPASBAMBA,LA UNION,SIERRA,-5.842153857999961,-78.05446333099997,3137.918294656642,quechua,43.01850311318597,1535.6481851528458,0.4390008330708375
1031003,010310,AMAZONAS,BONGARA,SHIPASBAMBA,SHIPASBAMBA,SIERRA,-5.886316835999935,-78.03012021599994,2777.743222342978,quechua,2875.3178450315845,102641.33595822207,29.342418679496145
