k,ha_cosechada,g_fert,g_plag,n_cultivos,gasto_ha,dep,ua_total,ua_objetivo_5_mas,share_comercial,productores,compradores_insumos,compran_a_credito,tasa_fert,tasa_pest,tasa_credito,tam_usd,tasa_compra,ha_sam,sam_usd,clientes_sam,ticket_anual,densidad,score,rank,pct_sam,pct_acum,horas_capital,horas_puerto,pct_bajo_2h,pct_sobre_4h,costo_viaje,pct_sin_puerto,mes_pico,pct_pico,pct_top4,demanda_anual,continuidad,costo_pct_ticket,score_v3,rank_v2,rank_v3,mov,pct_sam_v3,pct_acum_v3,arquetipo
puno,328260.0,55900201.776,43396569.62133333,55.0,302.4942770892991,Puno,212215.0,52381.0,0.8856569730653544,215170.0,15397.98752680065,1235.1366491529816,0.2939613128195462,0.2625497726362416,0.0235798600475932,99296771.39733332,0.2939613128195462,85462.12548579788,25851803.86734139,15397.98752680065,1678.9079626376863,78.75404821586972,47.44442018992689,9,5.046472035486641,63.3643093482773,1.099187969665765,7.253063081586541,89.2925430210325,1.9120458891013383,39.570766907967545,0.0,Dic,24.646392401162043,78.62475329002287,129265371.66933334,21.375246709977134,2.3569348522118507,51.74493263115859,9,11,-2,5.046472035486641,74.89322544725142,Red de canal
cusco,240627.55,54481420.781333335,32302527.864,61.0,360.6567437740746,Cusco,179128.0,32068.0,0.7820836968420585,182058.0,12417.022910991023,1393.87168951811,0.3872091465320887,0.3169688714215533,0.0434661247822785,86783948.64533333,0.3872091465320887,72869.23152689158,26280779.76380786,12417.022910991023,2116.512142419036,109.21766756885428,47.088114089972855,10,5.130211447889915,68.49452079616722,1.469545626670864,9.686134372053573,78.49462365591397,6.881720430107527,52.90364256015109,0.0,Nov,23.695463836236964,70.56788399561682,81136698.27733333,29.432116004383175,2.4995671652365603,50.426067010454,10,12,-2,5.130211447889915,80.02343689514134,Red de canal
amazonas,269973.76900000003,61321007.07040001,38661153.848346666,76.0,370.3402789429764,Amazonas,69028.0,25132.0,0.8792875390838767,69562.0,5316.720693052095,1028.9017789882366,0.2115518340383612,0.2048299240887755,0.0409399084429506,99982160.91874668,0.2115518340383612,50219.14135925326,18598170.819262616,5316.720693052095,3498.053009172883,68.88880682057157,30.58105235873349,14,3.630506769749239,84.70517723510895,1.5700224780218557,7.660292405889473,74.07407407407408,3.7037037037037033,56.5208092087868,0.0,Dic,12.221808715476708,42.474925130593306,84740702.60826667,57.525074869406694,1.6157790937007896,42.50789343334787,14,13,1,3.6305067697492386,83.65394366489058,Operación mixta
tacna,45422.0,13157330.778666666,5835052.2453333335,48.0,418.13180890317466,Tacna,21233.0,4365.0,0.7569207268744687,22059.0,2564.9745678896056,610.5613902887015,0.5876230396081571,0.4649366552065181,0.1398766071680874,18992383.024,0.5876230396081571,20202.981494666856,8447509.197602415,2564.9745678896056,3293.408559817732,185.97836285505736,25.847327245337294,16,1.649019122765025,88.42675017040722,0.9599904858316912,2.716475004079418,94.0,0.0,34.559657489940896,0.0,Oct,9.67536090574577,37.3829701046765,19013632.698666666,62.6170298953235,1.0493583429519457,41.53290715803683,16,14,2,1.649019122765025,85.3029627876556,Operación mixta
ancash,89106.86,22673618.78666667,14710662.925866667,76.0,419.54437304303326,Áncash,168253.0,10354.0,0.434937812347349,169938.0,6760.841447106442,268.2453566949772,0.6529690406708945,0.5028498748907895,0.0259074132407743,37384281.71253334,0.6529690406708945,25306.4307600761,10617170.627193058,6760.841447106442,1570.3918972596346,119.15099047585178,28.668736526396867,15,2.072553812533239,86.77773104764219,1.5261411657485728,4.097182056871929,71.98795180722891,1.2048192771084338,54.94108196694862,0.0,Nov,19.55181334141022,52.47676586844899,34349572.712000005,47.52323413155101,3.4985586758835114,37.11474438913043,15,15,0,2.072553812533239,87.37551660018885,Operación mixta
tumbes,26257.5,7760897.794080001,6132302.660906668,32.0,529.113603922181,Tumbes,7626.0,1042.0,0.5080693365212193,8141.0,794.9588250721217,338.1785995279307,0.7629163388408078,0.5487804878048781,0.3245476003147128,13893200.45498667,0.7629163388408078,10177.785058006952,5385204.531987383,794.9588250721217,6774.193030058905,205.0920511087264,35.38082759874908,13,1.0512335702183662,81.07467046535972,0.7476871979408899,2.1719729548009763,96.49122807017544,0.0,26.916739125872034,0.0,Feb,32.59716847106133,78.41128807481901,14427308.174933337,21.588711925180988,0.3973423698798554,36.81314232848539,13,16,-3,1.0512335702183662,88.42675017040722,Venta directa consultiva
pasco,131084.269,16136692.96832,15236617.033306668,52.0,239.33695660786475,Pasco,30159.0,11249.0,0.925510123690223,32556.0,5771.644484233561,725.8381909214496,0.5130806724360887,0.4017374581385324,0.0645246858317583,31373310.00162667,0.5130806724360887,62246.853807489846,14897972.5486993,5771.644484233561,2581.235311599006,113.65187190157272,22.805318708980792,18,2.9081994524736587,93.54478692981228,2.890260054847128,9.315709094572656,61.15702479338842,3.3057851239669422,104.0493619744966,0.0,Set,15.29105456375562,47.64115723595904,33788621.90218666,52.35884276404096,4.030990956420816,34.44634884666502,18,17,1,2.908199452473659,91.33494962288087,Operación mixta
ucayali,165735.31,44220084.975200005,25665566.0288,47.0,421.6702584621226,Ucayali,25482.0,13545.0,0.9524016017656506,25580.0,1990.661054862256,823.9051094890511,0.1469664861470842,0.1430813907856526,0.0608272506082725,69885651.00400001,0.1469664861470842,23198.15643594142,9781972.620188173,1990.661054862256,4913.931779744913,59.02165700349654,22.361356694587837,19,1.9095167027024271,95.45430363251472,3.3535499021976705,13.19953311085568,33.6734693877551,20.40816326530612,120.72779647911614,17.346938775510203,Jun,10.593517893533605,38.57705211585572,62718374.89466667,61.42294788414428,2.4568472231696963,28.211791580801766,19,18,1,1.9095167027024278,93.2444663255833,Operación mixta
ayacucho,150285.2,36562009.74933334,23005599.226666667,79.0,396.3637735186166,Ayacucho,111604.0,11951.0,0.6231891456028555,113768.0,3644.4960216479694,543.4511755851045,0.3049532274828859,0.290383857209419,0.0454732805275796,59567608.976,0.3049532274828859,28560.731610558105,11320439.355613248,3644.4960216479694,3106.1741564185786,75.3263751561248,24.054123167612552,17,2.209837306931408,90.63658747733862,1.9314919793658027,7.6714613488486,68.88361045130641,6.65083135391924,69.5337112571689,0.0,Oct,23.68064889272991,77.94576892264949,62416066.26133333,22.054231077350508,2.238564476930081,27.120362880991994,17,19,-2,2.2098373069314086,95.45430363251471,Campaña estacional
huancavelica,88945.8,21061919.85066667,13303720.533333331,56.0,386.3660834350807,Huancavelica,72089.0,5371.0,0.6076750285196815,74922.0,2532.2057040602585,185.3687525142532,0.4714588910929545,0.3683502337388505,0.0345128937840724,34365640.384,0.4714588910929545,25482.41979938448,9845542.734336738,2532.2057040602585,3888.1291194273545,110.6914855376728,20.1588170970867,20,1.9219260805930245,97.37622971310772,1.580364853810672,6.869236046876536,77.92792792792793,0.6756756756756757,56.89313473718419,0.0,Dic,21.70267284916124,75.09927546094586,39007798.736,24.90072453905414,1.46325219635616,26.435535657830343,20,20,0,1.9219260805930243,97.37622971310773,Campaña estacional
apurimac,98897.75,24169400.66773333,14392643.4616,75.0,389.9183159306792,Apurímac,81590.0,3712.0,0.537381546764246,83328.0,1220.8335335212648,315.4676798627283,0.3288883441598235,0.3089349184949136,0.0849859051354332,38562044.12933333,0.3288883441598235,17479.04266824072,6815398.881280907,1220.8335335212648,5582.578373009767,68.91358884586259,18.42231608057976,21,1.3304185673681617,98.70664828047587,1.5741910672674202,10.465795924153198,73.96963123644251,0.0,56.67087842162712,0.0,Oct,27.486935618714764,79.650459400532,41925559.29466666,20.349540599468,1.0151380712470648,22.71420747040912,21,21,0,1.3304185673681617,98.70664828047589,Campaña estacional
moquegua,16382.0,2911792.6186666666,2241244.08,56.0,314.55479786757826,Moquegua,13369.0,1173.0,0.780058069286397,14205.0,609.4440870670956,80.37010995586805,0.5195601765277882,0.4772234273318872,0.0685167177799386,5153036.698666667,0.5195601765277882,6639.413406210757,2088459.3419499137,609.4440870670956,3426.8268185199227,127.48500439201035,9.190170039798012,23,0.4076834142980423,99.7981570153544,1.9885239532376224,3.589576027240066,34.86238532110092,0.0,71.58686231655439,0.0,Set,12.463425558015496,42.83338245539085,5342836.28,57.16661754460915,2.0890131339486073,18.070535990863256,23,22,1,0.4076834142980422,99.11433169477394,Operación mixta
loreto,220625.71,53979248.71466667,35878777.745866664,53.0,407.2871945002844,Loreto,67219.0,22242.0,0.8622885718375429,67585.0,1005.5704190779392,238.239783394576,0.0360463559410285,0.045210431574406,0.0107112572338178,89858026.46053334,0.045210431574406,8600.96941737762,3503064.7039864766,1005.5704190779392,3483.659261972545,15.877862575429116,12.94425806375233,22,0.6838253205804654,99.39047360105636,5.081983331049241,15.293986467132578,15.789473684210526,61.40350877192983,182.95139991777268,74.56140350877193,Jul,19.042005992909885,59.10953553682265,79753270.5432,40.89046446317735,5.251701907671087,12.815725495062246,22,23,-1,0.6838253205804654,99.7981570153544,Inviable por ahora
madrededios,48958.8,4899387.329333333,5247922.124,29.0,207.262217483544,Madre de Dios,6641.0,5678.0,0.9936927112499632,6642.0,582.2493600361391,183.8232193946695,0.0835717512422827,0.1025447974702605,0.0323746423731365,10147309.453333331,0.1025447974702605,4988.804674982976,1033990.7195292424,582.2493600361391,1775.8554847790035,21.11960913113153,1.0354147448309408,24,0.201842984645607,100.0,3.530138654747533,16.711100096087282,12.5,32.142857142857146,127.0849915709112,0.0,Oct,23.231741248149685,59.00345882814584,12933765.458666664,40.99654117185416,7.156268776382235,5.575118467617211,24,24,0,0.20184298464560702,100.00000000000001,Operación mixta
