dep,partida4,producto,fob_usd,kg
Huanuco,2008,Frutas preparadas,184630.05,58559.5
Callao,1515,Otros aceites vegetales,183766.46,11387.0
Tacna,0703,Cebolla y ajo,178952.6,1944220.0
Tacna,0714,Raíces y tubérculos,178680.76,1481359.0
Callao,1704,Confitería sin cacao,174714.65,37603.1
Tacna,0904,Pimienta y ají,167303.26,136548.7
Tumbes,0901,Café,158215.17,33000.0
Ucayali,1806,Chocolate,156298.47,14510.6
Ancash,0705,Lechuga,154588.98,39728.3
Ica,0703,Cebolla y ajo,154508.75,572065.0
Lima,2203,Cerveza,153735.6,74936.0
Pasco,0901,Café,149327.66,20010.0
Callao,0801,Coco y castaña,143264.0,16000.0
Apurimac,0901,Café,142182.72,21240.0
Tacna,0708,Legumbres frescas,141824.4,1432454.0
Lambayeque,1515,Otros aceites vegetales,141824.0,22160.0
Junin,2005,Hortalizas preparadas,140453.34,11838.9
Lima,1006,Arroz,134226.88,249600.6
Callao,0803,Banano y plátano,131290.0,9936.5
Huanuco,0803,Banano y plátano,130665.58,35341.9
Callao,1005,Maíz,130620.44,68313.8
Ayacucho,1207,Semillas oleaginosas,130240.0,15220.0
Arequipa,0910,"Jengibre, cúrcuma y especias",126928.8,4765.9
Ancash,0910,"Jengibre, cúrcuma y especias",124717.84,31171.0
San Martin,1211,Plantas para perfumería,122679.0,11500.0
Amazonas,1801,Cacao en grano,118700.0,25000.0
Lima,1902,Pastas alimenticias,116870.98,58109.7
Lima,1516,Grasas y aceites hidrogenados,113675.05,19686.4
Callao,2005,Hortalizas preparadas,113093.68,43230.5
San Martín,1511,Aceite de palma,110716.02,86120.0
Callao,1208,Harinas,110154.5,15605.0
Tacna,1806,Chocolate,109477.99,47236.1
Arequipa,0703,Cebolla y ajo,107080.75,95500.0
Amazonas,0703,Cebolla y ajo,105350.0,229824.0
San Martin,1803,Pasta de cacao,104192.54,13837.5
Arequipa,1806,Chocolate,102595.59,11374.1
Lambayeque,0910,"Jengibre, cúrcuma y especias",101734.52,36000.0
Piura,1701,Azúcar de caña,100262.85,85760.0
Arequipa,1106,Harinas de legumbres y frutas,100199.89,5255.6
La Libertad,0805,Cítricos,96416.98,99766.0
San Martin,0904,Pimienta y ají,94636.8,47700.0
La Libertad,0713,Legumbres secas,93240.0,29970.0
Piura,1212,Algarroba y otros frutos,88365.81,88365.8
Lima,1702,Otros azúcares,86343.78,35279.7
Lambayeque,1801,Cacao en grano,86020.0,21500.0
Ancash,1211,Plantas para perfumería,83404.89,24000.9
Lambayeque,2008,Frutas preparadas,83145.0,74510.6
Huanuco,0811,Frutas congeladas,77861.79,18712.0
Ancash,0709,Hortalizas frescas (espárrago y otras),76542.52,20932.1
Junin,0810,"Arándano, fresa y otras bayas",72785.15,44937.8
Piura,1202,Maní,72172.8,20160.0
Cusco,1803,Pasta de cacao,70998.51,2924.4
La Libertad,1904,Cereales inflados y hojuelas,70601.44,14096.0
Tacna,1902,Pastas alimenticias,70159.41,58449.9
Lambayeque,0712,Hortalizas secas,68140.0,13200.0
Lima,2206,Otras bebidas fermentadas,67995.36,36370.1
Tacna,1106,Harinas de legumbres y frutas,64167.91,32500.0
Tacna,1904,Cereales inflados y hojuelas,63913.71,104120.4
Tacna,2104,Sopas y caldos,61353.63,24297.3
Lima,1509,Aceite de oliva,59918.4,7795.9
Tacna,2106,Preparaciones alimenticias,58749.43,35310.6
Arequipa,2106,Preparaciones alimenticias,56924.16,3498.7
Lima,1001,Trigo,56438.47,29395.5
Ayacucho,0713,Legumbres secas,56408.2,28890.0
Callao,1806,Chocolate,54187.9,10934.3
Piura,0712,Hortalizas secas,52488.0,6400.0
Lima,2209,Vinagre,52109.06,63200.2
Piura,0703,Cebolla y ajo,51060.0,204240.0
Cajamarca,1801,Cacao en grano,50856.0,10920.0
Tumbes,1202,Maní,48000.0,75000.0
La Libertad,0808,Manzana y pera,46800.0,22560.0
Tacna,2201,Agua,46179.83,37021.2
Callao,0713,Legumbres secas,46107.05,15396.6
Ica,0704,Coles y brócoli,45765.0,3051.0
La Libertad,2007,Mermeladas y purés,41027.4,12189.3
Callao,1102,Harinas de cereales,40992.0,6720.0
Ancash,0806,Uva,40263.57,34440.0
Lima,0902,Té,38965.74,5210.5
Lima,0403,Yogur y leches ácidas,37071.37,11543.1
Callao,1211,Plantas para perfumería,37050.0,27986.2
Callao,1106,Harinas de legumbres y frutas,34977.41,2325.0
Tacna,0901,Café,34102.93,11052.2
Puno,1202,Maní,33800.0,50000.0
Tacna,1901,Preparaciones de harina y malta,32493.48,16678.9
Tacna,1509,Aceite de oliva,31360.0,20360.0
Lima,0208,Carne de cuy y otras,31156.6,1355.7
La Libertad,0904,Pimienta y ají,30730.92,15595.4
Callao,1904,Cereales inflados y hojuelas,30279.2,4448.6
Tacna,2101,Extractos de café y té,29781.79,8424.7
Piura,1211,Plantas para perfumería,28695.3,5100.0
Callao,1701,Azúcar de caña,28657.53,20272.0
Tacna,1006,Arroz,28462.0,237771.8
Tacna,1701,Azúcar de caña,28222.6,31135.6
Tacna,0404,Lactosuero,28216.59,10877.7
Tacna,1102,Harinas de cereales,28171.53,24817.9
Tacna,0807,Melón y sandía,27834.0,292700.0
San Martin,2106,Preparaciones alimenticias,27200.0,3200.0
Junin,1803,Pasta de cacao,27084.8,1925.0
Lima,2204,Vino,27004.21,1651.3
Lambayeque,2103,Salsas y condimentos,26919.0,8473.1
Lima,1108,Almidones y féculas,26705.37,7726.8
Ica,2302,Salvados y afrecho,26069.24,95956.0
Callao,1104,Granos aplastados y copos,26038.96,9722.4
San Martin,1802,Cáscara de cacao,25323.2,56600.0
Lima,0906,Canela,24367.65,2616.9
Tumbes,1008,Quinua y cereales andinos,24000.0,20000.0
Piura,0711,Hortalizas conservadas provisionalmente,23729.17,21340.0
Tacna,1404,"Productos vegetales diversos (tara, achiote)",23307.26,7025.0
Ica,0603,Flores cortadas,22883.27,1876.0
Callao,2007,Mermeladas y purés,22480.8,11020.0
Lima,0909,Semillas de anís e hinojo,22343.74,3101.7
Ica,2008,Frutas preparadas,22050.0,3150.0
Lima,1208,Harinas,20863.26,6927.9
Ucayali,1804,Manteca de cacao,20762.66,1287.7
Callao,2101,Extractos de café y té,20141.63,3023.6
Callao,0714,Raíces y tubérculos,20045.17,6866.0
Ancash,0805,Cítricos,20000.0,26000.0
Lima,1105,Harina y copos de papa,19961.11,6173.8
Ica,1005,Maíz,19959.6,8592.0
Lima,1204,Linaza,19943.88,4941.9
San Martin,1515,Otros aceites vegetales,19665.0,950.0
Tumbes,1005,Maíz,18430.0,28000.0
Lima,0809,"Melocotón, cereza y ciruela",18360.0,30600.0
San Martin,0905,Vainilla,17480.43,35.0
Lima,0701,Papa,17217.76,5183.0
Lambayeque,1905,Galletas y panadería,16224.0,5142.2
Lima,1107,Malta,15905.48,8033.7
San Martin,0801,Coco y castaña,15610.0,19000.0
Tumbes,0712,Hortalizas secas,15520.0,24250.0
Callao,2202,Bebidas no alcohólicas,15205.25,5768.6
Lima,2208,Pisco y licores,15063.69,1451.8
