partida4,producto,fob_usd,kg,empresas,destinos,descripcion
2308,Residuos vegetales para forraje,630427.27,289234.0,5,5,"OPTICELL C5 BOLSA X 25 KG MARCA: OPTICELL, MODELO: S/M LOTE:"
0702,Tomate,618838.22,1078200.0,1,1,TOMATE FRESCO CAT 1 EN BANDEJAS EN 1150 BANDEJAS X 18 KGS C/
1102,Harinas de cereales,572762.0,204109.0,45,17,HARINA EXTRA D.V. SACO X 25KG
2102,Levaduras,552265.15,513236.1,5,3,SACCHAROMYCES CEREVISIAE BOLSA X 25 Kg 600 BOLSAS
0406,Quesos,547468.91,90521.9,1,1,QUESO CREMA RUMAY X 170 GR EN CAJAS CONSUMO HUMANO
0207,Carne de ave,478201.98,71699.1,1,1,PASTA DE PAVO CONG X 7.5 KG (V) S/M S/M PRESENTACION: 569 CA
1702,Otros azúcares,450279.92,94497.6,20,14,"JARABE SABOR A MAPLE YA 710 ML X 12 MARCA: YA, MODELO: S/M, "
2101,Extractos de café y té,426596.77,71528.6,30,10,CAFE SELLO ROJO X 10 UND X 850 GR
0704,Coles y brócoli,423321.04,103958.8,2,2,BROCOLI FRESCO EN CAJAS
1107,Malta,311414.74,430673.7,5,3,CEBADA TOSTADA PRESENTACION: 24 x 15 OZ PARA CONSUMO HUMANO
0401,Leche y nata sin concentrar,293058.07,343381.8,3,8,GLORIA UHT LECHE ENTERA TTP X 946 ML CJA
0204,Carne de ovino y caprino,282990.0,98925.0,1,1,CARNE OVINA CONGELADA USO: COMERCIALIZACION EN CAJAS
2201,Agua,278305.58,701102.6,21,5,AGUA CIELO SIN GAS NO RET.625ML.X15U
2204,Vino,251062.81,64182.2,8,11,RED WINE INTIPALKA MALBEC 2025 750ML 13.5% ALC (6 BOT X CASE
0604,Follaje y ramas,237462.42,32658.3,8,6,"CAJA HB/HB1, FOLLAE FRESCO MIXTO: MONSTERA,PAMPAS,LIVISTONA,"
2105,Helados,221963.29,29771.0,1,1,HELADOS NESTLE D'ONOFRIO SUBLIME 3X900ML CHOCOLATE FLAVORED 
0511,Cochinilla y otros productos animales,219603.84,43924.0,4,4,PIEL DE TILAPIA CONGELADA DRAWBACK
1507,Aceite de soya,195615.7,35649.5,8,1,ACEITE VEGETAL DE SOYA X 900 ML X 12 UNID
0802,Nueces,195000.0,25000.0,1,1,INSHELL PECAN(PECANA ENTERA)SACOS X 25 KGPARA CONSUMO HUMANO
0705,Lechuga,154588.98,39728.3,1,1,LECHUGAS FRESCAS EN CAJAS DRAWBACK
0106,Otros animales vivos,145694.56,2302.8,8,10,"CHELONOIDIS DENTICULATA - MOTELO, CON PERMISO DE EXPORTACION"
1208,Harinas,131017.76,22532.9,10,6,3737 LA NUESTRA 7 SEMILLAS+CACAO / GRAIN CEREAL FL OUR LA NU
0504,Tripas y estómagos,100642.41,49643.6,2,1,MENUDENCIAS CONGELADA DE EQUINO
1517,Margarina,95459.34,52795.2,4,2,ACEITE PALMEROLA EXTRA FRITURA 20LT
1101,Harina de trigo,91322.61,148050.4,6,3,HNA. EXTRA SCO X 25KG
5202,Desperdicios de algodón,76749.36,66728.6,2,2,"DESPERDICIOS DE ALGODON MARCA:TECNOQUIMICAS S.A., BUENAVENTU"
2402,Cigarrillos,71382.0,1074.0,1,3,INCA PETIT CORONA RED
2206,Otras bebidas fermentadas,68356.55,36452.3,10,5,"CHICHA DE JORA COCINA ""INCA'S FOOD"" 12 X 32 FL OZRIN 721-201"
2209,Vinagre,58027.85,67110.5,26,8,VINAGRE BLANCO SAN ESTEBAN 1LIT.X18U
0206,Despojos comestibles,57820.0,30100.0,1,1,VISCERAS CONGELADAS DE EQUINO EN CAJAS USO: PARA CONSUMO
1001,Trigo,56636.47,29458.3,9,3,TRIGO PELADO / PEELED WHEAT 12 X 14 OZ MARCA: DEL CAMPO 3551
0101,Caballos y asnos vivos,54390.0,7800.0,2,4,CABALLO DE CARRERAEQUINE: AMAZONKA.-CHESTNUT FEMALE 4 YEARS 
0808,Manzana y pera,48740.34,23808.7,3,3,PALTAS FRESCAS EN CAJAS VARIEDAD: HASS PARA CONSUMO HUMANO
0902,Té,45076.72,6041.9,21,7,"CHANCAPIEDRA ""MASSIE"" CHANCAPIEDRA ""HERBAL TEA"" 12 UND X 1.0"
0403,Yogur y leches ácidas,42999.56,16488.3,9,2,"YOGURT BATTIMIX BEB. GLORIA (FRESA, VAINILLA, OREO) 146 ML X"
0807,Melón y sandía,37178.0,361335.0,8,3,PAPAYA / PAPAYE 8KG EN CAJAS
1108,Almidones y féculas,32911.92,12185.6,13,6,"HARINA DE CHUNO ""INCA'S FOOD"" 12 X 12 OZCODIGO No13 RESTITUC"
0208,Carne de cuy y otras,31156.6,1355.7,2,1,"CUY CONGELADO PARA FREIR ""INCA'S FOOD"" 12 X 498 GRCODIGO No1"
0701,Papa,30523.36,33983.0,3,4,PAPA AMARILLA CONGELADA BOLSAS 500 GR CAJAS USO: CONSUMO HUM
0508,Coral y conchas,29584.0,19177.9,1,1,CASCARAS DE CONCHA DE ABANICO LIMPIAS Y SECASSCALLOPS BAY SH
0404,Lactosuero,28336.59,10954.8,4,1,BATIMIX DIFERENTE SABORES 24 UNID. 145 GR
2306,Tortas de otras oleaginosas,28253.5,8640.7,1,1,"TORTA DE PALTA, USO INDUSTRIAL AVOCADO CAKE(TOURTEAUX D AVOC"
0909,Semillas de anís e hinojo,27589.56,5471.7,17,6,COMINO GIGANTE BATAN 14 DISPLEY X 42 SOBRES
1204,Linaza,27115.08,5602.4,7,3,LINASA 12 BOLSAS POR 400 G USO: CONSUMO HUMANO MARCA: BELMON
0905,Vainilla,25893.11,408.6,5,4,VAINAS CURADAS TIPO AI
1105,Harina y copos de papa,25568.91,8584.6,12,9,"CEBADA TOSTADA ""ECCO"" TOASTED BARLEY 15 UND X 175 G"
0906,Canela,25436.09,4816.6,14,6,CANELA ENTERA X 30GR OLLA DE BARRO FOOD
2404,Productos de nicotina,21720.04,502.3,2,3,VELO SFYSP 0.420 15/5 6.0 PER 6MGCODIGO: 10241064ENVIO SIN V
2403,Tabaco elaborado,19088.0,660.0,2,2,PURO INCA ROBUSTO X 20CODIGO No13 RESTITUCION DE DERECHOS AR
0809,"Melocotón, cereza y ciruela",18370.51,30610.0,2,2,DURAZNOS FRESCOSEN CAJAS DE CARTON X 9 KGPARA SU COMERCIALIZ
1214,Forrajes,17747.7,63830.0,2,2,PACAS DE ALFALFA SECOEN BULTOS: 400 UNIDADESEMBALADAS EN PAC
1103,Sémola y pellets de cereal,12410.66,6940.3,7,3,HARINA DE TRIGO WHEAT FLOUR 12 UND X 1 KG
2004,Hortalizas congeladas preparadas,10443.1,2760.7,1,1,CRICKETS HABAS SALADAS 100 GR X 1 X 28 CRICKETS TOASTED BREA
0907,Clavo de olor,7940.62,1126.1,6,3,CANELA Y CLAVO OLOR OLLADE BARRO FOOD 20GR
1505,Grasa de lana y lanolina,7860.01,450.0,1,1,LANOLINA ANHIDRA USP X 50 KG LANOLINA ANHIDRA USP LOTE: 3106
0409,Miel de abeja,7227.2,1061.7,4,2,MIEL DE ABEJA TRADICIONES ANDINAS EN CAJAS 24 x 500 g
1206,Girasol,6567.43,2818.4,1,1,SEMILLAS DE GIRASOL TOSTADAS LOTE SFS150526 CODIGO: SG01
1512,Aceite de girasol y cártamo,5730.06,1481.6,4,3,"SAPOIL MARCA: S/M, MODELO: S/M USO: MATERIA PRIMA, CODIGO: 1"
1301,Gomas y resinas,4857.58,165.4,2,2,GUM ARABIC ENVASE / 25 KG PREPARACION ENZIMATICA PARA ALIMEN
1201,Soya,4417.43,1939.5,6,3,HABAS ANDINA FOOD X 50 GR
1003,Cebada,3058.41,3972.7,4,3,CEBADA TOSTADA
0707,Pepino,2740.97,770.9,6,2,PEPINO DULCE FRESCO EN KILOGRAMOS
0405,Mantequilla,2191.97,691.9,2,1,MANTY 12 POTE X 300 GR
1521,Ceras vegetales,2050.3,523.3,1,1,CARAS CEROTES GRUESOS THICK ZERO FACES
1004,Avena,1159.06,316.7,2,2,"QUINUA ROJA, BOLSA X 1KG."
0903,Mate,1009.34,312.4,1,1,HERBI GR MANZANILLA DSPX100 PLX16
0706,Zanahoria y remolacha,739.2,7392.0,2,1,OLLUCO FRESCOEN MALLAS
1401,Materias vegetales para cestería,75.0,1000.0,1,1,CANAS DE BAMBU GRUESO DE 6 METROS DE LARGO
5203,Algodón cardado,17.78,2.0,1,1,"CLEANED AND PROCESSED CARDED COTTON ALGODON CARDADO, LIMPIO "
