codigo,aduana,partida4,producto,fob_usd,kg
127,Pisco,1803,Pasta de cacao,125760.5,9601.0
172,Tacna,1806,Chocolate,117718.28,50659.8
172,Tacna,0804,"Palta, mango, dátil y piña",113546.8,92340.0
046,Paita,0712,Hortalizas secas,112228.0,18400.0
118,Marítima del Callao,0704,Coles y brócoli,108541.56,17499.0
019,Tumbes,0904,Pimienta y ají,96259.33,9685.4
019,Tumbes,0801,Coco y castaña,95526.0,120760.0
046,Paita,1212,Algarroba y otros frutos,88365.81,88365.8
235,Aérea del Callao,0704,Coles y brócoli,85308.8,30808.0
235,Aérea del Callao,0813,Frutas secas,84810.56,8912.2
172,Tacna,2104,Sopas y caldos,84147.05,32790.7
154,Arequipa,0806,Uva,82262.4,18696.0
019,Tumbes,0811,Frutas congeladas,81037.1,121200.0
235,Aérea del Callao,2001,Conservas en vinagre,77595.0,8149.9
370,Chancay,1211,Plantas para perfumería,73967.2,6844.2
046,Paita,1202,Maní,72172.8,20160.0
019,Tumbes,1211,Plantas para perfumería,71049.0,29860.0
235,Aérea del Callao,1805,Cacao en polvo,68539.68,7005.8
235,Aérea del Callao,0801,Coco y castaña,62742.98,5095.0
019,Tumbes,0712,Hortalizas secas,62224.0,85300.0
019,Tumbes,2103,Salsas y condimentos,57641.39,27641.2
235,Aérea del Callao,2008,Frutas preparadas,56193.93,7889.7
046,Paita,2007,Mermeladas y purés,47311.1,50613.4
370,Chancay,0808,Manzana y pera,46800.0,22560.0
046,Paita,0801,Coco y castaña,46567.4,15394.0
046,Paita,1209,Semillas para siembra,45182.0,48264.0
145,Mollendo Matarani,2106,Preparaciones alimenticias,44718.56,3177.5
019,Tumbes,0709,Hortalizas frescas (espárrago y otras),44388.0,10500.0
019,Tumbes,0710,Hortalizas congeladas,42580.0,32000.0
235,Aérea del Callao,2104,Sopas y caldos,42037.91,4643.3
235,Aérea del Callao,1804,Manteca de cacao,40815.04,2728.0
235,Aérea del Callao,0901,Café,38038.75,2977.1
019,Tumbes,1806,Chocolate,37886.73,9500.7
118,Marítima del Callao,0902,Té,36740.5,4872.2
082,Salaverry,2008,Frutas preparadas,35481.88,7196.3
091,Chimbote,0805,Cítricos,35336.06,25656.0
262,Desaguadero,2101,Extractos de café y té,34684.25,4080.0
172,Tacna,0807,Melón y sandía,34659.0,360950.0
262,Desaguadero,1803,Pasta de cacao,34468.97,6000.0
172,Tacna,0901,Café,34232.93,11190.7
055,Chiclayo,0703,Cebolla y ajo,32691.2,56296.0
172,Tacna,0710,Hortalizas congeladas,30633.43,33130.0
172,Tacna,2101,Extractos de café y té,29781.79,8424.7
235,Aérea del Callao,0806,Uva,29083.84,14300.0
235,Aérea del Callao,2007,Mermeladas y purés,28384.14,6003.8
046,Paita,2103,Salsas y condimentos,26919.08,8474.9
235,Aérea del Callao,0905,Vainilla,25154.71,158.0
235,Aérea del Callao,2101,Extractos de café y té,25148.93,598.5
019,Tumbes,0711,Hortalizas conservadas provisionalmente,23729.17,21340.0
235,Aérea del Callao,0805,Cítricos,23294.0,17584.0
370,Chancay,1806,Chocolate,22050.0,3500.0
091,Chimbote,0714,Raíces y tubérculos,20889.6,28672.0
